NPC±àºÅ	¶ÔÏóÀàĞÍ	Ãû³Æ	Ä£ĞÍ±àºÅ	Í·Ïñ	NPCÀàĞÍ	NPCÖÖÀàID	ÏìÓ¦·¶Î§	Ñ¡Ôñ²Ù×÷·ÖÀà	Êó±êĞÎ×´	½Å±¾±àºÅ	²É¼¯·¶Î§	²É¼¯Ê±ÌØĞ§Ãû	²É¼¯ºóÌØĞ§Ãû	²É¼¯ºóÌØĞ§³ÖĞøÊ±¼ä£¨ºÁÃë£©	²É¼¯¶¯×÷Ãû	Ë¢ĞÂÊ±¼ä£¨ms£©	¶ÁÌõÊ±¼ä(ms)	²É¼¯ÀàĞÍ	²ÎÊı1	²ÎÊı2	»ØÊÕ	µôÂä	²É¼¯µØµã	×î¶à¿É²É¼¯´ÎÊı	ÌåÁ¦	¹¤¾ßÏŞÖÆID£¨²»ÌîĞ´±íÊ¾Ã»ÓĞÏŞÖÆ£©	¶àÈËÍ¬Ê±²É¼¯£¨Ìî1ÔÊĞí£©	AI±à¼­°ü	´æÔÚÊ±¼ä
STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	script	Name	Resource	Photo	NpcType	CKindID	SpringRange	SelectState	CursorShape	LuaScript	GatherRange	GatherEffects	AfterGatherEffects	EffectsTime	GatherAction	RefreshTime	DelayTime	GatherType	GatherPara1	GatherPara2	LostItems	DropID	ShowPoint	MaxCount	NeedEne	ToolLimited	MultiUse	AIEditorPackID	LifeTime
	//ÈÎÎñ																												
GatherNpc00001	MineNpc	¹Å¹ÖµÄ½£	npc\funcnpc003	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact041	30000		1	3	0		taskitem_15		1					
GatherNpc00002	MineNpc	±¦Ï»	npc\itemnpc005	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact041	30000		1	6	0		taskitem_16		1					
GatherNpc00003	MineNpc	ÓñÒ¶½ğ»¨	npc\itemnpc054	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact017	15000		1	214;311;1015	0;0;0		taskitem_5		1					
GatherNpc00004	MineNpc	°ë¿éÓñÅå	npc\itemnpc170	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact017	15000		1	225	0		taskitem_17		1					
GatherNpc00008	MineNpc	Ê¢Âú¾ÆµÄ¾ÆÖÑ	npc\itemnpc034	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact035	0	2000	1	22024	1				30			1		
GatherNpc00009	MineNpc	Ê¢Âú¾ÆµÄ¾ÆÍë	npc\itemnpc034	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact035	0	2000	1	22024	1				30			1		
GatherNpc00010	MineNpc	Ê¢Âú¾ÆµÄ¾ÆÌ³	npc\itemnpc034	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact035	0	2000	1	22024	1				30			1		
GatherNpc00011	MineNpc	ºï¶ù²Ø¾Æ´¦	npc\itemnpc003	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact041	15000		1		0		taskitem_24		1					
GatherNpc00012	MineNpc	×°ÂúÒ©·ÛµÄÒ©Ì³	npc\itemnpc014	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact041	1		1	5004	1		taskitem_27		1					
GatherNpc00013	MineNpc	Ò©Â¯	npc\funcnpc003	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact041	1		1	5004	2				1					
GatherNpc00014	MineNpc	²ñ»ğ	npc\funcnpc003	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact041	1		1	5004	3				1					
GatherNpc00015	MineNpc	Çà²Ë	npc\itemnpc011	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact017	60000		1	514;7001;9097;10317	0;0;0		taskitem_44d		1					
GatherNpc00016	MineNpc	ÔÓÎï¶Ñ	npc\itemnpc012	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact001b	40000		1	510;7998;4002	0;0;0		taskitem_35		1					
GatherNpc00017	MineNpc	À¬»ø	npc\itemnpc012	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact001b	40000		1	4002	0		taskitem_35		1					
GatherNpc00100	MineNpc	²İÊé×Ö»­	npc\itemnpc027	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact041	20000		1	9002	0		taskitem_41		1					
GatherNpc00101	MineNpc	²İÏ¯	npc\itemnpc031	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact041	20000		1	9016	0		taskitem_47		1					
GatherNpc00102	MineNpc	¸É²İ¶Ñ	npc\itemnpc032	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact041	20000		1	9025	0		taskitem_52		1					
GatherNpc00103	MineNpc	Å£·à	npc\itemnpc033	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact001b	40000		1	7002	0		taskitem_53		1					
GatherNpc00104	MineNpc	²è±­	npc\itemnpc034	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact041	20000		1	9037	0		taskitem_62		1					
GatherNpc00105	MineNpc	ÏãÂ¯	npc\itemnpc050	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact041	20000		1	9028	0				1					
GatherNpc00107	MineNpc	×ĞÓñ	npc\itemnpc036	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact041	20000		1		0		taskitem_68		1					
GatherNpc00108	MineNpc	²Ï¼ë	npc\funcnpc006	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact041	20000		1		0		taskitem_87		1					
GatherNpc00109	MineNpc	É³´ü	npc\itemnpc017	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact041	20000		1		0				1					
GatherNpc00110	MineNpc	·çÏä	npc\funcnpc008	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact013	0		1	9086	1				1					
GatherNpc00111	MineNpc	³´¹ø	npc\itemnpc020	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact041	20000		1		0				1					
GatherNpc00112	MineNpc	»µµôµÄÌúÂ¯	npc\itemnpc018	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact006	0		1	9085	1	taskitem_94-1|taskitem_95-1			1					
GatherNpc00113	MineNpc	Ä«Ñâ	npc\itemnpc037	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact041	20000		1	9124	0		taskitem_38		1					
GatherNpc00114	MineNpc	Çà²Ë	npc\itemnpc011	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact017	60000		1		0		taskitem_30		1					
GatherNpc00115	MineNpc	Ä¾Í·	npc\itemnpc038	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact017	20000		1	9149	0		taskitem_140		1					
GatherNpc00116	MineNpc	Ææ¹ÖµÄ»­Ïñ	npc\itemnpc039	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact041	20000		1	9030	0				1					
GatherNpc00117	MineNpc	ÆåÆ×	npc\funcnpc010	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact041	20000		1	9110	0		taskitem_122		1					
GatherNpc00118	MineNpc	Ò©Â¯	npc\funcnpc010	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact041	20000		1	9143	0	taskitem_129-1	taskitem_130		1					
GatherNpc00119	MineNpc	ÆÆËğµÄµØ°å	npc\itemnpc052	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact017	20000		1	10049	1	taskitem_188-1			1					
GatherNpc00120	MineNpc	°«Ğ¡µÄ¹àÄ¾	npc\itemnpc051	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact041	20000		1	7009	0				1					
GatherNpc00121	MineNpc	ÏãÂ¯	npc\itemnpc057	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact041	20000		1	10054	1	taskitem_171-1			1					
GatherNpc00122	MineNpc	²İÒ©	npc\itemnpc054	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact017	20000		1	7013	0		taskitem_180		1					
GatherNpc00123	MineNpc	µ¤Â¯	npc\itemnpc046	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact041	20000		1	7017	0				1					
GatherNpc00124	MineNpc	¾­Êé1	npc\miji001	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact017	20000		1	7014	0		taskitem_181		1					
GatherNpc00125	MineNpc	¾­Êé2	npc\itemnpc049	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact017	20000		1	7014	0		taskitem_181		1					
GatherNpc00126	MineNpc	³±ÊªµÄ¾­Êé	npc\itemnpc047	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact017	15000		1	10345	0		taskitem_33		1					
GatherNpc00127	MineNpc	Ë®¾§Ê¯	npc\funcnpc010	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact041	20000		1	9170	0		taskitem_169		1					
GatherNpc00128	MineNpc	Ê®×Ö¸ä	npc\itemnpc055	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact041	20000		1	9175	0		taskitem_175		1					
GatherNpc00131	MineNpc	¾ÆÌ³	npc\itemnpc001	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact041	20000		1	8001	0		taskitem_189		1					
GatherNpc00132	MineNpc	»µµôµÄĞå¼Ü	npc\itemnpc061	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact041	20000		1	8003	1	taskitem_94-1|taskitem_192-1			1					
GatherNpc00133	MineNpc	ÔàÙâÙâµÄ×À×Ó	npc\itemnpc057	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact041	20000		1	8006	1				1					
GatherNpc00134	MineNpc	ÕË±¾	npc\itemnpc049	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact019	10000		1	8002	0		taskitem_199		1					
GatherNpc00135	MineNpc	»µµôµÄÒÎ×Ó	npc\itemnpc056	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact041	20000		1	8008	1	taskitem_94-1|taskitem_192-1			1					
GatherNpc00136	MineNpc	×À×Ó	npc\itemnpc057	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact041	20000		1	103;5	1;1	taskitem_201-1			1					
GatherNpc00137	MineNpc	¹ÒµÆÁıµÄµØ·½	npc\funcnpc010	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact041	20000		1		2	taskitem_204-1			1					
GatherNpc00139	MineNpc	³ÊÂúË®µÄ´óË®¸×	npc\funcnpc010	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact041	0		1	9185	0	taskitem_210-1	taskitem_211		1					
GatherNpc00140	MineNpc	¾®ÉÏÊ¯	npc\itemnpc059	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact041	30000		1	112	3				1					
GatherNpc00141	MineNpc	×À×Ó	npc\itemnpc009	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact041	20000		1	103	0	taskitem_201-1			1					
GatherNpc00142	MineNpc	×À×Ó	npc\itemnpc009	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact041	20000		1	103	0	taskitem_201-1			1					
GatherNpc00143	MineNpc	×À×Ó	npc\itemnpc009	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact041	20000		1	103	0	taskitem_201-1			1					
GatherNpc00144	MineNpc	×À×Ó	npc\itemnpc009	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact041	20000		1	103	0	taskitem_201-1			1					
GatherNpc00145	MineNpc	Ò»ÏäË¿³ñ	npc\funcnpc010	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact017	20000		1	205	0		taskitem_213		1					
GatherNpc00146	MineNpc	ÓÅÖÊ¿óÔ´	npc\cj020020	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact006	5000		1	207	0		taskitem_203		1					
GatherNpc00147	MineNpc	½äµ¶	npc\itemnpc057	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact024	5000		1	10001	1				1					
GatherNpc00148	MineNpc	ÆëÃ¼¹÷	npc\itemnpc057	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact041	5000		1	10002	0		taskitem_14		1					
GatherNpc00149	MineNpc	Ê÷Ä¾	npc\cj_030050	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact007	5000		1	568;10004	0;0		taskitem_140		1					
GatherNpc00150	MineNpc	ÆÑÍÅ	npc\itemnpc063	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact038	5000		1	10007	1				1					
GatherNpc00151	MineNpc	¹·Î²°Í²İ	npc\itemnpc064	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact017	5000		1	10011	0		taskitem_18		1					
GatherNpc00152	MineNpc	Ò°¹û	npc\itemnpc065	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact041	5000		1	10012	0		taskitem_19		1					
GatherNpc00153	MineNpc	ÆÆ¾ÉµÄÇÅ°å	npc\itemnpc067	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact041	5000		1	10014	1	taskitem_94-1|taskitem_192-1			1					
GatherNpc00154	MineNpc	Ò°³û¾Õ	npc\itemnpc066	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact017	5000		1	10018	0		taskitem_20		1					
GatherNpc00155	MineNpc	ÆÑÍÅ	npc\itemnpc063	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact038	5000		1	10019	1				1					
GatherNpc00156	MineNpc	ÆÑÍÅ	npc\itemnpc063	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact038	5000		1	10029	1				1					
GatherNpc00157	MineNpc	Åü²ñÖ®µØ	npc\itemnpc038	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact021b	10000	7000	1	38106;28737	0;0		taskitem_17		100000000					
GatherNpc00158	MineNpc	¶¬Çà	npc\itemnpc051	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact041	5000		1	10039	0		taskitem_222		1					
GatherNpc00159	MineNpc	ÆÑÍÅ	npc\itemnpc063	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact017	5000		1	10051	0		taskitem_160		1					
GatherNpc00160	MineNpc	ĞĞÀî	npc\itemnpc005	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact017	5000		1	10042	1		taskitem_23		1					
GatherNpc00161	MineNpc	Ï¨ÃğµÄÀ¯Öò	npc\itemnpc068	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact041	5000		1	10052	1	taskitem_55-1			1					
GatherNpc00162	MineNpc	Ê÷ÏÂ²ÎìøµØµã	npc\itemnpc063	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact038	5000		1	10128	1				1					
GatherNpc00163	MineNpc	·ğÏñ	npc\itemnpc071	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact024	5000		1	10131	1				1					
GatherNpc00164	MineNpc	ÆÙ²¼±ß¿ÕµØ	npc\itemnpc063	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact038	5000		1	660;10137	1				1					
GatherNpc00165	MineNpc	É½ºì¹û	npc\cj_030100	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact041	5000		1	10136	0		taskitem_260		1					
GatherNpc00166	MineNpc	É­ÁÖÖĞ¿ÕµØ	npc\itemnpc063	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact038	5000		1	10149	1				1					
GatherNpc00167	MineNpc	µõÇÅÉÏµÄ¿Õ°×µØ	npc\itemnpc063	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact045	5000		1	10167	1				1					
GatherNpc00168	MineNpc	Ëş±ß¿Õ°×µØ	npc\itemnpc063	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact038	5000		1	10179	1				1					
GatherNpc00169	MineNpc	Ê¯ÇÅ	npc\itemnpc063	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact045	5000		1	10200	1				1					
GatherNpc00170	MineNpc	Ê÷ÁÖÀïµÄ´ò×øµØ	npc\itemnpc063	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact038	5000		1	10158	1				1					
GatherNpc00171	MineNpc	É¹Ã«½íµÄ¼Ü×Ó	npc\itemnpc073	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact041	5000		1	10185	0		taskitem_280		1					
GatherNpc00172	MineNpc	·ğÏñ±ßÉÏ¿Õ°×µã 	npc\itemnpc063	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact042	5000		1	10190	1				1					
GatherNpc00173	MineNpc	±øÆ÷¼Ü	npc\itemnpc057	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact041	5000		1	10195	1				1					
GatherNpc00174	MineNpc	ìøÉá	npc\itemnpc063	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact038	5000		1	10045	1				1					
GatherNpc00175	MineNpc	×øìøÖ®µØ	npc\itemnpc063	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact038	5000		1	10058	1				1					
GatherNpc00176	MineNpc	ÁÖÖĞÌü¸½½ü¿Õ°×µã	npc\itemnpc063	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact038	5000		1	10207	1				1					
GatherNpc00177	MineNpc	ÊÜÖØÉËµÄ×æĞş	npc\worldnpc151	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact044	5000		1	10214	1				1					
GatherNpc00178	MineNpc	²Ø¾­¸ó·¿¶¥	npc\itemnpc063	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact038	5000		1	10217	1				1					
GatherNpc00179	MineNpc	´óÖÓ	npc\npcitem141	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact093	0		1	517	1				1					
GatherNpc00180	MineNpc	´ó¹Ä	npc\worldnpc152	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact088	0		1	518	1				1					
									28									1											
GatherNpc00181	MineNpc	¹Ä	npc\itemnpc057	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact088	5000		1	537;538	1;1				1					
GatherNpc00182	MineNpc	Ğ¡¶¯ÎïÊ¬Ìå	npc\monster119a	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact017	5000		1	578	0		taskitem_288		1					
GatherNpc00183	MineNpc	Ğ¡¶¯ÎïÊ¬Ìå	npc\monster118a	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact017	5000		1	578	0		taskitem_288		1					
GatherNpc00184	MineNpc	Ğ¡¶¯ÎïÊ¬Ìå	npc\monster131a	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact017	5000		1	578	0		taskitem_288		1					
GatherNpc00185	MineNpc	½ğÇ®²İ	npc\itemnpc064	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact017	5000		1	582	0		taskitem_289		1					
GatherNpc00186	MineNpc	ÒøÕë	npc\itemnpc033	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact017	5000		1	591	1				1					
GatherNpc00187	MineNpc	½ÅÓ¡	npc\itemnpc130	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact017	5000		1	591	2				1					
GatherNpc00188	MineNpc	ÆÏ»Ø²İ	npc\itemnpc064	icon\funcnpc\task.png	153	3	20	2	28	npc\gather_npc.lua	3				interact017	5000		1	666;8111	0;0		taskitem_293		1					
