NPC编号	对象类型	名称	模型编号	头像	NPC类型	NPC种类ID	响应范围	选择操作分类	鼠标形状	脚本编号	采集范围	采集动作名	刷新时间（ms）	读条时间(ms)	采集类型	参数1	参数2	钓鱼难度	回收	掉落	掉落物品	采集地点	最多可采集次数	体力	消耗工具耐久	排行榜积分	影响时间	运营管理读取类别	运营管理读取名称	分解技能等级	身份掉落包	生活掉落包	生活心得	工具限制ID（不填写表示没有限制）	选中是否有绿色光圈	非vip采集次数	等同最多可采集次数	无拾取物消失时间	最大消失时间	AI编辑包	模型路径	限制包	NPC优先显示	是否求助	呼叫半径	采集成功添加BUFF
STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	script	Name	Resource	Photo	NpcType	CKindID	SpringRange	SelectState	CursorShape	LuaScript	GatherRange	GatherAction	RefreshTime	DelayTime	GatherType	GatherPara1	GatherPara2	GatherGameDiff	LostItems	DropID	ShowDrop	ShowPoint	MaxCount	NeedEne	UseHardiness	PaiHangPoint	EffectsTime	QTypeID	QName	SkinPara2	ShenFenDropID	LifeDropPackage	LifeExpPackage	ToolLimited	HideDecal	VipMaxCount	VipLeftCount	DestroyTime1	DestroyTime2	AIEditorPackID	table@model_rec	Limit	RefreshAtonce	IsCallHelp	CallHelpRange	AfterGatherBuffer
																																														
fishnpc10001	MineNpc	弓鱼群	npc\cj_101004	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	1	1		fishnpc10001	"fish_10003,fish_10005"	恶人谷	6	1	1	0	1000	13	13			901	45	207		3	6		3							
fishnpc10002	MineNpc	团头鲂群	npc\cj_101004	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	20	1		fishnpc10002	"fish_10011,fish_10015"	恶人谷	6	1	1	0	1000	13	13			902	45	207		3	6		3							
fishnpc10003	MineNpc	黑龙鱼群	npc\cj_101005	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	50	1		fishnpc10003	"fish_10020,fish_10024"	恶人谷	6	2	2	0	1000	13	13			903	45	207		3	6		3							
fishnpc10004	MineNpc	白甲鱼群	npc\cj_101009	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	70	2		fishnpc10004	"fish_10025,fish_10079"	恶人谷	4	3	5	2	1000	13	13			904	45	207		2	4		2							
fishnpc10005	MineNpc	黄爪鱼群	npc\cj_101004	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	190	9		fishnpc10005	"fish_10106,fish_10128"	塞外草原	6	6	30	12	1000	13	13			905	45	207		3	6		3							
fishnpc10006	MineNpc	条鳅群	npc\cj_101006	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	230	10		fishnpc10006	"fish_10145,fish_10153"	塞外草原	6	7	60	24	1000	13	13			906	45	207		3	6		3							
fishnpc10007	MineNpc	雅鱼群	npc\cj_101008	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	250	12		fishnpc10007	"fish_10167,fish_10181"	塞外草原	6	8	60	24	1000	13	13			907	45	207		3	6		3							
