NPC编号	对象类型	ini注释名称	NPC乞讨信息	表现AI包编号	NPC类型	选择操作	鼠标形状	停留时间	是否转身	走路速度	跑步速度	武器持握方式	模型编号	性别	模型半径	图片	出生状态	npc声音	组成材料	武器名称	NPC种类ID	脚本编号	是否能接镖	触发特效	AI类型	巡逻模式	巡逻半径	路径ID	是否随机出现	响应范围	门派	称号	籍贯	阵营	名字表序号	生平表序号	身份参数01	身份参数2	身份参数3	对话规则	踢馆专用关联NPC	生平	能否切磋	随机对话	下棋玩家的最小等级	NPC身上挂的棋谱包	NPC事件包编号	进入切磋前对话	结束切磋后对话	空闲状态对话	碰撞时对话	实力包编号	级别	修为经验	怪物强度	掉落	武器类型	锁定位移攻击	禁播受击动作	拾取权限清空时间	无拾取物消失时间	最大消失时间	附加随机能力编号	普通攻击	技能表	主动被动	固定NPC重生时间	敌人NPC编号表	队友编号	能否攻击	能不能被攻击	不能被杀死	攻防比重	防御概率	"战斗频率,毫秒"	"追击范围,米"	无法被硬直	锁定技能间隔	召唤ID	召唤半径	召唤类型	表演概率	表演时间	势力归属	势力关系表	战斗开始的召唤ID	NPC交互停留时间	门派职权	初始动作固定帧播放	商店ID	洗红名功能	仓库ID	职业ID	宝石游戏NPC ID	接任务表	交任务表	可以加入的门派表	可获得的身份表	复活点	落脚点	驿站	输入关系包编号	是否有公会功能	帮派地块购买	是否有门派战功能	运镖编号	是否有帮派仓库	所属帮会地块编号	AI编辑包	善恶参数	直接触发	对话类型	地位评分	世界触发器相关	报复等级	报复手段	是否可结婚	格挡方式(-1表示不格挡)	模型缩放	存在时间	退出发声对话	是否预载入模型	是否可被捕捉	捕捉道具	桃花岛骑鱼QTE	天气包	只关心距离脱离战斗	优先显示	动作集
STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	script	Name	NpcBegInfo	AIParaNo	NpcType	SelectState	CursorShape	StopTime	NeedRotate	WalkSpeed	RunSpeed	WeaponMode	Resource	Gender	CollideRadius	Photo	BornAction	ActionSoundMode	Material	WeaponName	CKindID	LuaScript	EscortFlag	SpringEffect	AITemplate	PatrolMode	PatrolRange	PathID	RandomBorn	SpringRange	School	Call	Hometown	Camp	SNameTable	StoryTable	OriginPara1	OriginPara2	OriginPara3	NpcTalkRule	TgCorrelation	Story	CanQiecuo	FreeTalk	LevelMin	table@Qipus	FeedBack	BeginQiecuoTalk	EndQiecuoTalk	FreeTalk	KnockTalk	PowerNo	Level	FacultyExp	BossLevel	DropID	WeaponType	Fixed	FixedBeHitAct	PickChangeTime	DestroyTime1	DestroyTime2	AddPropID	NormalSkill	table@SkillRec	NotPositive	RefreshTime	table@EnemyNpcRec	FriendNpc	CantAttack	CantBeAttack	CantBeKilled	AttackRate	AIParrayRate	AIFightFreq	ChaseRange	CantBeStick	SkillHoldTime	CallHelpID	CallHelpRange	CallHelpType	ShowRate	ShowTime	SelfForceID	table@ForceRec	SummonIDBeginFight	StopTime	SchoolPoseID	NotRandBAFrame	ShopID	ClearPK	DepotID	Job	GemGameNpcID	table@TaskCanAccept	table@TaskCanSubmit	table@school_rec	table@OriginCanGet	RelivePos	HomePoint	TransFuncID	RelationInputNo	GuildFunc	BuyGuildDomain	SchoolWarFunc	EscortID	GuildDepotFunc	DomainID	AIEditorPackID	Character	DirectSpring	NpcTalkType	KarmaLevel	UsedByTrigger	AvengeLevel	AvengeEvent	CanMarryPlayer	ParrayID	Scale	LifeTime	LeaveTalkSound	PreLoad	SeizeType	SeizeItem	BindQteRound	WeatherPag	OnlyCareDistance	RefreshAtOnce	ActionSet
sl182	CommonNpc	祖勋		8	365	2	2			1.25	4	lstuff1_1	npc\monster516	1	0.905	icon\monster\monster516.png				lst_r_802	0				1	0	0			8				1			1	8					1									6	15		3									Npc_sl_dmgf01	Npc_sl_dmgf01	1						1			2000	15		2000						1		0	10								45538;45947;														888	1								11			sl174_end								
tm089	CommonNpc	唐欢		8	365	2	2			1.25	4	knife1_1	npc\worldnpc732	1	0.905	icon\funcnpc\worldnpc732.png				k_r_405	0				1	0	0			8				1			1	5					1									6	15		3									Npc_tm_jsc07	"Npc_tm_jsc01,7,0;Npc_tm_jsc02,7,0;Npc_tm_jsc03,7,0;Npc_tm_jsc04,7,0;Npc_tm_jsc05,7,0;Npc_tm_jsc06,7,0;Npc_tm_jsc07,7,0;jn_tg_yanxing,1,0;jn_tg_yanxing_back,1,0"	1						1			2000	15		2000						1		0	10								45542;45951;														1072	1								11			sl174_end								
em909	CommonNpc	李骁骁		8	365	2	2			1.25	4	dknife2_2	npc\worldnpc378		0.859723	icon\funcnpc\worldnpc348.png				dk_r_618	0				1	0	0			8				1			1	6					1									6	15		3										"Npc_em_lbc01,7,0;jn_tg_yanxing,1,0;Npc_em_lbc02,7,0;Npc_em_lbc03,7,0;Npc_em_lbc04,7,0;Npc_em_lbc05,7,0;Npc_em_lbc06,7,0;Npc_em_lbc07,7,0;Npc_em_lbc08,7,0;Npc_em_lbc06_sky,7,0;jn_tg_yanxing1,1,0"	1						1			2000	15		2000						1		0	10								45539;45948;														895	1								11			sl174_end								
gb390	CommonNpc	陆一脚		8	365	2	2			1.25	4	hand1_1	npc\monster164		0.905	icon\monster\monster164.png					0				1	0	0			8				1			1	2					1									6	15		3										"Npc_gb_lhz01,7,0;Npc_gb_lhz02,7,0;Npc_gb_lhz03,7,0;Npc_gb_lhz04,7,0;Npc_gb_lhz05,7,0;Npc_gb_lhz06,7,0;Npc_gb_lhz07,7,0;Npc_gb_lhz08,7,0;jn_tg_yanxing,1,0"	1						1			2000	15		2000						1		0	10								45541;45950;														885	1								11			sl174_end								
JZTNPC150	CommonNpc	吴卿芸		8	365	2	2			1.25	4	hand1_1	npc\worldnpc253	1	0.905	icon\funcnpc\worldnpc253.png					0				1	0	0			8				1			1	3					1									6	15		3										"Npc_jz_xytf01,7,0;Npc_jz_xytf02,7,0;Npc_jz_xytf03,7,0;Npc_jz_xytf04,7,0;Npc_jz_xytf05,7,0;Npc_jz_xytf06,7,0;Npc_jz_xytf07,7,0;Npc_jz_xytf07_sky,7,0;jn_tg_yanxing,1,0"	1						1			2000	15		2000						1		0	10								45545;45954;														882	1								11			sl174_end								
jlg093	CommonNpc	徐堂刺		8	365	2	2			1.25	4	dsword1_2	npc\worldnpc784		0.905	icon\funcnpc\worldnpc784.png				db_rl_npcitem323	0				1	0	0			8				1			1	4					1									6	15		3										"Npc_jl_zfd01,7,0;Npc_jl_zfd02,7,0;Npc_jl_zfd03,7,0;Npc_jl_zfd04,7,0;Npc_jl_zfd05,7,0;Npc_jl_zfd06,7,0;Npc_jl_zfd07,7,0;Npc_jl_zfd07_sky,7,0;jn_tg_yanxing,1,0;jn_tg_yanxing1,1,0"	1						1			2000	15		2000						1		0	10								45543;45952;														893	1								11			sl174_end								
jyw048	CommonNpc	张飞爷		8	365	2	2			1.25	4	hand1_1	npc\monster382	1	0.905	icon\monster\monster382.png				dk_r_618	0				1	0	0			8				1			1	1					1									6	15		3									Npc_jy_yzq01	"Npc_jy_yzq01,7,0;Npc_jy_yzq02,7,0;Npc_jy_yzq03,7,0;Npc_jy_yzq04,7,0;Npc_jy_yzq05,7,0;Npc_jy_yzq06,7,0;Npc_jy_yzq07,1,0;Npc_jy_yzq07_sky,1,0;Npc_jy_yzq08,1,0;jn_tg_yanxing,1,0"	1						1			2000	15		2000						1		0	10								45544;45953;														1244	1								11			sl174_end								
wd179	CommonNpc	广龙真人		8	365	2	2			1.25	4	sword1_1	npc\worldnpc053	1	0.905	icon\funcnpc\worldnpc053.png				s_r_217	0				1	0	0			8				1			1	7					1									6	15		3									Npc_wd_qfjf01	"Npc_wd_qfjf01,7,0;Npc_wd_qfjf02,7,0;Npc_wd_qfjf03,7,0;Npc_wd_qfjf04,7,0;Npc_wd_qfjf05,7,0;Npc_wd_qfjf06,7,0;Npc_wd_qfjf07,7,0;Npc_wd_qfjf02_sky,7,0;Npc_wd_qfjf06_sky,7,0"	1						1			2000	15		2000						1		0	10								45540;45949;														1241	1								11			sl174_end								
