NPC编号	ini注释名称	对象类型	Npc类型	级别	实力包编号	修为经验	怪物强度	掉落	走路速度	跑步速度	武器持握方式	是否转身	模型编号	性别	模型半径	图片	npc声音	材质类型	脚本编号	技能表	连招表	AI类型	主动被动	响应范围	锁定位移攻击	禁播受击动作	选择操作	拾取权限清空时间	无拾取物消失时间	最大消失时间	触发特效	巡逻模式	巡逻半径	路径ID	是否随机出现	武器名称	武器类型	出生状态	刷新时间	表现AI包编号	NPC种类ID	门派	称号	籍贯	阵营	名字表序号	生平表序号	生平	势力归属	势力关系表	剥皮范围	剥皮动作	读条时间	技能编号	技能等级	最大剥皮次数	剩余剥皮次数	是否在剥皮中	生活工具限制包ID	消耗体力	消耗工具耐久	排行榜积分	显示掉落	生活掉落包ID	生活心得	敌人NPC编号表	队友编号	不能被杀死	攻击防御比重	"战斗频率,毫秒"	无法被硬直	锁定技能间隔	召唤ID	召唤半径	召唤类型	表演概率	表演时间	"追击范围,米"	附加随机能力编号	普通攻击	AI编辑包	直接触发	使用轻功	格挡模式	破防几率	破防技能	动作集	生存时间	进入战斗对话	超过距离就脱战	脱战回血	无视玩家	仇恨
STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Name	script	NpcType	Level	PowerNo	FacultyExp	BossLevel	DropID	WalkSpeed	RunSpeed	WeaponMode	NeedRotate	Resource	Gender	CollideRadius	Photo	ActionSoundMode	Material	LuaScript	table@SkillRec	table@TaoluRec	AITemplate	NotPositive	SpringRange	Fixed	FixedBeHitAct	SelectState	PickChangeTime	DestroyTime1	DestroyTime2	SpringEffect	PatrolMode	PatrolRange	PathID	RandomBorn	WeaponName	WeaponType	table@BornActionRec	RefreshTime	AIParaNo	CKindID	School	Call	Hometown	Camp	SNameTable	StoryTable	Story	SelfForceID	table@ForceRec	SkinRange	SkinAction	DelayTime	SkinPara1	SkinPara2	MaxCount	LeftCount	IsUsing	ToolLimitedID	NeedEne	UseHardiness	PaiHangPoint	ShowDrop	LifeDropPackage	LifeExpPackage	table@EnemyNpcRec	FriendNpc	CantBeKilled	AttackRate	AIFightFreq	CantBeStick	SkillHoldTime	CallHelpID	CallHelpRange	CallHelpType	ShowRate	ShowTime	ChaseRange	AddPropID	NormalSkill	AIEditorPackID	DirectSpring	UseQingGong	ParrayID	AIBreakParryRate	BreakParrySkill	ActionSet	LifeTime	BeginFightTalk	OnlyCareDistance	RecoverType	NoFightPlayer	CantFight
CV	"//v01,漠河镇A黑龙江省"																																																																																												
	"//0,漠河镇"																																																																																												
monv010100	木桩	AttackNpc	1	0	0		1		0	0	hand_0		npc\itemnpc004		0.58715	icon\funcnpc\itemnpc004.png		1				0	1		1		2	1	2	1			3						-1	1																																						30						-1									
monv010200	贪婪的恶霸	AttackNpc	14	1	34		1	NormalMon00101	1.25	4	hand1_1		npc\monster500		0.915	icon\monster\monster500.png				"huaizhongbaoyue_nan,1,50"		1	1				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			699												
monv010201	逃犯侍卫	AttackNpc	14	2	34		1	NormalMon00201	1.25	4	hand1_1		npc\monster492		0.91	icon\monster\monster492.png				"yunyansiqi_nan,1,30;wuleihongding_nan,1,50"		1	1				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			699												
monv010202	逃犯精英	AttackNpc	14	3	34		1	NormalMon00301	1.55	3.7	hand1_1		npc\monster472		0.925	icon\monster\monster472.png				"ruyansandie_nan,1,30;yunyansiqi_nan,1,50"		1	1				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			699												
monv010203	逃犯首领	AttackNpc	14	3	34		1	NormalMon00301	1.25	4	hand1_1		npc\worldnpc239		0.90942	icon\funcnpc\worldnpc239.png				"canglanzhen_nan,1,50;ruyansandie_nan,1,50;jili,1,0"		1	1				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			699												
monv010300	漠河地痞	AttackNpc	14	3	34		1	NormalMon00301	1.25	4	hand1_1		npc\worldnpc511		0.885	icon\funcnpc\worldnpc511.png	npc_male					1	1				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			706												
