NPC编号	ini注释名称	对象类型	触发半径	事件包ID	世界触发器相关
STRING	STRING	STRING	STRING	STRING	STRING
ID	Name	script	SpringRange	SceneEventPackageID	UsedByTrigger
EventTrigger	事件触发器	SceneEventTrigger	30	triggerevent_1	
EventTrigger2	事件触发器	SceneEventTrigger	30	triggerevent_001	
school06_04	事件触发器	SceneEventTrigger	30	school06_04	
school06_05	事件触发器	SceneEventTrigger	30	school06_05	
school06_06	事件触发器	SceneEventTrigger	30	school06_06	
school06_07	事件触发器	SceneEventTrigger	30	school06_07	
school06_08	事件触发器	SceneEventTrigger	30	school06_08	
school06_09	事件触发器	SceneEventTrigger	30	school06_09	
school06_10	事件触发器	SceneEventTrigger	30	school06_10	
school06_11	事件触发器	SceneEventTrigger	30	school06_11	
school06_12	事件触发器	SceneEventTrigger	30	school06_12	
school06_13	事件触发器	SceneEventTrigger	30	school06_13	
school06_14	事件触发器	SceneEventTrigger	30	school06_14	
school06_15	事件触发器	SceneEventTrigger	30	school06_15	
school06_16	事件触发器	SceneEventTrigger	30	school06_16	
school06_17	事件触发器	SceneEventTrigger	30	school06_17	
school06_18	事件触发器	SceneEventTrigger	30	school06_18	
school06_19	事件触发器	SceneEventTrigger	30	school06_19	
school06_20	事件触发器	SceneEventTrigger	30	school06_20	
school06_21	事件触发器	SceneEventTrigger	30	school06_21	
school06_22	事件触发器	SceneEventTrigger	30	school06_22	
school06_23	事件触发器	SceneEventTrigger	30	school06_23	
school01_04	事件触发器	SceneEventTrigger	30	school01_04	
school01_05	事件触发器	SceneEventTrigger	30	school01_05	
school01_06	事件触发器	SceneEventTrigger	30	school01_06	
school01_07	事件触发器	SceneEventTrigger	30	school01_07	
school01_08	事件触发器	SceneEventTrigger	30	school01_08	
school01_09	事件触发器	SceneEventTrigger	30	school01_09	
school01_10	事件触发器	SceneEventTrigger	30	school01_10	
school01_11	事件触发器	SceneEventTrigger	30	school01_11	
school01_12	事件触发器	SceneEventTrigger	30	school01_12	
school01_13	事件触发器	SceneEventTrigger	30	school01_13	
school01_14	事件触发器	SceneEventTrigger	30	school01_14	
school01_15	事件触发器	SceneEventTrigger	30	school01_15	
school01_16	事件触发器	SceneEventTrigger	30	school01_16	
school01_17	事件触发器	SceneEventTrigger	30	school01_17	
school01_18	事件触发器	SceneEventTrigger	30	school01_18	
school01_19	事件触发器	SceneEventTrigger	30	school01_19	
school01_20	事件触发器	SceneEventTrigger	30	school01_20	
school01_21	事件触发器	SceneEventTrigger	30	school01_21	
school01_22	事件触发器	SceneEventTrigger	30	school01_22	
school01_23	事件触发器	SceneEventTrigger	30	school01_23	
school02_04	事件触发器	SceneEventTrigger	30	school02_04	
school02_05	事件触发器	SceneEventTrigger	30	school02_05	
school02_06	事件触发器	SceneEventTrigger	30	school02_06	
school02_07	事件触发器	SceneEventTrigger	30	school02_07	
school02_08	事件触发器	SceneEventTrigger	30	school02_08	
school02_09	事件触发器	SceneEventTrigger	30	school02_09	
school02_10	事件触发器	SceneEventTrigger	30	school02_10	
school02_11	事件触发器	SceneEventTrigger	30	school02_11	
school02_12	事件触发器	SceneEventTrigger	30	school02_12	
school02_13	事件触发器	SceneEventTrigger	30	school02_13	
school02_14	事件触发器	SceneEventTrigger	30	school02_14	
school02_15	事件触发器	SceneEventTrigger	30	school02_15	
school02_16	事件触发器	SceneEventTrigger	30	school02_16	
school02_17	事件触发器	SceneEventTrigger	30	school02_17	
school02_18	事件触发器	SceneEventTrigger	30	school02_18	
school02_19	事件触发器	SceneEventTrigger	30	school02_19	
school02_20	事件触发器	SceneEventTrigger	30	school02_20	
school02_21	事件触发器	SceneEventTrigger	30	school02_21	
school02_22	事件触发器	SceneEventTrigger	30	school02_22	
school02_23	事件触发器	SceneEventTrigger	30	school02_23	
school03_04	事件触发器	SceneEventTrigger	30	school03_04	
school03_05	事件触发器	SceneEventTrigger	30	school03_05	
school03_06	事件触发器	SceneEventTrigger	30	school03_06	
school03_07	事件触发器	SceneEventTrigger	30	school03_07	
school03_08	事件触发器	SceneEventTrigger	30	school03_08	
school03_09	事件触发器	SceneEventTrigger	30	school03_09	
school03_10	事件触发器	SceneEventTrigger	30	school03_10	
school03_11	事件触发器	SceneEventTrigger	30	school03_11	
school03_12	事件触发器	SceneEventTrigger	30	school03_12	
school03_13	事件触发器	SceneEventTrigger	30	school03_13	
school03_14	事件触发器	SceneEventTrigger	30	school03_14	
school03_15	事件触发器	SceneEventTrigger	30	school03_15	
school03_16	事件触发器	SceneEventTrigger	30	school03_16	
school03_17	事件触发器	SceneEventTrigger	30	school03_17	
school03_18	事件触发器	SceneEventTrigger	30	school03_18	
school03_19	事件触发器	SceneEventTrigger	30	school03_19	
school03_20	事件触发器	SceneEventTrigger	30	school03_20	
school03_21	事件触发器	SceneEventTrigger	30	school03_21	
school03_22	事件触发器	SceneEventTrigger	30	school03_22	
school03_23	事件触发器	SceneEventTrigger	30	school03_23	
school04_04	事件触发器	SceneEventTrigger	30	school04_04	
school04_05	事件触发器	SceneEventTrigger	30	school04_05	
school04_06	事件触发器	SceneEventTrigger	30	school04_06	
school04_07	事件触发器	SceneEventTrigger	30	school04_07	
school04_08	事件触发器	SceneEventTrigger	30	school04_08	
school04_09	事件触发器	SceneEventTrigger	30	school04_09	
school04_10	事件触发器	SceneEventTrigger	30	school04_10	
school04_11	事件触发器	SceneEventTrigger	30	school04_11	
school04_12	事件触发器	SceneEventTrigger	30	school04_12	
school04_13	事件触发器	SceneEventTrigger	30	school04_13	
school04_14	事件触发器	SceneEventTrigger	30	school04_14	
school04_15	事件触发器	SceneEventTrigger	30	school04_15	
school04_16	事件触发器	SceneEventTrigger	30	school04_16	
school04_17	事件触发器	SceneEventTrigger	30	school04_17	
school04_18	事件触发器	SceneEventTrigger	30	school04_18	
school04_19	事件触发器	SceneEventTrigger	30	school04_19	
school04_20	事件触发器	SceneEventTrigger	30	school04_20	
school04_21	事件触发器	SceneEventTrigger	30	school04_21	
school04_22	事件触发器	SceneEventTrigger	30	school04_22	
school04_23	事件触发器	SceneEventTrigger	30	school04_23	
school05_04	事件触发器	SceneEventTrigger	30	school05_04	
school05_05	事件触发器	SceneEventTrigger	30	school05_05	
school05_06	事件触发器	SceneEventTrigger	30	school05_06	
school05_07	事件触发器	SceneEventTrigger	30	school05_07	
school05_08	事件触发器	SceneEventTrigger	30	school05_08	
school05_09	事件触发器	SceneEventTrigger	30	school05_09	
school05_10	事件触发器	SceneEventTrigger	30	school05_10	
school05_11	事件触发器	SceneEventTrigger	30	school05_11	
school05_12	事件触发器	SceneEventTrigger	30	school05_12	
school05_13	事件触发器	SceneEventTrigger	30	school05_13	
school05_14	事件触发器	SceneEventTrigger	30	school05_14	
school05_15	事件触发器	SceneEventTrigger	30	school05_15	
school05_16	事件触发器	SceneEventTrigger	30	school05_16	
school05_17	事件触发器	SceneEventTrigger	30	school05_17	
school05_18	事件触发器	SceneEventTrigger	30	school05_18	
school05_19	事件触发器	SceneEventTrigger	30	school05_19	
school05_20	事件触发器	SceneEventTrigger	30	school05_20	
school05_21	事件触发器	SceneEventTrigger	30	school05_21	
school05_22	事件触发器	SceneEventTrigger	30	school05_22	
school05_23	事件触发器	SceneEventTrigger	30	school05_23	
school07_04	事件触发器	SceneEventTrigger	30	school07_04	
school07_05	事件触发器	SceneEventTrigger	30	school07_05	
school07_06	事件触发器	SceneEventTrigger	30	school07_06	
school07_07	事件触发器	SceneEventTrigger	30	school07_07	
school07_08	事件触发器	SceneEventTrigger	30	school07_08	
school07_09	事件触发器	SceneEventTrigger	30	school07_09	
school07_10	事件触发器	SceneEventTrigger	30	school07_10	
school07_11	事件触发器	SceneEventTrigger	30	school07_11	
school07_12	事件触发器	SceneEventTrigger	30	school07_12	
school07_13	事件触发器	SceneEventTrigger	30	school07_13	
school07_14	事件触发器	SceneEventTrigger	30	school07_14	
school07_15	事件触发器	SceneEventTrigger	30	school07_15	
school07_16	事件触发器	SceneEventTrigger	30	school07_16	
school07_17	事件触发器	SceneEventTrigger	30	school07_17	
school07_18	事件触发器	SceneEventTrigger	30	school07_18	
school07_19	事件触发器	SceneEventTrigger	30	school07_19	
school07_20	事件触发器	SceneEventTrigger	30	school07_20	
school07_21	事件触发器	SceneEventTrigger	30	school07_21	
school07_22	事件触发器	SceneEventTrigger	30	school07_22	
school07_23	事件触发器	SceneEventTrigger	30	school07_23	
school08_04	事件触发器	SceneEventTrigger	30	school08_04	
school08_05	事件触发器	SceneEventTrigger	30	school08_05	
school08_06	事件触发器	SceneEventTrigger	30	school08_06	
school08_07	事件触发器	SceneEventTrigger	30	school08_07	
school08_08	事件触发器	SceneEventTrigger	30	school08_08	
school08_09	事件触发器	SceneEventTrigger	30	school08_09	
school08_10	事件触发器	SceneEventTrigger	30	school08_10	
school08_11	事件触发器	SceneEventTrigger	30	school08_11	
school08_12	事件触发器	SceneEventTrigger	30	school08_12	
school08_13	事件触发器	SceneEventTrigger	30	school08_13	
school08_14	事件触发器	SceneEventTrigger	30	school08_14	
school08_15	事件触发器	SceneEventTrigger	30	school08_15	
school08_16	事件触发器	SceneEventTrigger	30	school08_16	
school08_17	事件触发器	SceneEventTrigger	30	school08_17	
school08_18	事件触发器	SceneEventTrigger	30	school08_18	
school08_19	事件触发器	SceneEventTrigger	30	school08_19	
school08_20	事件触发器	SceneEventTrigger	30	school08_20	
school08_21	事件触发器	SceneEventTrigger	30	school08_21	
school08_22	事件触发器	SceneEventTrigger	30	school08_22	
school08_23	事件触发器	SceneEventTrigger	30	school08_23	
ceshixunlu01	事件触发器	SceneEventTrigger	20	ceshixunlu01	
