NPC编号	对象类型	ini注释名称	NPC乞讨信息	表现AI包编号	NPC类型	选择操作	鼠标形状	停留时间	是否转身	走路速度	跑步速度	武器持握方式	模型编号	性别	模型半径	图片	出生状态	npc声音	组成材料	武器名称	NPC种类ID	脚本编号	是否能接镖	触发特效	AI类型	巡逻模式	巡逻半径	路径ID	是否随机出现	响应范围	门派	称号	籍贯	阵营	名字表序号	生平表序号	身份参数01	身份参数2	身份参数3	对话规则	踢馆专用关联NPC	生平	能否切磋	随机对话	下棋玩家的最小等级	NPC身上挂的棋谱包	NPC事件包编号	进入切磋前对话	结束切磋后对话	空闲状态对话	碰撞时对话	仇恨	实力包编号	级别	修为经验	怪物强度	掉落	武器类型	锁定位移攻击	禁播受击动作	拾取权限清空时间	无拾取物消失时间	最大消失时间	附加随机能力编号	普通攻击	技能表	主动被动	固定NPC重生时间	敌人NPC编号表	队友编号	能否攻击	能不能被攻击	不能被杀死	攻防比重	防御概率	"战斗频率,毫秒"	"追击范围,米"	无法被硬直	锁定技能间隔	召唤ID	召唤半径	召唤类型	表演概率	表演时间	婚宴npc类型	势力归属	势力关系表	战斗开始的召唤ID	NPC交互停留时间	权重	初始动作固定帧播放	碰撞对话规则	商店ID	洗红名功能	仓库ID	职业ID	宝石游戏NPC ID	接任务表	交任务表	可以加入的门派表	可获得的身份表	复活点	落脚点	驿站	输入关系包编号	是否有公会功能	帮派地块购买	是否有门派战功能	运镖编号	是否有帮派仓库	所属帮会地块编号	AI编辑包	善恶参数	直接触发	脱战回血	格挡方式(-1表示不格挡)	超过距离就脱战	使用轻功	破防几率	破防技能	防御CD	世界触发器相关	存在时间	是否理会玩家	缩放尺寸	跟随距离	跟随位置	是否跨场景	跟随角度	NPC所属势力	动作集	大逃杀专用	团队显示道具
STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	script	Name	NpcBegInfo	AIParaNo	NpcType	SelectState	CursorShape	StopTime	NeedRotate	WalkSpeed	RunSpeed	WeaponMode	Resource	Gender	CollideRadius	Photo	table@BornAction	ActionSoundMode	Material	WeaponName	CKindID	LuaScript	EscortFlag	SpringEffect	AITemplate	PatrolMode	PatrolRange	PathID	RandomBorn	SpringRange	School	Call	Hometown	Camp	SNameTable	StoryTable	OriginPara1	OriginPara2	OriginPara3	NpcTalkRule	TgCorrelation	Story	CanQiecuo	FreeTalk	LevelMin	table@Qipus	FeedBack	BeginQiecuoTalk	EndQiecuoTalk	FreeTalk	KnockTalk	CantFight	PowerNo	Level	FacultyExp	BossLevel	DropID	WeaponType	Fixed	FixedBeHitAct	PickChangeTime	DestroyTime1	DestroyTime2	AddPropID	NormalSkill	table@SkillRec	NotPositive	RefreshTime	table@EnemyNpcRec	FriendNpc	CantAttack	CantBeAttack	CantBeKilled	AttackRate	AIParrayRate	AIFightFreq	ChaseRange	CantBeStick	SkillHoldTime	CallHelpID	CallHelpRange	CallHelpType	ShowRate	ShowTime	FeastNpcType	SelfForceID	table@ForceRec	SummonIDBeginFight	StopTime	Weight	NotRandBAFrame	KnockTalk	ShopID	ClearPK	DepotID	Job	GemGameNpcID	table@TaskCanAccept	table@TaskCanSubmit	table@school_rec	table@OriginCanGet	RelivePos	HomePoint	TransFuncID	RelationInputNo	GuildFunc	BuyGuildDomain	SchoolWarFunc	EscortID	GuildDepotFunc	DomainID	AIEditorPackID	Character	DirectSpring	RecoverType	ParrayID	OnlyCareDistance	UseQingGong	AIBreakParryRate	BreakParrySkill	ParryCD	UsedByTrigger	LifeTime	NoFightPlayer	Scale	TraceDist	TraceFix	IsTraceChangeScene	TraceAngle	WorldWarForceSide	ActionSet	TaoShaNpcType	IsDropTip
																																																																																																																																					
																																																																																																																																					
monv012100	CommonNpc	毛人村猎户		8	12	2	2	10		1.25	4	hand1_1	npc\worldnpc514		0.92						0				3	0	0			20																							1	14		1					15	10	60				1					1				2000	30		2000							550		0	10																																												
monv012101	CommonNpc	毛人村村卫		8	12	2	2	10		1.25	4	hand1_1	npc\worldnpc513		0.92						0				3	0	0			20																							1	14		1					15	10	60				1					1				2000	30		2000							550		0	10																																												
monv012102	CommonNpc	猎犬		8	7	2	2	10		1.25	4	hand_0	npc\petm_c_1503		0.92						0				3	0	0			20																							1	14		1					15	10	60				1					1				2000	30		2000							550		0	10																																												
monv020201	CommonNpc	恶人谷守卫		8	14	2	2	10		1.25	4	hand1_1	npc\worldnpc561		0.925	icon\funcnpc\worldnpc561.png					0				3	0	0			20																							1	5		1					15	10	60				1					1				2000	30		2000							506		0	10																							646																					
monv022100	CommonNpc	星宿派弟子		8	14	2	2	10		1.25	4	hand1_1	npc\monster122		0.919509	icon\monster\monster122.png					0				3	0	0			20																							1	5		1					15	10	60				1					1				2000	30		2000							506		0	10																							660																					
monv022101	CommonNpc	星宿派捕蚕弟子		8	14	2	2	10		1.25	4	hand1_1	npc\worldnpc553		0.935	icon\funcnpc\worldnpc553.png					0				3	0	0			20																							1	5		1					15	10	60				1					1				2000	30		2000							506		0	10																							660																					
monv022102	CommonNpc	星宿派巡守		8	14	2	2	10		1.25	4	hand1_1	npc\worldnpc356		0.920611	icon\funcnpc\worldnpc356.png					0				3	0	0			20																							1	5		1					15	10	60				1					1				2000	30		2000							506		0	10																							660																					
																					0				3	0	0			20																							1	5		1					15	10	60				1					1				2000	30		2000							506		0	10																																												
monv022103	CommonNpc	星宿派监视弟子		8	14	2	2	10		1.25	4	hand1_1	npc\monster244		0.92	icon\monster\monster244.png					0				3	0	0			20																							1	5		1					15	10	60				1					1				2000	30		2000							506		0	10																							660																					
monv022300	CommonNpc	昆仑派内奸		8	14	2	2	10		1.25	4	hand1_1	npc\monster071		0.945	icon\monster\monster071.png					0				3	0	0			20																							1	5		1					15	10	60				1					1				2000	30		2000							506		0	10																							662																					
																					0				3	0	0			20																							1	5		1					15	10	60				1					1				2000	30		2000							506		0	10																																												
monv022400	CommonNpc	星宿派高手		8	14	2	2	10		1.25	4	hand1_1	npc\monster242		0.945	icon\monster\monster242.png					0				3	0	0			20																							1	5		1					15	10	60				1					1				2000	30		2000							506		0	10																							660																					
monv023100	CommonNpc	昆仑派门下弟子		8	14	2	2	10		1.25	4	hand1_1	npc\monster520		0.905	icon\monster\monster520.png					0				3	0	0			20																							1	5		1					15	10	60				1					1				2000	30		2000							506		0	10																							665																					
monv023101	CommonNpc	玉箫剑客		8	14	2	2	10		1.25	4	hand1_1	npc\monster043		0.928146	icon\monster\monster043.png					0				3	0	0			20																							1	5		1					15	10	60				1					1				2000	30		2000							506		0	10																							665																					
monv023102	CommonNpc	昆仑青衣弟子		8	14	2	2	10		1.25	4	hand1_1	npc\worldnpc384		0.922367	icon\funcnpc\worldnpc384.png					0				3	0	0			20																							1	5		1					15	10	60				1					1				2000	30		2000							506		0	10																							665																					
monv023103	CommonNpc	玉笛巡守		8	14	2	2	10		1.25	4	hand1_1	npc\monster270		0.96	icon\monster\monster270.png					0				3	0	0			20																							1	5		1					15	10	60				1					1				2000	30		2000							506		0	10																							665																					
monv023201	CommonNpc	禁地护卫		8	14	2	2	10		1.25	4	hand1_1	npc\worldnpc207		0.89833	icon\funcnpc\worldnpc207.png					0				3	0	0			20																							1	5		1					15	10	60				1					1				2000	30		2000							506		0	10																							665																					
monv023202	CommonNpc	玉峰剑侠		8	14	2	2	10		1.25	4	hand1_1	npc\monster043		0.928146	icon\monster\monster043.png					0				3	0	0			20																							1	5		1					15	10	60				1					1				2000	30		2000							506		0	10																							665																					
monv023203	CommonNpc	轮星坛使		8	14	2	2	10		1.25	4	hand1_1	npc\worldnpc536		0.91	icon\funcnpc\worldnpc536.png					0				3	0	0			20																							1	5		1					15	10	60				1					1				2000	30		2000							506		0	10																							665																					
monv023300	CommonNpc	昆仑派叛徒		8	12	2	2	10		1.25	4	hand1_1	npc\monster160		0.925	icon\monster\monster160.png					0				3	0	0			20																							1	5		1					15	10	60				1					1				2000	30		2000							504		0	10																																												
monv023301	CommonNpc	冰囚看守		8	14	2	2	10		1.25	4	hand1_1	npc\worldnpc560		0.9	icon\funcnpc\worldnpc560.png					0				3	0	0			20																							1	5		1					15	10	60				1					1				2000	30		2000							506		0	10																							665																					
monv023303	CommonNpc	冰牢囚徒		8	12	2	2	10		1.25	4	hand1_1	npc\monster413		0.905	icon\monster\monster413.png					0				3	0	0			20																							1	5		1					15	10	60				1					1				2000	30		2000							504		0	10																																												
monv023400	CommonNpc	阳剑弟子		8	12	2	2	10		1.25	4	hand1_1	npc\monster454		0.92	icon\monster\monster454.png					0				3	0	0			20																							1	5		1					15	10	60				1					1				2000	30		2000							504		0	10																																												
monv023401	CommonNpc	圣池护卫		8	14	2	2	10		1.25	4	hand1_1	npc\worldnpc077		0.919118	icon\funcnpc\worldnpc077.png					0				3	0	0			20																							1	5		1					15	10	60				1					1				2000	30		2000							506		0	10																							665																					
monv023402	CommonNpc	祈圣弟子		8	14	2	2	10		1.25	4	hand1_1	npc\worldnpc202		0.919509	icon\funcnpc\worldnpc202.png					0				3	0	0			20																							1	5		1					15	10	60				1					1				2000	30		2000							506		0	10																							665																					
monv023403	CommonNpc	圣坛祈师		8	14	2	2	10		1.25	4	hand1_1	npc\worldnpc564		0.905	icon\funcnpc\worldnpc564.png					0				3	0	0			20																							1	5		1					15	10	60				1					1				2000	30		2000							506		0	10																							665																					
monv023404	CommonNpc	圣坛护法		8	14	2	2	10		1.25	4	hand1_1	npc\monster242		0.945	icon\monster\monster242.png					0				3	0	0			20																							1	5		1					15	10	60				1					1				2000	30		2000							506		0	10																							665																					
monv023500	CommonNpc	昆仑派高手		8	14	2	2	10		1.25	4	hand1_1	npc\monster252		0.93417	icon\monster\monster252.png					0				3	0	0			20																							1	5		1					15	10	60				1					1				2000	30		2000							506		0	10																							665																					
monv025100	CommonNpc	素玉女史		8	12	2	2	10		1.25	4	hand1_2	npc\monster183		0.87	icon\monster\monster183.png					0				3	0	0			20																							1	5		1					15	10	60				1					1				2000	30		2000							505		0	10																																												
monv025101	CommonNpc	迷林魅女		8	12	2	2	10		1.25	4	hand1_2	npc\worldnpc412		0.820855	icon\funcnpc\worldnpc412.png					0				3	0	0			20																							1	5		1					15	10	60				1					1				2000	30		2000							505		0	10																																												
monv025102	CommonNpc	搜魂魔女		8	14	2	2	10		1.25	4	hand1_1	npc\worldnpc574		0.915	icon\funcnpc\worldnpc574.png					0				3	0	0			20																							1	5		1					15	10	60				1					1				2000	30		2000							506		0	10																							670																					
monv025103	CommonNpc	太阴毒妇		8	12	2	2	10		1.25	4	hand1_2	npc\monster395		0.875	icon\monster\monster395.png					0				3	0	0			20																							1	5		1					15	10	60				1					1				2000	30		2000							505		0	10																																												
monv025200	CommonNpc	云璇媚妇		8	12	2	2	10		1.25	4	hand1_2	npc\monster195		0.865	icon\monster\monster195.png					0				3	0	0			20																							1	5		1					15	10	60				1					1				2000	30		2000							505		0	10																																												
monv025201	CommonNpc	绿衣媚娘		8	14	2	2	10		1.25	4	hand1_2	npc\worldnpc527		0.83	icon\funcnpc\worldnpc527.png					0				3	0	0			20																							1	5		1					15	10	60				1					1				2000	30		2000							506		0	10																							670																					
monv025202	CommonNpc	彩衣舞使		8	14	2	2	10		1.25	4	hand1_2	npc\worldnpc203		0.872345	icon\funcnpc\worldnpc203.png					0				3	0	0			20																							1	5		1					15	10	60				1					1				2000	30		2000							506		0	10																							670																					
monv025203	CommonNpc	舞霞婢女		8	12	2	2	10		1.25	4	hand1_2	npc\worldnpc066		0.85	icon\funcnpc\worldnpc066.png					0				3	0	0			20																							1	5		1					15	10	60				1					1				2000	30		2000							505		0	10																																												
