NPC编号	对象类型	特殊建筑类型	ini注释名称	NPC乞讨信息	表现AI包编号	NPC类型	家园子npc类型	选择操作	鼠标形状	是否转身	走路速度	跑步速度	武器持握方式	武器名称	模型编号	性别	模型半径	图片	出生状态	npc声音	组成材料	武器名称	NPC种类ID	脚本编号	是否能接镖	触发特效	AI类型	巡逻模式	巡逻半径	路径ID	是否随机出现	响应范围	缩放	称号	籍贯	阵营	名字表序号	生平表序号	身份参数01	身份参数2	身份参数3	对话规则	踢馆专用关联NPC	生平	能否切磋	下棋玩家的最小等级	NPC身上挂的棋谱包	NPC事件包编号	进入切磋前对话	结束切磋后对话	空闲状态对话	实力包编号	级别	修为经验	怪物强度	掉落	武器类型	锁定位移攻击	拾取权限清空时间	无拾取物消失时间	最大消失时间	附加随机能力编号	普通攻击	技能表	主动被动	固定NPC重生时间	敌人NPC编号表	队友编号	能否攻击	能不能被攻击	不能被杀死	攻防比重	防御概率	"战斗频率,毫秒"	"追击范围,米"	无法被硬直	锁定技能间隔	召唤ID	召唤半径	召唤类型	表演概率	表演时间	势力归属	势力关系表	战斗开始的召唤ID	NPC交互停留时间	权重	碰撞对话规则	初始动作固定帧播放	商店ID	洗红名功能	仓库ID	职业ID	钓鱼活动	宝石游戏NPC ID	接任务表	交任务表	可以加入的门派表	可获得的身份表	复活点	落脚点	驿站	输入关系包编号	是否有公会功能	帮派地块购买	是否有门派战功能	运镖编号	是否有帮派仓库	是否有帮派驻地	AI编辑包	善恶参数	直接触发	表演时间（ms）	使用次数	婚宴npc类型	格挡方式(-1表示不格挡)	脱战回血	存在时间(毫秒)	退出发声对话	天气包	护卫跟随点X	护卫跟随点Z	捐献类型	是否可见	优先显示
STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	string	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	script	InterBuildingID	Name	NpcBegInfo	AIParaNo	NpcType	HomeFuncNpcType	SelectState	CursorShape	NeedRotate	WalkSpeed	RunSpeed	WeaponMode	WeaponName	Resource	Gender	CollideRadius	Photo	BornAction	ActionSoundMode	Material	WeaponName	CKindID	LuaScript	EscortFlag	SpringEffect	AITemplate	PatrolMode	PatrolRange	PathID	RandomBorn	SpringRange	Scale	Call	Hometown	Camp	SNameTable	StoryTable	OriginPara1	OriginPara2	OriginPara3	NpcTalkRule	TgCorrelation	Story	CanQiecuo	LevelMin	table@Qipus	FeedBack	BeginQiecuoTalk	EndQiecuoTalk	FreeTalk	PowerNo	Level	FacultyExp	BossLevel	DropID	WeaponType	Fixed	PickChangeTime	DestroyTime1	DestroyTime2	AddPropID	NormalSkill	table@SkillRec	NotPositive	RefreshTime	table@EnemyNpcRec	FriendNpc	CantAttack	CantBeAttack	CantBeKilled	AttackRate	AIParrayRate	AIFightFreq	ChaseRange	CantBeStick	SkillHoldTime	CallHelpID	CallHelpRange	CallHelpType	ShowRate	ShowTime	SelfForceID	table@ForceRec	SummonIDBeginFight	StopTime	Weight	KnockTalk	NotRandBAFrame	ShopID	ClearPK	DepotID	Job	FishActivity	GemGameNpcID	table@TaskCanAccept	table@TaskCanSubmit	table@school_rec	table@OriginCanGet	RelivePos	HomePoint	TransFuncID	RelationInputNo	GuildFunc	BuyGuildDomain	SchoolWarFunc	EscortID	GuildDepotFunc	DomainID	AIEditorPackID	Character	DirectSpring	ActionTimer	UseTimes	FeastNpcType	ParrayID	RecoverType	LifeTime	LeaveTalkSound	WeatherPag	PatrolOffsetX	PatrolOffsetZ	ContributeType	Invisible	RefreshAtOnce
																																																																																																																													
	//生活师傅																																																																																																																												
	//千灯镇																																																																																																																												
JobQianDZ001	CommonNpc		王金亮	1	8	122		2	2	1	1.25	4	hand1_1		npc\worldnpc468	1		icon\funcnpc\worldnpc468.png					0				3	0	0			20			Home_131	1																																																						Shop_kg_01001			sh_kg			505;506;	505;506;900;																												
JobQianDZ002	CommonNpc		潘庆	1	8	123		2	2	1	1.25	4	hand1_1		npc\fbnpc004007c			icon\monster\fbnpc004007c.png					0				3	0	0			20			Home_131	1																																																						Shop_tj_01001			sh_tj			509;825;826;1501;	509;825;826;862;901;1501;																												
JobQianDZ003	CommonNpc		宋立仁	1	8	124		2	2		1.25	4	hand1_1		npc\worldnpc175	1		icon\funcnpc\worldnpc175.png					0				3	0	0			20			Home_131	1																																																						Shop_yf_01001			sh_yf	ui_sd_yugan_test01		511;	511;902;																												
JobQianDZ004	CommonNpc		仲强	1	8	125		2	2	1	0.3	3.8	hand1_1		npc\worldnpc133	1		icon\funcnpc\worldnpc133.png					0				3	0	0			20			Home_131	1																																																						Shop_qf_01001			sh_qf			512;	512;903;																												
JobQianDZ005	CommonNpc		朱发贵	1	8	126		2	2	1	1.25	4	hand1_1		npc\worldnpc484	1		icon\funcnpc\worldnpc484.png					0				3	0	0			20			Home_131	1																																																						Shop_nf_01001 			sh_nf			802;803;804;	802;803;804;904;																												
JobQianDZ006	CommonNpc		戴常	1	8	127		2	2	1	1.25	4	hand1_1		npc\worldnpc164	1		icon\funcnpc\worldnpc164.png					0				3	0	0			20			Home_131	1																																																						Shop_lh_01001			sh_lh			514;	514;905;1031;1041;1051;																							20					
JobQianDZ007	CommonNpc		孙丽娘	5	8	128		2	2	1	1.3	4.8	hand1_2		npc\worldnpc530	2		icon\funcnpc\worldnpc530.png					0				3	0	0			20			Home_131	1																																																						Shop_cf_01001			sh_cf			507;821;822;861;1502;	507;820;821;822;827;906;1502;																												
