NPC±àºÅ	¶ÔÏóÀàÐÍ	ini×¢ÊÍÃû³Æ	NPCÆòÌÖÐÅÏ¢	±íÏÖAI°ü±àºÅ	NPCÀàÐÍ	Ñ¡Ôñ²Ù×÷	Êó±êÐÎ×´	Í£ÁôÊ±¼ä	ÊÇ·ñ×ªÉí	×ßÂ·ËÙ¶È	ÅÜ²½ËÙ¶È	ÎäÆ÷³ÖÎÕ·½Ê½	Ä£ÐÍ±àºÅ	ÐÔ±ð	Ä£ÐÍ°ë¾¶	Í¼Æ¬	³öÉú×´Ì¬	npcÉùÒô	×é³É²ÄÁÏ	ÎäÆ÷Ãû³Æ	NPCÖÖÀàID	½Å±¾±àºÅ	´¥·¢ÌØÐ§	AIÀàÐÍ	Ñ²ÂßÄ£Ê½	Ñ²Âß°ë¾¶	Â·¾¶ID	ÊÇ·ñËæ»ú³öÏÖ	ÏìÓ¦·¶Î§	ÃÅÅÉ	³ÆºÅ	¼®¹á	ÕóÓª	Ãû×Ö±íÐòºÅ	ÉúÆ½±íÐòºÅ	Éí·Ý²ÎÊý1	Éí·Ý²ÎÊý2	Éí·Ý²ÎÊý3	¶Ô»°¹æÔò	ÉúÆ½	Ìß¹Ý×¨ÓÃ¹ØÁªNPC	ÄÜ·ñÇÐ´è	Ëæ»ú¶Ô»°	ÏÂÆåÍæ¼ÒµÄ×îÐ¡µÈ¼¶	NPCÉíÉÏ¹ÒµÄÆåÆ×°ü	NPCÊÂ¼þ°ü±àºÅ	½øÈëÇÐ´èÇ°¶Ô»°	½áÊøÇÐ´èºó¶Ô»°	¿ÕÏÐ×´Ì¬¶Ô»°	Åö×²Ê±¶Ô»°	ÊµÁ¦°ü±àºÅ	¼¶±ð	ÐÞÎª¾­Ñé	¹ÖÎïÇ¿¶È	µôÂä	ÎäÆ÷ÀàÐÍ	Ëø¶¨Î»ÒÆ¹¥»÷	½û²¥ÊÜ»÷¶¯×÷	Ê°È¡È¨ÏÞÇå¿ÕÊ±¼ä	ÎÞÊ°È¡ÎïÏûÊ§Ê±¼ä	×î´óÏûÊ§Ê±¼ä	¸½¼ÓËæ»úÄÜÁ¦±àºÅ	ÆÕÍ¨¹¥»÷	¼¼ÄÜ±í	Ö÷¶¯±»¶¯	¹Ì¶¨NPCÖØÉúÊ±¼ä	µÐÈËNPC±àºÅ±í	¶ÓÓÑ±àºÅ	ÄÜ·ñ¹¥»÷	ÄÜ²»ÄÜ±»¹¥»÷	²»ÄÜ±»É±ËÀ	¹¥·À±ÈÖØ	"Õ½¶·ÆµÂÊ,ºÁÃë"	"×·»÷·¶Î§,Ã×"	ÎÞ·¨±»Ó²Ö±	Ëø¶¨¼¼ÄÜ¼ä¸ô	ÕÙ»½ID	ÕÙ»½°ë¾¶	ÕÙ»½ÀàÐÍ	±íÑÝ¸ÅÂÊ	±íÑÝÊ±¼ä	ÊÆÁ¦¹éÊô	ÊÆÁ¦¹ØÏµ±í	Õ½¶·¿ªÊ¼µÄÕÙ»½ID	NPC½»»¥Í£ÁôÊ±¼ä	ÉÌµêID	Ï´ºìÃû¹¦ÄÜ	²Ö¿âID	Ö°ÒµID	±¦Ê¯ÓÎÏ·NPC ID	½ÓÈÎÎñ±í	½»ÈÎÎñ±í	¿ÉÒÔ¼ÓÈëµÄÃÅÅÉ±í	¿É»ñµÃµÄÉí·Ý±í	¸´»îµã	Âä½Åµã	æäÕ¾	ÊäÈë¹ØÏµ°ü±àºÅ	ÊÇ·ñÓÐ¹«»á¹¦ÄÜ	°ïÅÉµØ¿é¹ºÂò	ÊÇ·ñÓÐÃÅÅÉÕ½¹¦ÄÜ	ÔËïÚ±àºÅ	ÊÇ·ñÓÐ°ïÅÉ²Ö¿â	ËùÊô°ï»áµØ¿é±àºÅ	AI±à¼­°ü	ÉÆ¶ñ²ÎÊý	Ö±½Ó´¥·¢	·ÀÓù¸ÅÂÊÊôÐÔ	µØÎ»ÆÀ·Ö	±¨¸´µÈ¼¶	±¨¸´ÊÖ¶Î	NPCÓÅÏÈÏÔÊ¾	´æÔÚÊ±¼ä
STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	script	Name	NpcBegInfo	AIParaNo	NpcType	SelectState	CursorShape	StopTime	NeedRotate	WalkSpeed	RunSpeed	WeaponMode	Resource	Gender	CollideRadius	Photo	BornAction	ActionSoundMode	Material	WeaponName	CKindID	LuaScript	SpringEffect	AITemplate	PatrolMode	PatrolRange	PathID	RandomBorn	SpringRange	School	Call	Hometown	Camp	SNameTable	StoryTable	OriginPara1	OriginPara2	OriginPara3	NpcTalkRule	Story	TgCorrelation	CanQiecuo	FreeTalk	LevelMin	table@Qipus	FeedBack	BeginQiecuoTalk	EndQiecuoTalk	FreeTalk	KnockTalk	PowerNo	Level	FacultyExp	BossLevel	DropID	WeaponType	Fixed	FixedBeHitAct	PickChangeTime	DestroyTime1	DestroyTime2	AddPropID	NormalSkill	table@SkillRec	NotPositive	RefreshTime	table@EnemyNpcRec	FriendNpc	CantAttack	CantBeAttack	CantBeKilled	AttackRate	AIFightFreq	ChaseRange	CantBeStick	SkillHoldTime	CallHelpID	CallHelpRange	CallHelpType	ShowRate	ShowTime	SelfForceID	table@ForceRec	SummonIDBeginFight	StopTime	ShopID	ClearPK	DepotID	Job	GemGameNpcID	table@TaskCanAccept	table@TaskCanSubmit	table@school_rec	table@OriginCanGet	RelivePos	HomePoint	TransFuncID	RelationInputNo	GuildFunc	BuyGuildDomain	SchoolWarFunc	EscortID	GuildDepotFunc	DomainID	AIEditorPackID	Character	DirectSpring	AIParrayRate	KarmaLevel	AvengeLevel	AvengeEvent	RefreshAtonce	LifeTime
																																																																																																																	
																																																																																																																	
																																																																																																																	
FuncNpc01709	CommonNpc	ãÉÎä	2	8	66	2	2			1.25	4	hand1_1	npc\monster341			icon\monster\monster341.png					0			3	0	0			20	prop_QiTaMenPai_1		Home_133	1			7	2	10	talkrule070210												1	2		1											1						1		2000	15		2000								0	10	Shop_yaopin_00102																				1			3				
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
WorldNpc04901	CommonNpc	ÑîÊ¯		8	105	2	2			1.25	4	hand1_1	npc\worldnpc132			icon\funcnpc\worldnpc132.png					0			3	0	0			20				1			7	1	4	talkrule070104							166;177;211;215;156					1	2		1											1						1		2000	15		2000								0	10																					1			3				
WorldNpc04902	CommonNpc	ÓÈÓÚ¸Ê		8	105	2	2			1	4	hand1_1	npc\worldnpc467			icon\funcnpc\worldnpc467.png					0			3	0	0			20				1			7	2	15	talkrule070215							168;178;214;156;157					1	2		1											1						1		2000	15		2000								0	10																					1			2				
WorldNpc04903	CommonNpc	ÂÀ±£Â½		8	105	2	2			1.25	4	hand1_1	npc\funcnpc001			icon\funcnpc\funcnpc001.png					0			3	0	0			20				1			7	1	6	talkrule070106							161;210;212;156					1	2		1											1						1		2000	15		2000								0	10						83502;83503;	83502;83506;														1			3				
WorldNpc04904	CommonNpc	Ðì¿ïÈ«		8	105	2	2			1.25	4	hand1_1	npc\worldnpc118			icon\funcnpc\worldnpc118.png					0			3	0	0			20				1			7	1	5	talkrule070105							166;177;211;215;156					1	2		1											1						1		2000	15		2000								0	10																					1			3				
