NPC编号	ini注释名称	对象类型	副本分组场景刷新属性包	NPC类型	实力包编号	级别	修为经验	怪物强度	掉落	掉落数量	走路速度	跑步速度	武器持握方式	是否转身	模型编号	性别	模型半径	图片	npc声音	材质类型	脚本编号	技能表	AI类型	主动被动	响应范围	锁定位移攻击	禁播受击动作	选择操作	拾取权限清空时间	无拾取物消失时间	最大消失时间	触发特效	巡逻模式	巡逻半径	路径ID	是否随机出现	武器名称	武器类型	出生状态	表现AI包编号	NPC种类ID	门派	称号	籍贯	阵营	名字表序号	生平表序号	生平	空闲状态对话	进入战斗对话	脱离战斗对话	死亡对话	召唤对话	受到伤害状态对话	敌人NPC编号表	队友编号	不能被杀死	攻击防御比重	"战斗频率,毫秒"	无法被硬直	锁定技能间隔	召唤类型	召唤ID	召唤半径	表演概率	表演时间	"追击范围,米"	附加随机能力编号	普通攻击	势力归属	势力关系表	AI编辑包	直接触发	刷新时间	格挡类型	世界触发器相关	使用轻功	NPC绑定点	破防几率	破防技能	防御CD	世界战场声威	拾取半径	超过距离就脱战	脱战回血	存在时间	是否理会玩家	优先显示	缩放尺寸	跟随距离	跟随位置	时间轴	动作集	伤害判定奖励类BOSS类型	追击高度差	竞拍掉落	团队显示道具
STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Name	script	ModifyPropID	NpcType	PowerNo	Level	FacultyExp	BossLevel	DropID	DropCount	WalkSpeed	RunSpeed	WeaponMode	NeedRotate	Resource	Gender	CollideRadius	Photo	ActionSoundMode	Material	LuaScript	table@SkillRec	AITemplate	NotPositive	SpringRange	Fixed	FixedBeHitAct	SelectState	PickChangeTime	DestroyTime1	DestroyTime2	SpringEffect	PatrolMode	PatrolRange	PathID	RandomBorn	WeaponName	WeaponType	table@BornActionRec	AIParaNo	CKindID	School	Call	Hometown	Camp	SNameTable	StoryTable	Story	FreeTalk	BeginFightTalk	EndFightTalk	DieTalk	SummonTalk	BeAttackTalk	table@EnemyNpcRec	FriendNpc	CantBeKilled	AttackRate	AIFightFreq	CantBeStick	SkillHoldTime	CallHelpType	CallHelpID	CallHelpRange	ShowRate	ShowTime	ChaseRange	AddPropID	NormalSkill	SelfForceID	table@ForceRec	AIEditorPackID	DirectSpring	RefreshTime	ParrayID	UsedByTrigger	UseQingGong	table@LinkNpcRec	AIBreakParryRate	BreakParrySkill	ParryCD	PrestigeVal	OpenRange	OnlyCareDistance	RecoverType	LifeTime	NoFightPlayer	RefreshAtonce	Scale	TraceDist	TraceFix	AxisId	ActionSet	BossDamageRankPrizeID	ChaseYRange	AuctionDropID	IsDropTip
																																																																																																	
bossv020200	荆无命	BossNpc		3	4	21		3			1.25	4	hand1_1		npc\monster071	1	0.945	icon\monster\monster071.png					7			1	1	2	8	60	40	npc_foundplayer								1																			1500	1	1000	0					30			1				0																							
					4																																																																																												
bossv030100	武霸王山贼头目	BossNpc		3	4	2		2			1.25	4	hand1_1		npc\monster036		1.030654	icon\monster\monster036.png					7			1	1	2	8	60	40	npc_foundplayer								1																			1500	1	1000	0	   				30			1				0																							
bossv030200	盐帮帮主	BossNpc		3	4	13		3			1.25	4	hand1_1		npc\monster126		0.887865	icon\monster\monster126.png					7			1	1	2	8	60	40	npc_foundplayer								1																			1500	1	1000	0					30			1				0																							
bossv040100	茶林场主东方玉环	BossNpc		3	4	6		3			1.3	4.8	hand1_2		npc\worldnpc738		0.97	icon\funcnpc\worldnpc738.png					7			1	1	2	8	60	40	npc_foundplayer								1																			1500	1	1000	0					30			1				0																							
bossv040200	八臂头目 霍扎	BossNpc		3	4	17		3			1.25	4	hand1_1		npc\monster074		0.905	icon\monster\monster074.png					7			1	1	2	8	60	40	npc_foundplayer								1																			1500	1	1000	0					30			1				0																							
bossv040300	郑淑英	BossNpc		3	4	16		3			1.3	4.8	hand1_2		npc\monster125		0.873442	icon\monster\monster125.png					7			1	1	2	8	60	40	npc_foundplayer								1																			1500	1	1000	0					30			1				0																							
bossv040400	狼王	BossNpc		3	4	16		3			#N/A	#N/A	hand_0		npc\monster009_01		0.964841	icon\monster\monster009.png					7			1	1	2	8	60	40	npc_foundplayer								1																			1500	1	1000	0					30			1				0	-1																						
					4																																																																																												
bossm030100	偷花贼头目	BossNpc		3	4	11		3			1.3	4.8	hand1_2		npc\monster125		0.873442	icon\monster\monster125.png					7			1	1	2	8	60	40	npc_foundplayer								1																			1500	1	1000	0					30			1				0																							
					4																																																																																												
bossm040100	黑风三怪	BossNpc		3	4	19		3			1.25	4	hand1_1		npc\monster126		0.887865	icon\monster\monster126.png					7			1	1	2	8	60	40	npc_foundplayer								1																			1500	1	1000	0					30			1				0																							
					4																																																																																												
bossm050100	龙鳞蛇	BossNpc		3	4	42		3			1.25	4	hand_0		npc\monster603		1	icon\monster\monster020.png					7			1	1	2	8	60	40	npc_foundplayer								1																			1500	1	1000	0					30			1				0	-1																						
bossm050300	黑衣人的头目	BossNpc		3	4	18		3			1.3	4.8	hand1_2		npc\monster058		0.857726	icon\monster\monster058.png					7			1	1	2	8	60	40	npc_foundplayer								1																			1500	1	1000	0					30			1				0																							
					4																																																																																												
bossm060100	佟巨青竹帮高手	BossNpc		3	4	11		3			1.25	4	hand1_1		npc\monster036		1.030654	icon\monster\monster036.png					7			1	1	2	8	60	40	npc_foundplayer								1																			1500	1	1000	0					30			1				0																							
					4																																																																																												
bossm070100	白虎	BossNpc		3	4	16		3			1.25	4	hand_0		npc\monster003		1.645	icon\monster\monster003.png					7			1	1	2	8	60	40	npc_foundplayer								1																			1500	1	1000	0					30			1				0	-1																						
					4																																																																																												
bossm080100	斗大蟾蜍	BossNpc		3	4	13		3			0.8	4	hand_0		npc\monster018		1.130451	icon\monster\monster018.png					7			1	1	2	8	60	40	npc_foundplayer								1																			1500	1	1000	0					30			1				0	-1																						
bossm080200	山谷怪叟	BossNpc		3	4	14		3			1.55	3.7	hand1_1		npc\monster472		0.925	icon\monster\monster472.png					7		10	1	1	2	8	60	40	npc_foundplayer								1																			1500	1	1000	0					30			1				0																							
					4																																																																																												
bossc010100	风铃谷乐使	BossNpc		3	4	11		3			1.25	4	hand1_1		npc\monster126		0.887865	icon\monster\monster126.png					7			1	1	2	8	60	40	npc_foundplayer								1																			1500	1	1000	0					30			1				0																							
bossc010200	恶霸头目	BossNpc		3	4	11		3			1.25	4	hand1_1		npc\monster126		0.887865	icon\monster\monster126.png					7			1	1	2	8	60	40	npc_foundplayer								1																			1500	1	1000	0					30			1				0																							
					4																																																																																												
bossc020100	锦衣卫大将	BossNpc		3	4	35		3			1.25	4	hand1_1		npc\monster121		1.058118	icon\monster\monster121.png					7			1	1	2	8	60	40	npc_foundplayer								1																			1500	1	1000	0					30			1				0																							
					4																																																																																												
bossc030100	千年朱蛤	BossNpc		3	4	10		3			1.3	4.8	hand1_2		npc\monster125		0.873442	icon\monster\monster125.png					7			1	1	2	8	60	40	npc_foundplayer								1																			1500	1	1000	0					30			1				0																							
					4																																																																																												
bossc050100	花满吟采花大盗	BossNpc		3	4	17		3			1.25	4	hand1_1		npc\monster122		0.919509	icon\monster\monster122.png					7			1	1	2	8	60	40	npc_foundplayer								1																			1500	1	1000	0					30			1				0																							
					4																																																																																												
bossf030100	穴鬼冯云叶	BossNpc		3	4	21		3			1.25	4	hand1_1		npc\monster103		0.901124	icon\monster\monster103.png					7			1	1	2	8	60	40	npc_foundplayer								1																			1500	1	1000	0					30			1				0																							
bossf030200	穴鬼陆风	BossNpc		3	4	21		3			1.25	4	hand1_1		npc\monster036		1.030654	icon\monster\monster036.png					7			1	1	2	8	60	40	npc_foundplayer								1																			1500	1	1000	0					30			1				0																							
					4																																																																																												
bossf040100	藏族土司次丹堆古	BossNpc		3	4	10		3			1.25	4	hand1_1		npc\monster052		0.905824	icon\monster\monster052.png					7			1	1	2	8	60	40	npc_foundplayer								1																			1500	1	1000	0					30			1				0																							
bossf040200	火工头陀	BossNpc		3	4	10		3			1.25	4	hand1_1		npc\boss006		0.928873	icon\monster\boss006.png					7			1	1	2	8	60	40	npc_foundplayer								1																			1500	1	1000	0					30			1				0																							
bossf040300	多嘎·尼车班姿	BossNpc		3	4	13		3			1.25	4	hand1_1		npc\monster039		0.8839	icon\monster\monster039.png					7			1	1	2	8	60	40	npc_foundplayer								1																			1500	1	1000	0					30			1				0																							
bossf040400	东方玉环	BossNpc		3	4	13		3			1.2	3.4	hand_0		npc\monster333		0.885	icon\monster\monster333.png					7			1	1	2	8	60	40	npc_foundplayer								1																			1500	1	1000	0					30			1				0	-1																						
bossf040500	屠克刀兵首领	BossNpc		3	4	18		3			1.25	4	hand1_1		npc\monster126		0.887865	icon\monster\monster126.png					7			1	1	2	8	60	40	npc_foundplayer								1																			1500	1	1000	0					30			1				0																							
					4																																																																																												
bossf050100	丁不扬捣乱之人	BossNpc		3	4	17		3			1.7	4.5	hand_0		npc\fbfunnpc00001		1.01021	icon\funcnpc\fbfunnpc00001.png					7			1	1	2	8	60	40	npc_foundplayer								1																			1500	1	1000	0					30			1				0	-1																						
bossf070100	绿野人	BossNpc		3	4	38		3			1.25	4	hand1_1		npc\monster308		0.96	icon\monster\monster308.png					7			1	1	2	8	60	40	npc_foundplayer								1																			1500	1	1000	0					30			1				0																							
					4																																																																																												
bossf070200	汤琦快活林头领	BossNpc		3	4	15		3			1.2	3.5	hand_0		npc\monster043		0.928146	icon\monster\monster043.png					7			1	1	2	8	60	40	npc_foundplayer								1																			1500	1	1000	0					30			1				0	-1																						
					4																																																																																												
bossf070300	马匪头领徐巽	BossNpc		3	4	20		3			1.25	4	hand1_1		npc\monster190		0.925	icon\monster\monster190.png					7			1	1	2	8	60	40	npc_foundplayer								1																			1500	1	1000	0					30			1				0																							
					4																																																																																												
bossf070400	极乐谷密使毋思	BossNpc		3	4	24		3			1.4	3	hand_0		npc\monster329		0.875	icon\monster\monster329.png					7			1	1	2	8	60	40	npc_foundplayer								1																			1500	1	1000	0					30			1				0	-1																						
					4																																																																																												
