NPC编号	对象类型	ini注释名称	NPC乞讨信息	表现AI包编号	NPC类型	选择操作	鼠标形状	停留时间	是否转身	走路速度	跑步速度	武器持握方式	模型编号	性别	模型半径	图片	出生状态	npc声音	组成材料	武器名称	NPC种类ID	脚本编号	是否能接镖	触发特效	AI类型	巡逻模式	巡逻半径	路径ID	刷新时间	是否随机出现	响应范围	门派	称号	籍贯	阵营	名字表序号	生平表序号	身份参数01	身份参数2	身份参数3	对话规则	踢馆专用关联NPC	生平	能否切磋	随机对话	下棋玩家的最小等级	NPC身上挂的棋谱包	NPC事件包编号	进入切磋前对话	结束切磋后对话	碰撞时对话	仇恨	实力包编号	级别	修为经验	怪物强度	掉落	武器类型	锁定位移攻击	禁播受击动作	拾取权限清空时间	无拾取物消失时间	最大消失时间	附加随机能力编号	普通攻击	技能表	主动被动	固定NPC重生时间	敌人NPC编号表	队友编号	能否攻击	能不能被攻击	不能被杀死	攻防比重	防御概率	"战斗频率,毫秒"	"追击范围,米"	无法被硬直	锁定技能间隔	召唤ID	召唤半径	召唤类型	表演概率	表演时间	婚宴npc类型	势力归属	势力关系表	战斗开始的召唤ID	权重	初始动作固定帧播放	商店ID	洗红名功能	仓库ID	职业ID	宝石游戏NPC ID	接任务表	交任务表	可以加入的门派表	可获得的身份表	复活点	落脚点	驿站	输入关系包编号	是否有公会功能	帮派地块购买	是否有门派战功能	运镖编号	是否有帮派仓库	所属帮会地块编号	AI编辑包	善恶参数	直接触发	脱战回血	格挡方式(-1表示不格挡)	超过距离就脱战	使用轻功	破防几率	破防技能	防御CD	世界触发器相关	存在时间	是否理会玩家	缩放尺寸	跟随距离	跟随位置	是否跨场景	跟随角度	NPC配偶	采集范围	采集动作名	读条时间(ms)	最大消失时间(s)	宝箱开启前特效	宝箱开启后特效	钥匙数量	钥匙id	开启条件	分配类型	动作集	伤害判定奖励类BOSS类型	时间轴	
STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	
ID	script	Name	NpcBegInfo	AIParaNo	NpcType	SelectState	CursorShape	StopTime	NeedRotate	WalkSpeed	RunSpeed	WeaponMode	Resource	Gender	CollideRadius	Photo	table@BornActionRec	ActionSoundMode	Material	WeaponName	CKindID	LuaScript	EscortFlag	SpringEffect	AITemplate	PatrolMode	PatrolRange	PathID	RefreshTime	RandomBorn	SpringRange	School	Call	Hometown	Camp	SNameTable	StoryTable	OriginPara1	OriginPara2	OriginPara3	NpcTalkRule	TgCorrelation	Story	CanQiecuo	FreeTalk	LevelMin	table@Qipus	FeedBack	BeginQiecuoTalk	EndQiecuoTalk	KnockTalk	CantFight	PowerNo	Level	FacultyExp	BossLevel	DropID	WeaponType	Fixed	FixedBeHitAct	PickChangeTime	DestroyTime1	DestroyTime2	AddPropID	NormalSkill	table@SkillRec	NotPositive	RefreshTime	table@EnemyNpcRec	FriendNpc	CantAttack	CantBeAttack	CantBeKilled	AttackRate	AIParrayRate	AIFightFreq	ChaseRange	CantBeStick	SkillHoldTime	CallHelpID	CallHelpRange	CallHelpType	ShowRate	ShowTime	FeastNpcType	SelfForceID	table@ForceRec	SummonIDBeginFight	Weight	NotRandBAFrame	ShopID	ClearPK	DepotID	Job	GemGameNpcID	table@TaskCanAccept	table@TaskCanSubmit	table@school_rec	table@OriginCanGet	RelivePos	HomePoint	TransFuncID	RelationInputNo	GuildFunc	BuyGuildDomain	SchoolWarFunc	EscortID	GuildDepotFunc	DomainID	AIEditorPackID	Character	DirectSpring	RecoverType	ParrayID	OnlyCareDistance	UseQingGong	AIBreakParryRate	BreakParrySkill	ParryCD	UsedByTrigger	LifeTime	NoFightPlayer	Scale	TraceDist	TraceFix	IsTraceChangeScene	TraceAngle	PartnerUid	OpenRange	OpenAction	DelayTime	DestoryTime2	BeforeOpenEffect	AfterOpenEffect	KeyNum	KeyID	ConditionID	AllotType	ActionSet	BossDamageRankPrizeID	AxisId	
																																																																																																																																														
	//古墓派																																																																																																																																													
newmp_gumu_001	CommonNpc	龙妤幽		8	672	2	2			1.25	4	hand1_1	npc\worldnpc1377	2		icon\monster\monster554.png					0				3	0	0				20				0									1									39	80		1											1						1			2000	15		2000							1										20505;20524;20525;20529;20551;20552;20535;20608;20509;20508;20532;52057;20550;20646;20647;20520;20521;20522;20687;	20505;20525;20527;20529;20534;20535;20608;52057;20550;20536;20686;71687;																																													
newmp_gumu_002	CommonNpc	冷清浅		8	672	2	2			1.25	4	hand1_1	npc\worldnpc1386	2		icon\monster\monster554.png					0				3	0	0				20				0									1									6	80		1											1						1			2000	15		2000							1										20642;20643;20644;20645;																																														
newmp_gumu_003	CommonNpc	杨邪		8	672	2	2			1.25	4	hand1_1	npc\worldnpc1391	1		icon\monster\monster454.png					0				3	0	0				20				0									1									6	80		1											1						1			2000	15		2000							1										20638;20639;20640;20641;20536;	20520;20521;20522;													3247																																
newmp_gumu_004	CommonNpc	碧琉夙		8	672	2	2			1.25	4	hand1_1	npc\worldnpc1384	2		icon\monster\monster554.png				s_r_217	0				3	0	0				20				0									1									41	100		1									Npc_gm_ynsxj01	"Npc_gm_ynsxj01,5,0;Npc_gm_ynsxj02,5,0;Npc_gm_ynsxj03,5,0;Npc_gm_ynsxj04,5,0;Npc_gm_ynsxj05,5,0;Npc_gm_ynsxj06,5,0;Npc_gm_ynsxj07,5,0;Npc_gm_ynsxj08,5,0;jn_tg_yanxing,5,0;jn_tg_yanxing_back,5,0"	1						1			2000	15		2000							1										20634;20635;20636;20637;20540;20541;20543;	20542;20543;20544;													3240		1		19		15																										
newmp_gumu_005	CommonNpc	顾云流		8	672	2	2			1.25	4	hand1_1	npc\worldnpc1384	2		icon\monster\monster554.png					0				3	0	0				20				0									1									110	80		1											1						1			2000	15		2000							1										20605;20606;20607;20630;20631;20632;20633;	20605;20606;20607;20690																																													
newmp_gumu_006	CommonNpc	师璎琅		8	672	2	2			1.25	4	hand1_1	npc\worldnpc1384	2		icon\monster\monster554.png					0				3	0	0				20				0									1									110	80		1											1						1			2000	15		2000							1										20650;20651;20652;20653;20654;20655;20656;20657;20658;20659;20660;20665;20666;20667;20668;20669;20600;20661;20662;20663;20664;20626;20627;20628;20629;	20650;20651;20652;20653;20654;20655;20656;20657;20658;20659;20660;20665;20666;20667;20668;20669;20600;20661;20662;20663;20664;																																													
