NPC编号	对象类型	ini注释名称	NPC乞讨信息	表现AI包编号	NPC类型	选择操作	鼠标形状	停留时间	是否转身	走路速度	跑步速度	武器持握方式	模型编号	性别	模型半径	图片	出生状态	npc声音	组成材料	武器名称	NPC种类ID	脚本编号	是否能接镖	触发特效	AI类型	巡逻模式	巡逻半径	路径ID	是否随机出现	响应范围	门派	称号	籍贯	阵营	名字表序号	生平表序号	身份参数01	身份参数2	身份参数3	对话规则	踢馆专用关联NPC	生平	能否切磋	随机对话	下棋玩家的最小等级	NPC身上挂的棋谱包	NPC事件包编号	进入切磋前对话	结束切磋后对话	碰撞时对话	仇恨	实力包编号	级别	修为经验	怪物强度	掉落	武器类型	锁定位移攻击	禁播受击动作	拾取权限清空时间	无拾取物消失时间	最大消失时间	附加随机能力编号	普通攻击	技能表	主动被动	固定NPC重生时间	敌人NPC编号表	队友编号	能否攻击	能不能被攻击	不能被杀死	攻防比重	防御概率	"战斗频率,毫秒"	"追击范围,米"	无法被硬直	锁定技能间隔	召唤ID	召唤半径	召唤类型	表演概率	表演时间	婚宴npc类型	势力归属	势力关系表	战斗开始的召唤ID	权重	初始动作固定帧播放	商店ID	洗红名功能	仓库ID	职业ID	宝石游戏NPC ID	接任务表	交任务表	可以加入的门派表	可获得的身份表	复活点	落脚点	驿站	输入关系包编号	是否有公会功能	帮派地块购买	是否有门派战功能	运镖编号	是否有帮派仓库	所属帮会地块编号	AI编辑包	善恶参数	直接触发	脱战回血	格挡方式(-1表示不格挡)	超过距离就脱战	使用轻功	破防几率	破防技能	防御CD	世界触发器相关	存在时间	是否理会玩家	缩放尺寸	跟随距离	跟随位置	是否跨场景	跟随角度	NPC配偶	采集范围	采集动作名	读条时间(ms)	最大消失时间(s)	宝箱开启前特效	宝箱开启后特效	钥匙数量	钥匙id	开启条件	分配类型	无法跟随时自动停止	大逃杀专用TYPE	
STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	
ID	script	Name	NpcBegInfo	AIParaNo	NpcType	SelectState	CursorShape	StopTime	NeedRotate	WalkSpeed	RunSpeed	WeaponMode	Resource	Gender	CollideRadius	Photo	table@BornActionRec	ActionSoundMode	Material	WeaponName	CKindID	LuaScript	EscortFlag	SpringEffect	AITemplate	PatrolMode	PatrolRange	PathID	RandomBorn	SpringRange	School	Call	Hometown	Camp	SNameTable	StoryTable	OriginPara1	OriginPara2	OriginPara3	NpcTalkRule	TgCorrelation	Story	CanQiecuo	FreeTalk	LevelMin	table@Qipus	FeedBack	BeginQiecuoTalk	EndQiecuoTalk	KnockTalk	CantFight	PowerNo	Level	FacultyExp	BossLevel	DropID	WeaponType	Fixed	FixedBeHitAct	PickChangeTime	DestroyTime1	DestroyTime2	AddPropID	NormalSkill	table@SkillRec	NotPositive	RefreshTime	table@EnemyNpcRec	FriendNpc	CantAttack	CantBeAttack	CantBeKilled	AttackRate	AIParrayRate	AIFightFreq	ChaseRange	CantBeStick	SkillHoldTime	CallHelpID	CallHelpRange	CallHelpType	ShowRate	ShowTime	FeastNpcType	SelfForceID	table@ForceRec	SummonIDBeginFight	Weight	NotRandBAFrame	ShopID	ClearPK	DepotID	Job	GemGameNpcID	table@TaskCanAccept	table@TaskCanSubmit	table@school_rec	table@OriginCanGet	RelivePos	HomePoint	TransFuncID	RelationInputNo	GuildFunc	BuyGuildDomain	SchoolWarFunc	EscortID	GuildDepotFunc	DomainID	AIEditorPackID	Character	DirectSpring	RecoverType	ParrayID	OnlyCareDistance	UseQingGong	AIBreakParryRate	BreakParrySkill	ParryCD	UsedByTrigger	LifeTime	NoFightPlayer	Scale	TraceDist	TraceFix	IsTraceChangeScene	TraceAngle	PartnerUid	OpenRange	OpenAction	DelayTime	DestoryTime2	BeforeOpenEffect	AfterOpenEffect	KeyNum	KeyID	ConditionID	AllotType	IsBarTrace	TaoShaNpcType	
																																																																																																																																												
	//西域基础NPC																																																																																																																																											
newworld_xiyu_a1_001	CommonNpc	沐蝶音		8	533	2	2			1.25	4	hand1_1	npc\worldnpc745			icon\funcnpc\worldnpc745.png	ty_sitground_talk				0	npc\clone\newworld\newworld_minigame_xiyu_zhenpai.lua			3	0	0			20				1									1									45	70		4											1						1			2000	15		2000							800		0																																																					
newworld_xiyu_a1_002	CommonNpc	衣若熏		8	533	2	2			1.25	4	hand1_1	npc\worldnpc055			icon\funcnpc\worldnpc055.png	shake				0				3	0	0			20				1									1									45	70		3											1						1			2000	15		2000							800		0																																																					
newworld_xiyu_a1_003	CommonNpc	轩辕楚晴		8	533	2	2			1.25	4	hand1_1	npc\worldnpc1312			icon\funcnpc\worldnpc1312.png					0				3	0	0			20				1									1									45	10		2											1						1			2000	15		2000							800		0																																																					
newworld_xiyu_a1_004	CommonNpc	向九尘		8	533	2	2			1.25	4	hand1_1	npc\worldnpc053			icon\funcnpc\worldnpc053.png	ty_think				0	npc\clone\newworld\newworld_minigame_xiyu_zhenpai.lua			3	0	0			20				1									1									45	70		4											1						1			2000	15		2000							801		0																																																					
newworld_xiyu_a1_005	CommonNpc	红颜心		8	533	2	2			1.25	4	hand1_1	npc\worldnpc226			icon\funcnpc\worldnpc226.png	ty_shake				0				3	0	0			20				1									1									45	70		4											1						1			2000	15		2000							801		0																																																					
newworld_xiyu_a1_006	CommonNpc	轩辕狂浪		8	533	2	2			1.25	4	hand1_1	npc\worldnpc789			icon\funcnpc\worldnpc789.png	ty_sitground_drink				0	npc\clone\newworld\newworld_minigame_xiyu_xiepai.lua			3	0	0			20				1									1									45	70		3											1						1			2000	15		2000							801		0																																																					
newworld_xiyu_a1_007	CommonNpc	王逍		8	533	2	2			1.25	4	hand1_1	npc\worldnpc792			icon\funcnpc\worldnpc792.png					0				3	0	0			20				1									1									45	10		2											1						1			2000	15		2000							802		0																																																					
newworld_xiyu_a1_008	CommonNpc	洪喜		8	533	2	2			1.25	4	hand1_1	npc\worldnpc202			icon\funcnpc\worldnpc202.png					0				3	0	0			20				1									1									45	70		4											1						1			2000	15		2000							803		0																																																					
newworld_xiyu_a1_009	CommonNpc	关逢雷		8	533	2	2			1.25	4	hand1_1	npc\worldnpc178			icon\funcnpc\worldnpc178.png					0	npc\clone\newworld\newworld_minigame_xiyu_xixia.lua			3	0	0			20				1									1									45	70		4											1						1			2000	15		2000							803		0																																																					
newworld_xiyu_a1_010	CommonNpc	李承天		8	533	2	2			1.25	4	hand1_1	npc\boss095			icon\funcnpc\boss095.png					0	npc\clone\newworld\newworld_minigame_xiyu_xixia.lua			3	0	0			20				1									1									45	70		3											1						1			2000	15		2000							804		0																																																					
newworld_xiyu_a1_011	CommonNpc	余罂花		8	533	2	2			1.25	4	hand1_1	npc\monster293_02			icon\funcnpc\monster293_02.png					0				3	0	0			20				1									1									45	10		2											1						1			2000	15		2000							804		0																																																					
newworld_xiyu_a1_012	CommonNpc	拓跋百齐		8	533	2	2			1.25	4	hand1_1	npc\monster255			icon\funcnpc\monster255.png					0	npc\clone\newworld\newworld_minigame_xiyu_qiyu.lua			3	0	0			20				1									1									45	70		4											1						1			2000	15		2000							804		0																																																					
newworld_xiyu_a1_013	CommonNpc	曼姬夫人		8	533	2	2			1.25	4	hand1_1	npc\worldnpc1314			icon\funcnpc\worldnpc1314.png					0	npc\clone\newworld\newworld_minigame_xiyu_qiyu.lua			3	0	0			20				1									1									45	70		3											1						1			2000	15		2000							805		0																																																					
newworld_xiyu_a1_014	CommonNpc	沙铃兰		8	533	2	2			1.25	4	hand1_1	npc\fbfunnpc00032			icon\funcnpc\fbfunnpc00032.png					0	npc\clone\newworld\newworld_minigame_xiyu_qiyu.lua			3	0	0			20				1									1									45	10		2											1						1			2000	15		2000							805		0																																																					
newworld_xiyu_a1_015	CommonNpc	连不离		8	533	2	2			1.25	4	hand1_1	npc\boss034			icon\funcnpc\boss034.png					0	npc\clone\newworld\newworld_minigame_xiyu_qiyu.lua			3	0	0			20				1									1									45	70		4											1						1			2000	15		2000							805		0																																																					
																																																																																																																																												
newworld_xiyu_a2_001	CommonNpc	李纳吉		8	533	2	2			1.25	4	hand1_1	npc\boss046			icon\funcnpc\boss046.png					0	npc\clone\newworld\newworld_minigame_xiyu_qiyu.lua			3	0	0			20																																																							804																																																							
newworld_xiyu_a2_002	CommonNpc	欧阳不怒		8	533	2	2			1.25	4	hand1_1	npc\worldnpc383			icon\funcnpc\worldnpc383.png					0	npc\clone\newworld\newworld_minigame_xiyu_qiyu.lua			3	0	0			20																																																							805																																																							
newworld_xiyu_a2_003	CommonNpc	司马不平		8	533	2	2			1.25	4	hand1_1	npc\worldnpc222_02			icon\funcnpc\worldnpc222_02.png					0	npc\clone\newworld\newworld_minigame_xiyu_qiyu.lua			3	0	0			20																																																							805																																																							
newworld_xiyu_a2_004	CommonNpc	连青青		8	533	2	2			1.25	4	hand1_1	npc\worldnpc1313			icon\funcnpc\worldnpc1313.png					0	npc\clone\newworld\newworld_minigame_xiyu_qiyu.lua			3	0	0			20																																																							805																																																							
newworld_xiyu_a2_005	CommonNpc	石砚冰		8	533	2	2			1.25	4	hand1_1	npc\worldnpc754			icon\funcnpc\worldnpc754.png					0				3	0	0			20																																																							806																																																							
newworld_xiyu_a2_006	CommonNpc	程遗墨		8	533	2	2			1.25	4	hand1_1	npc\worldnpc065			icon\funcnpc\worldnpc065.png					0	npc\clone\newworld\newworld_minigame_xiyu_zhongli.lua			3	0	0			20																																																							806																																																							
newworld_xiyu_a2_007	CommonNpc	燕长空		8	533	2	2			1.25	4	hand1_1	npc\boss041			icon\funcnpc\boss041.png					0				3	0	0			20																																																							806																																																							
newworld_xiyu_a2_008	CommonNpc	埃丝特		8	533	2	2			1.25	4	hand1_1	npc\fbboss00164			icon\funcnpc\fbboss00164.png					0				3	0	0			20																																																							821																																																							
newworld_xiyu_a2_009	CommonNpc	米特拉		8	533	2	2			1.25	4	hand1_1	npc\fbboss00209			icon\funcnpc\fbboss00209.png					0	npc\clone\newworld\newworld_minigame_xiyu_tianluo.lua			3	0	0			20																																																							821																																																							
newworld_xiyu_a2_010	CommonNpc	赫斯提娅		8	533	2	2			1.25	4	hand1_1	npc\fbboss00245			icon\funcnpc\fbboss00245.png					0				3	0	0			20																																																							821																																																							
newworld_xiyu_a2_011	CommonNpc	姬蔓.芭奴		8	533	2	2			1.25	4	hand1_1	npc\boss094			icon\funcnpc\boss094.png					0				3	0	0			20																																																							821																																																							
newworld_xiyu_a2_012	CommonNpc	末地改		8	533	2	2			1.25	4	hand1_1	npc\fbboss00246			icon\funcnpc\fbboss00246.png					0				3	0	0			20																																																							821																																																							
