NPC±àºÅ	¶ÔÏóÀàÐÍ	ini×¢ÊÍÃû³Æ	NPCÆòÌÖÐÅÏ¢	±íÏÖAI°ü±àºÅ	NPCÀàÐÍ	Ñ¡Ôñ²Ù×÷	Êó±êÐÎ×´	ÊÇ·ñ×ªÉí	×ßÂ·ËÙ¶È	ÅÜ²½ËÙ¶È	ÎäÆ÷³ÖÎÕ·½Ê½	Ä£ÐÍ±àºÅ	ÐÔ±ð	Ä£ÐÍ°ë¾¶	Í¼Æ¬	³öÉú×´Ì¬	npcÉùÒô	×é³É²ÄÁÏ	ÎäÆ÷Ãû³Æ	NPCÖÖÀàID	½Å±¾±àºÅ	ÊÇ·ñÄÜ½ÓïÚ	´¥·¢ÌØÐ§	AIÀàÐÍ	Ñ²ÂßÄ£Ê½	Ñ²Âß°ë¾¶	Â·¾¶ID	ÊÇ·ñËæ»ú³öÏÖ	ÏìÓ¦·¶Î§	ÃÅÅÉ	³ÆºÅ	¼®¹á	ÕóÓª	Ãû×Ö±íÐòºÅ	ÉúÆ½±íÐòºÅ	Éí·Ý²ÎÊý01	Éí·Ý²ÎÊý2	Éí·Ý²ÎÊý3	¶Ô»°¹æÔò	Ìß¹Ý×¨ÓÃ¹ØÁªNPC	ÉúÆ½	ÄÜ·ñÇÐ´è	Ëæ»ú¶Ô»°	ÏÂÆåÍæ¼ÒµÄ×îÐ¡µÈ¼¶	NPCÉíÉÏ¹ÒµÄÆåÆ×°ü	NPCÊÂ¼þ°ü±àºÅ	½øÈëÇÐ´èÇ°¶Ô»°	½áÊøÇÐ´èºó¶Ô»°	¿ÕÏÐ×´Ì¬¶Ô»°	Åö×²Ê±¶Ô»°	ÊµÁ¦°ü±àºÅ	¼¶±ð	ÐÞÎª¾­Ñé	¹ÖÎïÇ¿¶È	µôÂä	ÎäÆ÷ÀàÐÍ	Ëø¶¨Î»ÒÆ¹¥»÷	½û²¥ÊÜ»÷¶¯×÷	Ê°È¡È¨ÏÞÇå¿ÕÊ±¼ä	ÎÞÊ°È¡ÎïÏûÊ§Ê±¼ä	×î´óÏûÊ§Ê±¼ä	¸½¼ÓËæ»úÄÜÁ¦±àºÅ	ÆÕÍ¨¹¥»÷	¼¼ÄÜ±í	Ö÷¶¯±»¶¯	¹Ì¶¨NPCÖØÉúÊ±¼ä	µÐÈËNPC±àºÅ±í	¶ÓÓÑ±àºÅ	ÄÜ·ñ¹¥»÷	ÄÜ²»ÄÜ±»¹¥»÷	²»ÄÜ±»É±ËÀ	¹¥·À±ÈÖØ	·ÀÓù¸ÅÂÊ	"Õ½¶·ÆµÂÊ,ºÁÃë"	"×·»÷·¶Î§,Ã×"	ÎÞ·¨±»Ó²Ö±	Ëø¶¨¼¼ÄÜ¼ä¸ô	ÕÙ»½ID	ÕÙ»½°ë¾¶	ÕÙ»½ÀàÐÍ	±íÑÝ¸ÅÂÊ	±íÑÝÊ±¼ä	ÊÆÁ¦¹éÊô	ÊÆÁ¦¹ØÏµ±í	Õ½¶·¿ªÊ¼µÄÕÙ»½ID	NPC½»»¥Í£ÁôÊ±¼ä	Åö×²¶Ô»°¹æÔò	³õÊ¼¶¯×÷¹Ì¶¨Ö¡²¥·Å	ÉÌµêID	Ï´ºìÃû¹¦ÄÜ	²Ö¿âID	Ö°ÒµID	±¦Ê¯ÓÎÏ·NPC ID	½ÓÈÎÎñ±í	½»ÈÎÎñ±í	¿ÉÒÔ¼ÓÈëµÄÃÅÅÉ±í	¿É»ñµÃµÄÉí·Ý±í	¸´»îµã	Âä½Åµã	æäÕ¾	ÊäÈë¹ØÏµ°ü±àºÅ	ÊÇ·ñÓÐ¹«»á¹¦ÄÜ	°ïÅÉµØ¿é¹ºÂò	ÊÇ·ñÓÐÃÅÅÉÕ½¹¦ÄÜ	ÔËïÚ±àºÅ	ÊÇ·ñÓÐ°ïÅÉ²Ö¿â	ÊÇ·ñÓÐ°ïÅÉ×¤µØ	AI±à¼­°ü	ÉÆ¶ñ²ÎÊý	µÐÈËNPC±àºÅ±í	¶ÓÓÑ±àºÅ	Ö±½Ó´¥·¢	µØÎ»ÆÀ·Ö	±¨¸´µÈ¼¶	±¨¸´ÊÖ¶Î	ÊÇ·ñ¿É½á»é	ÍË³ö·¢Éù¶Ô»°	ÌìÆø°ü	ÊÀ½ç´¥·¢Æ÷Ïà¹Ø	´æÔÚÊ±¼ä	ÓÅÏÈÏÔÊ¾	²Æ¸»µ¥´ÎÔö³¤¼ä¸ô	²Æ¸»µ¥´ÎÔö³¤Öµ	²Æ¸»Ôö³¤×î´óÖµ	²Æ¸»Ë¥¼õ¼ä¸ô	²Æ¸»µ¥´ÎË¥¼õÖµ	²Æ¸»Ë¥¼õ×îµÍÖµ	½øÈëÕ½ÕùÖ±½ÓÉèÖÃ²Æ¸»	½øÈëÕ½ÕùÉèÖÃÍæ¼ÒÌìÆø	»÷É±Õâ¸öboss½øÈëÔö³¤ÆÚ	Í£Ö¹AI
STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	script	Name	NpcBegInfo	AIParaNo	NpcType	SelectState	CursorShape	NeedRotate	WalkSpeed	RunSpeed	WeaponMode	Resource	Gender	CollideRadius	Photo	BornAction	ActionSoundMode	Material	WeaponName	CKindID	LuaScript	EscortFlag	SpringEffect	AITemplate	PatrolMode	PatrolRange	PathID	RandomBorn	SpringRange	School	Call	Hometown	Camp	SNameTable	StoryTable	OriginPara1	OriginPara2	OriginPara3	NpcTalkRule	TgCorrelation	Story	CanQiecuo	FreeTalk	LevelMin	table@Qipus	FeedBack	BeginQiecuoTalk	EndQiecuoTalk	FreeTalk	KnockTalk	PowerNo	Level	FacultyExp	BossLevel	DropID	WeaponType	Fixed	FixedBeHitAct	PickChangeTime	DestroyTime1	DestroyTime2	AddPropID	NormalSkill	table@SkillRec	NotPositive	RefreshTime	table@EnemyNpcRec	FriendNpc	CantAttack	CantBeAttack	CantBeKilled	AttackRate	AIParrayRate	AIFightFreq	ChaseRange	CantBeStick	SkillHoldTime	CallHelpID	CallHelpRange	CallHelpType	ShowRate	ShowTime	SelfForceID	table@ForceRec	SummonIDBeginFight	StopTime	KnockTalk	NotRandBAFrame	ShopID	ClearPK	DepotID	Job	GemGameNpcID	table@TaskCanAccept	table@TaskCanSubmit	table@school_rec	table@OriginCanGet	RelivePos	HomePoint	TransFuncID	RelationInputNo	GuildFunc	BuyGuildDomain	SchoolWarFunc	EscortID	GuildDepotFunc	DomainID	AIEditorPackID	Character	table@EnemyNpcRec	FriendNpc	DirectSpring	KarmaLevel	AvengeLevel	AvengeEvent	CanMarryPlayer	LeaveTalkSound	WeatherPag	UsedByTrigger	LifeTime	RefreshAtOnce	WealthIncTime	WealthIncValue	WealthIncMax	WealthDecTime	WealthDecValue	WealthDecMin	WealthByWar	WeatherByWar	WarBoss	StopAI
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
FuncNpc00051	CommonNpc	ºú´óÓÂ	2	8	62	2	2		1.25	4	hand1_1	npc\funcnpc001			icon\funcnpc\funcnpc001.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_133	1			7	1	2	talkrule070102												1	2		1											1						1			2000	15		2000								0	10			Shop_weapon_00401					10727;10897;22007;	10727;22006;														1				3																		
FuncNpc00052	CommonNpc	ÁÖÓ¯Óñ	3	8	63	2	2		1.25	4	hand_0	npc\funcnpc002			icon\funcnpc\funcnpc002.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_133	1			7	2	10	talkrule070210												1	2		1											1						1			2000	15		2000								0	10			Shop_equip_00501																				1				3																		
FuncNpc00053	CommonNpc	Ñ¦ÓêÁå	3	8	64	2	2		1.3	4.8	hand1_2	npc\funcnpc003			icon\funcnpc\funcnpc003.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_133	1			7	2	10	talkrule070210												1	2		1											1						1			2000	15		2000								0	10			Shop_equip_00401					80618;															1				3																		
FuncNpc00054	CommonNpc	Ð»Ê¯	2	8	66	2	2		0	-1	hand_0	npc\funcnpc004			icon\funcnpc\funcnpc004.png					0	npc\clone\CJ\npc_talk_minigame.lua			3	0	0			20	prop_QiTaMenPai_1		Home_133	1			7	2	10	talkrule070210												1	2		1											1						1			2000	15		2000								0	10			Shop_yaopin_00101					10852;10853;10854;22008;22011;22012;	10852;10853;10857;22007;22008;22011;						4								1				3																		
FuncNpc00055	CommonNpc	ÌïÅô	4	8	65	2	2		1.25	4	hand1_1	npc\funcnpc005			icon\funcnpc\funcnpc005.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_133	1			7	2	10	talkrule070210												1	2		1											1						1			2000	15		2000								0	10			Shop_zahuo_00100					80601;	80601;														1				3																		
