STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	RoundID	Plot	Title	Step	SearchID	Line	AcceptNpc	SubmitNpc	SceneID	AcceptSceneID	SubmitSceneID	AutoAcceptID	AutoSubmit	PreTaskLimit	NextTaskLimit	NotShowMenu	Relation	LuckValue	AcceptLimit	SubmitLimit	AcceptDecMoney	SubFunction	TaskItemList	RefreshMonster	TimeLimitLength	SubmitNpcEx	TaskScript	TitleId	ContextId	AcceptDialogId	CompleteDialogId	UnCompleteDialogId	TaskTargetId	TrackInfoID	LineNextInfo	CanAcceptMenu	UncompleteMenu	CompleteMenu	AcceptMovie	SubmitMovie	DramaAccept	DramaSubmit	CanGiveup	ShareType	RepeatType	RepeatPeriod	CountDayLimit	DifficultCoefficient	DifficultLevel	ConditionPrize	FastCompleteMoney	FastCompletePrize
21700					s1500101	13	npc_dmp_mxm01	npc_dmp_mxm01		637	637								113245									title_21700	context_21700	accept_21700_1;menu_21700_1	complete_21700;submit_21700		target_21700			CanAcceptMenu_21700		CompleteMenu_21700					0	0	1	1	1					
21702					s1500101	13	npc_dmp_mxm07	npc_dmp_mxm07		637	637								113245									title_21702	context_21702	accept_21702_1;menu_21702_1	complete_21702;submit_21702		target_21702			CanAcceptMenu_21702		CompleteMenu_21702					0	0	1	1	1					
21704					s1500101	13	npc_dmp_mxm11	npc_dmp_mxm11		637	637																	title_21704	context_21704	accept_21704_1;menu_21704_1	complete_21704;submit_21704		target_21704			CanAcceptMenu_21704		CompleteMenu_21704					1	0	1	1	1					
21705					s1500101	13	npc_dmp_mxm12	npc_dmp_mxm14		637	637								113245							SubmitNpcEx_21705		title_21705	context_21705	accept_21705_1;menu_21705_1	complete_21705;submit_21705		target_21705		next_21705	CanAcceptMenu_21705		CompleteMenu_21705					1	0	1	1	1				10000	box_prize_dmp_drrc_003
21706					s1500101	13	npc_dmp_mxm15	npc_dmp_mxm15		637	637								113245							SubmitNpcEx_21706		title_21706	context_21706	accept_21706_1;menu_21706_1	complete_21706;submit_21706		target_21706		next_21706	CanAcceptMenu_21706		CompleteMenu_21706					1	0	1	1	1				10000	box_prize_dmp_drrc_004
21790					s1500101	13	newmp_dmp_04	newmp_dmp_04		637	637								113245	113245						SubmitNpcEx_21790		title_21790	context_21790	accept_21790_1;menu_21790_1	complete_21790;submit_21790		target_21790		next_21790	CanAcceptMenu_21790		CompleteMenu_21790					1	0	3	1	1				20000	box_prize_dmp_drzc_001
21791	40				s1500101	13	newmp_dmp_12	newmp_dmp_12		637	637								113245	113245			14252			SubmitNpcEx_21791		title_21791	context_21791	accept_21791_1;menu_21791_1	complete_21791;submit_21791		target_21791		next_21791	CanAcceptMenu_21791		CompleteMenu_21791					1	0	0							
21792	40				s1500101	13	newmp_dmp_12	newmp_dmp_12		637	637								113245	113245			14253			SubmitNpcEx_21792		title_21792	context_21792	accept_21792_1;menu_21792_1	complete_21792;submit_21792		target_21792		next_21792	CanAcceptMenu_21792		CompleteMenu_21792					1	0	0							
21793	40				s1500101	13	newmp_dmp_12	newmp_dmp_12		637	637								113245	113245			14254;14255			SubmitNpcEx_21793		title_21793	context_21793	accept_21793_1;menu_21793_1	complete_21793;submit_21793		target_21793		next_21793	CanAcceptMenu_21793		CompleteMenu_21793					1	0	0							
21794	40				s1500101	13	newmp_dmp_12	newmp_dmp_12		637	637								113245	113245			14256			SubmitNpcEx_21794		title_21794	context_21794	accept_21794_1;menu_21794_1	complete_21794;submit_21794		target_21794		next_21794	CanAcceptMenu_21794		CompleteMenu_21794					1	0	0							
