STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Title	Step	SearchID	Line	AcceptNpc	SubmitNpc	AcceptSceneID	SubmitSceneID	AutoAcceptID	AutoSubmit	PreTaskLimit	NextTaskLimit	AcceptLimit	SubmitLimit	SubFunction	TaskItemList	RefreshMonster	TimeLimitLength	SubmitNpcEx	TaskScript	TitleId	ContextId	AcceptDialogId	CompleteDialogId	UnCompleteDialogId	TaskTargetId	TrackInfoID	LineNextInfo	CanAcceptMenu	UncompleteMenu	CompleteMenu	AcceptMovie	SubmitMovie	DramaAccept	DramaSubmit	CanGiveup	ShareType	RepeatType	RepeatPeriod	CountDayLimit	DifficultCoefficient	DifficultLevel	ReputationLimit	AcceptReputationLimit	TiaozhanTime	ActionID
24001	—∞«◊…ŸƒÍ		s010101	1	WorldNpc00009	WorldNpc00009		1			24105	24002	10635;15539						submitnpcex_24001		title_24001	context_24001	accept_24001_1;menu_24001_1	complete_24001;submit_24001	uncom_24001	target_24001	task_TrackInfo_24001	next_24001	CanAcceptMenu_24001	UncompleteMenu_24001	CompleteMenu_24001	28		qdz01_8		0	1	0	0	0						
24002	—∞«◊…ŸƒÍ		s010101	1	WorldNpc00009	WorldNpc00002	1	1			24001	24003							SubmitNpcEx_24002		title_24002	context_24002	accept_24002_1;menu_24002_1	complete_24002;submit_24002	uncom_24002	target_24002	task_TrackInfo_24002	next_24002	CanAcceptMenu_24002	UncompleteMenu_24002	CompleteMenu_24002					0	1	0	0	0						
24003	—∞«◊…ŸƒÍ		s010101	1	WorldNpc00002	WorldNpc00002	1	1	24005		24002	24005									title_24003	context_24003	accept_24003_1;menu_24003_1|accept_24003_2;menu_24003_2	complete_24003;submit_24003	uncom_24003	target_24003	task_TrackInfo_24003	next_24003	CanAcceptMenu_24003	UncompleteMenu_24003	CompleteMenu_24003					0	1	0	0	0						
24005	—∞«◊…ŸƒÍ		s010101	1	WorldNpc00002	FuncNpc00003	1	1			24003	24009							SubmitNpcEx_24005		title_24005	context_24005	accept_24005_1;menu_24005_1	complete_24005;submit_24005|complete_24005_1;submit_24005_1	uncom_24005	target_24005	task_TrackInfo_24005	next_24005	CanAcceptMenu_24005	UncompleteMenu_24005	CompleteMenu_24005					0	1	0	0	0						
24009	—∞«◊…ŸƒÍ		s010101	1	FuncNpc00003	WorldNpc00004	1	1			24005	24010									title_24009	context_24009	accept_24009_1;menu_24009_1	complete_24009;submit_24009|complete_24009_1;submit_24009_1	uncom_24009	target_24009	task_TrackInfo_24009	next_24009	CanAcceptMenu_24009	UncompleteMenu_24009	CompleteMenu_24009				qdz01_13	0	1	0	0	0						
24010	—∞«◊…ŸƒÍ		s010101	1	WorldNpc00004	WorldNpc00008	1	1			24009	24012							SubmitNpcEx_24010		title_24010	context_24010	accept_24010_1;menu_24010_1	complete_24010;submit_24010|complete_24010_1;submit_24010_1	uncom_24010	target_24010	task_TrackInfo_24010	next_24010	CanAcceptMenu_24010	UncompleteMenu_24010	CompleteMenu_24010					0	1	0	0	0						ty_cry
24012	—∞«◊…ŸƒÍ		s010101	1	WorldNpc00008	FuncNpc00012	1	1			24010	24013							SubmitNpcEx_24012		title_24012	context_24012	accept_24012_1;menu_24012_1	complete_24012;submit_24012|complete_24012_1;submit_24012_1	uncom_24012	target_24012	task_TrackInfo_24012	next_24012	CanAcceptMenu_24012	UncompleteMenu_24012	CompleteMenu_24012				qdz01_19	0	1	0	0	0						
24105			s010101	1					24001	1		24001									title_24105	context_24105				target_24105		next_24105								0	0	0	0	0						
24013	≤Ë¡÷”ˆœ’		s010102	1	FuncNpc00012	FuncNpc00012	1	1	24014		24012	24014				1002			SubmitNpcEx_24013		title_24013	context_24013	accept_24013_1;menu_24013_1	complete_24013;submit_24013|complete_24013_1;submit_24013_1	uncom_24013	target_24013	task_TrackInfo_24013	next_24013	CanAcceptMenu_24013	UncompleteMenu_24013	CompleteMenu_24013				qdz01_21	0	1	0	0	0						ty_smile
24014			s010102	1	FuncNpc00012		1	1			24013	24015;24017									title_24014	context_24014	accept_24014_1;menu_24014_1	complete_24014;submit_24014		target_24014			CanAcceptMenu_24014		CompleteMenu_24014					0	1	0	0	0						
24015	≤Ë¡÷”ˆœ’		s010102	1		WorldNpc00010	1	1			24014	24016							SubmitNpcEx_24015		title_24015	context_24015	accept_24015_1;menu_24015_1	complete_24015;submit_24015|complete_24015_1;submit_24015_1	uncom_24015	target_24015	task_TrackInfo_24015	next_24015	CanAcceptMenu_24015	UncompleteMenu_24015	CompleteMenu_24015	110			qdz01_24	0	1	0	0	0						ty_smile
