STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Title	Step	SearchID	Line	AcceptNpc	SubmitNpc	AcceptSceneID	SubmitSceneID	AutoAcceptID	AutoSubmit	PreTaskLimit	NextTaskLimit	AcceptLimit	SubmitLimit	SubFunction	TaskItemList	TimeLimitLength	SubmitNpcEx	TaskScript	TitleId	ContextId	AcceptDialogId	CompleteDialogId	UnCompleteDialogId	TaskTargetId	TrackInfoID	LineNextInfo	CanAcceptMenu	UncompleteMenu	CompleteMenu	AcceptMovie	SubmitMovie	DramaAccept	DramaSubmit	CanGiveup	ShareType	RepeatType	RepeatPeriod	CountDayLimit	NeedVip	TimeLimitLenghtEx	Plot	NotShowMenu	Relation	LuckValue	AcceptDecMoney	ReputationLimit	AcceptReputationLimit	TiaozhanTime	ActionID	AcceptBuffer
43751			s1430101	5	hd_dw_001	ldjhd_01		17	43752			43752	25447							title_43751	context_43751	accept_43751_1;menu_43751_1	complete_43751;submit_43751		target_43751		next_43751	CanAcceptMenu_43751		CompleteMenu_43751					1	0	1	1	1			75									
43752			s1430101	5		ldjhd_03	17	17	43753		43751	43753								title_43752	context_43752	accept_43752_1;menu_43752_1	complete_43752;submit_43752		target_43752		next_43752	CanAcceptMenu_43752		CompleteMenu_43752					1	0	0	0	0			75									
43753			s1430101	5		ldjhd_05	17	17	43754		43752	43754								title_43753	context_43753	accept_43753_1;menu_43753_1	complete_43753;submit_43753		target_43753		next_43753	CanAcceptMenu_43753		CompleteMenu_43753					1	0	0	0	0			75									
43754			s1430101	5		ldjhd_07	17	17	43755		43753	43755								title_43754	context_43754	accept_43754_1;menu_43754_1	complete_43754;submit_43754		target_43754		next_43754	CanAcceptMenu_43754		CompleteMenu_43754					1	0	0	0	0			75									
43755			s1430101	5		ldjhd_09	17	17			43754									title_43755	context_43755	accept_43755_1;menu_43755_1	complete_43755;submit_43755		target_43755		next_43755	CanAcceptMenu_43755		CompleteMenu_43755					1	0	0	0	0			75									
43756			s1430101	5	hd_dw_001	hd_dw_001							25446					SubmitNpcEx_43756		title_43756	context_43756	accept_43756_1;menu_43756_1	complete_43756;submit_43756		target_43756		next_43756	CanAcceptMenu_43756		CompleteMenu_43756					1	0	1	1	1												
43757			s1430101	5	sd_npc_005	sd_npc_005							102309					SubmitNpcEx_43757		title_43757	context_43757	accept_43757_1;menu_43757_1	complete_43757;submit_43757		target_43757		next_43757	CanAcceptMenu_43757		CompleteMenu_43757					1	0	1	1	1												
43758			s1430101	5	hd_dw_001	hd_dw_001							102309					SubmitNpcEx_43758		title_43758	context_43758	accept_43758_1;menu_43758_1	complete_43758;submit_43758		target_43758		next_43758	CanAcceptMenu_43758		CompleteMenu_43758					1	0	1	1	1												
43760			s1430101	5	QingMingnpc_001	QingMingnpc_001	14	14					23318;102309						task\active\task195.lua	title_43760	context_43760	accept_43760_1;menu_43760_1	complete_43760;submit_43760		target_43760		next_43760	CanAcceptMenu_43760		CompleteMenu_43760					1	0	1	1	1												
43761			s1430101	5	QingMingnpc_002	QingMingnpc_002	17	17					23318;102309						task\active\task195.lua	title_43761	context_43761	accept_43761_1;menu_43761_1	complete_43761;submit_43761		target_43761		next_43761	CanAcceptMenu_43761		CompleteMenu_43761					1	0	1	1	1												
