STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	RoundID	Plot	Title	Step	SearchID	Line	AcceptNpc	SubmitNpc	AcceptSceneID	SubmitSceneID	AutoAcceptID	AutoSubmit	PreTaskLimit	NextTaskLimit	AcceptLimit	SubmitLimit	SubFunction	TaskItemList	RefreshMonster	TimeLimitLength	SubmitNpcEx	TaskScript	TitleId	ContextId	AcceptDialogId	CompleteDialogId	UnCompleteDialogId	TaskTargetId	TrackInfoID	LineNextInfo	CanAcceptMenu	UncompleteMenu	CompleteMenu	AcceptMovie	SubmitMovie	DramaAccept	DramaSubmit	CanGiveup	ShareType	RepeatType	RepeatPeriod	CountDayLimit	DifficultCoefficient	DifficultLevel	ReputationLimit	AcceptReputationLimit	TiaozhanTime	FastCompleteMoney	FastCompletePrize	AcceptBuffer
74401					s1700101	5	FunnpcPet001001	FunnpcPet001001	16	16					29952						SubmitNpcEx_74401		title_74401	context_74401	accept_74401_1;menu_74401_1	complete_74401;submit_74401		target_74401		next_74401	CanAcceptMenu_74401		CompleteMenu_74401					1	0	1	1	1								
74402					s1700101	5	FunnpcPet001001	FunnpcPet001001	16	16					29953						SubmitNpcEx_74402		title_74402	context_74402	accept_74402_1;menu_74402_1	complete_74402;submit_74402		target_74402		next_74402	CanAcceptMenu_74402		CompleteMenu_74402					1	0	1	1	1								
74403					s1700101	5	FunnpcPet001001	FunnpcPet001001	16	16					29954						SubmitNpcEx_74403		title_74403	context_74403	accept_74403_1;menu_74403_1	complete_74403;submit_74403		target_74403		next_74403	CanAcceptMenu_74403		CompleteMenu_74403					1	0	1	1	1								
74404					s1700101	5	FunnpcPet001001	FunnpcPet001001	16	16					29955						SubmitNpcEx_74404		title_74404	context_74404	accept_74404_1;menu_74404_1	complete_74404;submit_74404		target_74404		next_74404	CanAcceptMenu_74404		CompleteMenu_74404					1	0	1	1	1								
74405					s1700101	5	FunnpcPet001001	FunnpcPet001001	16	16					29956						SubmitNpcEx_74405		title_74405	context_74405	accept_74405_1;menu_74405_1	complete_74405;submit_74405		target_74405		next_74405	CanAcceptMenu_74405		CompleteMenu_74405					1	0	1	1	1								
74406					s1700101	5	FunnpcPet001001	FunnpcPet001001	16	16					29957						SubmitNpcEx_74406		title_74406	context_74406	accept_74406_1;menu_74406_1	complete_74406;submit_74406		target_74406		next_74406	CanAcceptMenu_74406		CompleteMenu_74406					1	0	1	1	1								
74407					s1700101	5	WorldNpc01650	WorldNpc01650	14	14					117890;114952						SubmitNpcEx_74407		title_74407	context_74407				target_74407		next_74407								1	0	0	0	0								
74408					s1700101	5	WorldNpc01650	WorldNpc01650	14	14					117891;114952						SubmitNpcEx_74408		title_74408	context_74408				target_74408		next_74408								1	0	0	0	0								
74409					s1700101	5	hd_wyhd_001	hd_wyhd_001	14	14					117894						SubmitNpcEx_74409		title_74409	context_74409				target_74409		next_74409								1	0	0	0	0								
74410					s1700101	5	sz462	sz462							108837;114952;116506;116500;116502;116503;116505;116504;116501						SubmitNpcEx_74410		title_74410	context_74410				target_74410		next_74410								1	0	1	1	1								
74411					s1700101	5	WorldNpc01194	WorldNpc01194	14	14					118028;17545			74401			SubmitNpcEx_74411		title_74411	context_74411	accept_74411_1;menu_74411_1	complete_74411;submit_74411		target_74411			CanAcceptMenu_74411		CompleteMenu_74411					1	0	0	0	0								
74412					s1700101	5	hd_dw_001	hd_dw_001							14655;17545						SubmitNpcEx_74412		title_74412	context_74412				target_74412										1	0	1	1	1								
74413					s1700101	5	hd_dw_001	hd_dw_001							14656;17545						SubmitNpcEx_74413		title_74413	context_74413				target_74413										1	0	1	1	1								
74414					s1700101	5	sz466	sz466	14	14					14658;14701;109302								title_74414	context_74414				target_74414		next_74414								1	0	1	1	1								
74415					s1700101	5	WorldNpc01194	WorldNpc01194	14	14					118122;17545			74402			SubmitNpcEx_74415		title_74415	context_74415	accept_74415_1;menu_74415_1	complete_74415;submit_74415		target_74415			CanAcceptMenu_74415		CompleteMenu_74415					1	0	0	0	0								
74416					s1700101	5	hd_wyhd_001	hd_wyhd_001	14	14					118144								title_74416	context_74416				target_74416		next_74416								1	0	1	1	1								
