STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Plot	Title	Step	SearchID	Line	AcceptNpc	SubmitNpc	SceneID	AcceptSceneID	SubmitSceneID	AutoAcceptID	AutoSubmit	PreTaskLimit	NextTaskLimit	NotShowMenu	Relation	LuckValue	AcceptLimit	SubmitLimit	AcceptDecMoney	SubFunction	TaskItemList	RefreshMonster	TimeLimitLength	SubmitNpcEx	TaskScript	TitleId	ContextId	AcceptDialogId	CompleteDialogId	UnCompleteDialogId	TaskTargetId	TrackInfoID	LineNextInfo	CanAcceptMenu	UncompleteMenu	CompleteMenu	AcceptMovie	SubmitMovie	DramaAccept	DramaSubmit	CanGiveup	ShareType	RepeatType	RepeatPeriod	CountDayLimit	DifficultCoefficient	DifficultLevel	NeedVip	AcceptAniMovie	SubmitAniMovie
51001				s1320101	4				72	72	51013	1	51032	51013				1410;109803;103016;103018;105907									title_51001	context_51001				target_51001										0	0	0							
51013				s1320101	4				72	72	51002	1	51001	51002				1410;109803;103016;103018;105907									title_51013	context_51013				target_51013										0	0	0							
51002				s1320101	4		SchoolNpc000002		72	72	51003		51013	51003				1410;109803;103016;103018;105907							SubmitNpcEx_51002		title_51002	context_51002		complete_51002;submit_51002		target_51002					CompleteMenu_51002					0	0	0							
51003				s1320102	4				72	72	51004	1	51002	51004				1410;109803;103016;103018;105907									title_51003	context_51003				target_51003								wmp01_2		0	0	0							
51004				s1320102	4				72	72	51005	1	51003	51005				1410;109803;103016;103018;105907									title_51004	context_51004				target_51004										0	0	0							
51005				s1320102	4	SchoolNpc000009			72	72	51006	1	51004	51006				1410;109803;103016;103018;105907							SubmitNpcEx_51005		title_51005	context_51005				target_51005										0	0	0							
51006				s1320102	4				72	72	51014	1	51005	51014				1410;109803;103016;103018;105907									title_51006	context_51006				target_51006										0	0	0							
51014				s1320102	4				72	72	51007	1	51006	51007				1410;109803;103016;103018;105907									title_51014	context_51014				target_51014										0	0	0							
51007				s1320102	4				72	72	51008	1	51014	51008				1410;109803;103016;103018;105907									title_51007	context_51007				target_51007										0	0	0							
51008				s1320102	4	SchoolNpc000017			72	72	51009	1	51007	51009				1410;109803;103016;103018;105907									title_51008	context_51008				target_51008										0	0	0							
51009				s1320102	4				72	72	51010	1	51008	51010				1410;109803;103016;103018;105907									title_51009	context_51009				target_51009										0	0	0							
51010				s1320102	4		SchoolNpc000035		72	72	51011		51009	51011				1410;109803;103016;103018;105907									title_51010	context_51010		complete_51010;submit_51010		target_51010					CompleteMenu_51010					0	0	0							
51011				s1320102	4				72	72	51012	1	51010	51012				1410;109803;103016;103018;105907									title_51011	context_51011				target_51011										0	0	0							
51012				s1320102	4		SchoolNpc000035		72	72	51230		51011	51230				1410;109803;103016;103018;105907									title_51012	context_51012				target_51012										0	0	0							
51015				s1320101	9		Transbron02A		2	2	27503			27503				1410;109803;103016;103018;105907									title_51015	context_51015		complete_51015;submit_51015		target_51015										0	0	0							
51016				s1320103	9	Transcity05A	Guildfuncnpc001		17	17			51232	51017				1410;109803;103016;103018;105907									title_51016	context_51016	accept_51016_1;menu_51016_1	complete_51016;submit_51016		target_51016		next_51016	CanAcceptMenu_51016		CompleteMenu_51016					1	0	0							
51017				s1320103	9	Guildfuncnpc001	Guildfuncnpc001		17	17			51016					11302;1410;109803;103016;103018;105907							SubmitNpcEx_51017		title_51017	context_51017	accept_51017_1;menu_51017_1	complete_51017;submit_51017		target_51017			CanAcceptMenu_51017		CompleteMenu_51017					1	0	0							
51018				s1320501	9	Guildfuncnpc008	SchoolNpc000037		2	2								1410;109803;103016;103018;105907									title_51018	context_51018	accept_51018_1;menu_51018_1	complete_51018;submit_51018		target_51018			CanAcceptMenu_51018		CompleteMenu_51018					0	0	0							
51019				s1320501	9		JobERG001		2	2								1410;109803;103016;103018;105907									title_51019	context_51019	accept_51019_1;menu_51019_1	complete_51019;submit_51019		target_51019			CanAcceptMenu_51019		CompleteMenu_51019					1	0	0							
51020				s1320501	9		JobERG003		2	2								1410;109803;103016;103018;105907									title_51020	context_51020	accept_51020_1;menu_51020_1	complete_51020;submit_51020		target_51020			CanAcceptMenu_51020		CompleteMenu_51020					1	0	0							
51021				s1320501	9		JobERG004		2	2								1410;109803;103016;103018;105907									title_51021	context_51021	accept_51021_1;menu_51021_1	complete_51021;submit_51021		target_51021			CanAcceptMenu_51021		CompleteMenu_51021					1	0	0							
51022				s1320501	9		JobERG005		2	2								1410;109803;103016;103018;105907									title_51022	context_51022	accept_51022_1;menu_51022_1	complete_51022;submit_51022		target_51022			CanAcceptMenu_51022		CompleteMenu_51022					1	0	0							
51023				s1320501	9		JobERG006		2	2								1410;109803;103016;103018;105907									title_51023	context_51023	accept_51023_1;menu_51023_1	complete_51023;submit_51023		target_51023			CanAcceptMenu_51023		CompleteMenu_51023					1	0	0							
51024				s1320501	9		JobERG007		2	2								1410;109803;103016;103018;105907									title_51024	context_51024	accept_51024_1;menu_51024_1	complete_51024;submit_51024		target_51024			CanAcceptMenu_51024		CompleteMenu_51024					1	0	0							
51025				s1320501	9		JobERG008		2	2								1410;109803;103016;103018;105907									title_51025	context_51025	accept_51025_1;menu_51025_1	complete_51025;submit_51025		target_51025			CanAcceptMenu_51025		CompleteMenu_51025					1	0	0							
51026				s1320501	9		JobERG009		2	2								1410;109803;103016;103018;105907									title_51026	context_51026	accept_51026_1;menu_51026_1	complete_51026;submit_51026		target_51026			CanAcceptMenu_51026		CompleteMenu_51026					1	0	0							
