STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Plot	Title	Step	SearchID	Line	AcceptNpc	SubmitNpc	SceneID	AcceptSceneID	SubmitSceneID	AutoAcceptID	AutoSubmit	PreTaskLimit	NextTaskLimit	NotShowMenu	Relation	LuckValue	AcceptLimit	SubmitLimit	AcceptDecMoney	SubFunction	TaskItemList	RefreshMonster	TimeLimitLength	SubmitNpcEx	TaskScript	TitleId	ContextId	AcceptDialogId	CompleteDialogId	UnCompleteDialogId	TaskTargetId	TrackInfoID	LineNextInfo	CanAcceptMenu	UncompleteMenu	CompleteMenu	AcceptMovie	SubmitMovie	DramaAccept	DramaSubmit	CanGiveup	ShareType	RepeatType	RepeatPeriod	CountDayLimit	DifficultCoefficient	DifficultLevel	ReputationLimit	AcceptReputationLimit
47001				s1360101	9		worldnpc04101			5															SubmitNpcEx_47001		title_47001	context_47001	accept_47001_1;menu_47001_1	complete_47001;submit_47001		target_47001		next_47001	CanAcceptMenu_47001		CompleteMenu_47001					1	0	0	0	0				
47002				s1360101	5		WorldNpc03003			6															SubmitNpcEx_47002		title_47001	context_47001	accept_47001_1;menu_47001_1	complete_47001;submit_47001		target_47001		next_47001	CanAcceptMenu_47001		CompleteMenu_47001					1	0	0	0	0				
47003				s1360101	5		WorldNpc03305			7															SubmitNpcEx_47003		title_47001	context_47001	accept_47001_1;menu_47001_1	complete_47001;submit_47001		target_47001		next_47001	CanAcceptMenu_47001		CompleteMenu_47001					1	0	0	0	0				
47004				s1360101	5		WorldNpc03816			8															SubmitNpcEx_47004		title_47001	context_47001	accept_47001_1;menu_47001_1	complete_47001;submit_47001		target_47001		next_47001	CanAcceptMenu_47001		CompleteMenu_47001					1	0	0	0	0				
47005				s1360101	5		WorldNpc02203			9															SubmitNpcEx_47005		title_47001	context_47001	accept_47001_1;menu_47001_1	complete_47001;submit_47001		target_47001		next_47001	CanAcceptMenu_47001		CompleteMenu_47001					1	0	0	0	0				
47006				s1360101	5		WorldNpc02604			10															SubmitNpcEx_47006		title_47001	context_47001	accept_47001_1;menu_47001_1	complete_47001;submit_47001		target_47001		next_47001	CanAcceptMenu_47001		CompleteMenu_47001					1	0	0	0	0				
47007				s1360101	5		WorldNpc04401			11															SubmitNpcEx_47007		title_47001	context_47001	accept_47001_1;menu_47001_1	complete_47001;submit_47001		target_47001		next_47001	CanAcceptMenu_47001		CompleteMenu_47001					1	0	0	0	0				
47008				s1360101	5		WorldNpc00212			12															SubmitNpcEx_47008		title_47001	context_47001	accept_47001_1;menu_47001_1	complete_47001;submit_47001		target_47001		next_47001	CanAcceptMenu_47001		CompleteMenu_47001					1	0	0	0	0				
47009				s1360101	5	world_jyz_sinei_01	world_jyz_sinei_03		15	15								17051				9501			SubmitNpcEx_47009		title_47009	context_47009	accept_47009_1;menu_47009_1	complete_47009;submit_47009		target_47009		next_47009	CanAcceptMenu_47009		CompleteMenu_47009		5455			1	0	0	0	0				
47010				s1360101	5	world_jyz_sinei_03	world_jyz_sinei_04		15	15			47009					25470							SubmitNpcEx_47010		title_47010	context_47010	accept_47010_1;menu_47010_1	complete_47010;submit_47010		target_47010		next_47010	CanAcceptMenu_47010		CompleteMenu_47010					1	0	0	0	0				
47011				s1360101	9	world_jyz_sinei_03	world_jyz_sinei_05		15	17			47009					25470							SubmitNpcEx_47011		title_47011	context_47011	accept_47011_1;menu_47011_1	complete_47011;submit_47011		target_47011		next_47011	CanAcceptMenu_47011		CompleteMenu_47011					1	0	0	0	0				
47012				s1360101	9	world_jyz_sinei_03	world_jyz_sinei_06		15	14			47009					25470							SubmitNpcEx_47012		title_47012	context_47012	accept_47012_1;menu_47012_1	complete_47012;submit_47012		target_47012		next_47012	CanAcceptMenu_47012		CompleteMenu_47012					1	0	0	0	0				
47013				s1360101	5	world_jyz_sinei_02	world_jyz_sinei_02		15	15								17051				9500			SubmitNpcEx_47013		title_47013	context_47013	accept_47013_1;menu_47013_1	complete_47013;submit_47013		target_47013		next_47013	CanAcceptMenu_47013		CompleteMenu_47013					1	0	0	0	0				
47014				s1360101	5	world_jyz_sinei_08	world_jyz_sinei_08		15	15								101761							SubmitNpcEx_47014		title_47014	context_47014	accept_47014_1;menu_47014_1	complete_47014;submit_47014		target_47014		next_47014	CanAcceptMenu_47014		CompleteMenu_47014					1	0	0		0				
47015				s1360101	5	world_jyz_sinei_11	world_jyz_sinei_11		13	13								101760							SubmitNpcEx_47015		title_47015	context_47015	accept_47015_1;menu_47015_1	complete_47015;submit_47015		target_47015		next_47015	CanAcceptMenu_47015		CompleteMenu_47015					1	0	0		0				
47016				s1360101	5	world_jyz_sinei_10	world_jyz_sinei_10		14	14								101763							SubmitNpcEx_47016		title_47016	context_47016	accept_47016_1;menu_47016_1	complete_47016;submit_47016		target_47016		next_47016	CanAcceptMenu_47016		CompleteMenu_47016					1	0	0		0				
47017				s1360101	5	world_jyz_sinei_09	world_jyz_sinei_09		17	17								101762							SubmitNpcEx_47017		title_47017	context_47017	accept_47017_1;menu_47017_1	complete_47017;submit_47017		target_47017		next_47017	CanAcceptMenu_47017		CompleteMenu_47017					1	0	0		0				
47018				s1360101	5		world_jyz_sinei_20			15															SubmitNpcEx_47018		title_47018	context_47018	accept_47018_1;menu_47018_1	complete_47018;submit_47018		target_47018		next_47018	CanAcceptMenu_47018		CompleteMenu_47018					1	0	1		10				
47019				s1360101	5		world_jyz_sinei_20			15															SubmitNpcEx_47019		title_47019	context_47019		complete_47019;submit_47019		target_47019		next_47019			CompleteMenu_47019					1	0	0	0	0				
47020				s1360101	5		world_jyz_sinei_21			15															SubmitNpcEx_47020		title_47020	context_47020		complete_47020;submit_47020		target_47020		next_47020			CompleteMenu_47020					1	0	0	0	0				
47021				s1360101	5		world_jyz_sinei_22			15															SubmitNpcEx_47021		title_47021	context_47021		complete_47021;submit_47021		target_47021		next_47021			CompleteMenu_47021					1	0	0	0	0				
47022				s1360101	5	event_jiuyinzhi_5_1	event_jiuyinzhi_5_2		16	16								17051							SubmitNpcEx_47022		title_47022	context_47022	accept_47022_1;menu_47022_1	complete_47022;submit_47022		target_47022		next_47022	CanAcceptMenu_47022		CompleteMenu_47022		5513			1	0	0						
47023				s1360101	5	world_jyz_sinei_03	world_jyz_sinei_07		15	17			47009					25470							SubmitNpcEx_47023		title_47023	context_47023	accept_47023_1;menu_47023_1	complete_47023;submit_47023		target_47023		next_47023	CanAcceptMenu_47023		CompleteMenu_47023					1	0	0	0	0				
47024				s1360101	5	WorldNpc_haiziwang01	WorldNpc_haiziwang02		14	14															SubmitNpcEx_47024		title_47024	context_47024	accept_47024_1;menu_47024_1	complete_47024;submit_47024		target_47024		next_47024	CanAcceptMenu_47024		CompleteMenu_47024					1	0	0	0	0				
47025				s1360101	5		WorldNpc10554			16															SubmitNpcEx_47025		title_47025	context_47025	accept_47025_1;menu_47025_1	complete_47025;submit_47025		target_47025		next_47025	CanAcceptMenu_47025		CompleteMenu_47025					1	0							
47026				s1360101	5		WorldNpc10554			16															SubmitNpcEx_47026		title_47026	context_47026		complete_47026;submit_47026		target_47026					CompleteMenu_47026					1	0							
47027				s1360101	9		WorldNpc10554			16															SubmitNpcEx_47027		title_47027	context_47027	accept_47027_1;menu_47027_1	complete_47027;submit_47027		target_47027		next_47027	CanAcceptMenu_47027		CompleteMenu_47027					0	0	0	0	0				
47028				s1360101							1																																							
47029				s1360101							1																																							
47030				s1360101							1																																							
47031				s1360101							1																																							
47032				s1360101	3	Npc_sweetemploy_001	Npc_sweetemploy_001		14	14								107097;18628							SubmitNpcEx_47032		title_47032	context_47032	accept_47032_1;menu_47032_1	complete_47032;submit_47032		target_47032		next_47032	CanAcceptMenu_47032		CompleteMenu_47032					1		1	1	1				
47033				s1360101	3	Npc_sweetemploy_001	Npc_sweetemploy_001		14	14								107097;18628							SubmitNpcEx_47033		title_47033	context_47033	accept_47033_1;menu_47033_1	complete_47033;submit_47033		target_47033		next_47033	CanAcceptMenu_47033		CompleteMenu_47033					1		3	1	7				
47034				s1360101		1						1																																						
47035				s1360101	3	Npc_sweetemploy_001	Npc_sweetemploy_001		14	14								107097;18628				9502			SubmitNpcEx_47035		title_47035	context_47035	accept_47035_1;menu_47035_1	complete_47035;submit_47035		target_47035		next_47035	CanAcceptMenu_47035		CompleteMenu_47035					1		3	1	1				
47039				s1360101	5	world_jyz_wunei_01	world_jyz_wunei_01		16	16															SubmitNpcEx_47039		title_47039	context_47039	accept_47039_1;menu_47039_1	complete_47039;submit_47039		target_47039		next_47039	CanAcceptMenu_47039		CompleteMenu_47039	5518				1	0							
47040				s1360101	5		world_jyz_wunei_05			16		1													SubmitNpcEx_47040		title_47040	context_47040				target_47040		next_47040								1	0	0	0	0				
