STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Plot	Title	Step	SearchID	Line	AcceptNpc	SubmitNpc	SceneID	AcceptSceneID	SubmitSceneID	AutoAcceptID	AutoSubmit	PreTaskLimit	NextTaskLimit	NotShowMenu	Relation	LuckValue	AcceptLimit	SubmitLimit	AcceptDecMoney	SubFunction	TaskItemList	RefreshMonster	TimeLimitLength	SubmitNpcEx	TaskScript	TitleId	ContextId	AcceptDialogId	CompleteDialogId	UnCompleteDialogId	TaskTargetId	TrackInfoID	LineNextInfo	CanAcceptMenu	UncompleteMenu	CompleteMenu	AcceptMovie	SubmitMovie	DramaAccept	DramaSubmit	CanGiveup	ShareType	RepeatType	RepeatPeriod	CountDayLimit	DifficultCoefficient	DifficultLevel	NeedVip	AcceptAniMovie	SubmitAniMovie
57501	67			s1290101	2	WorldNpc02205	NPC_4nei_tm_smrtmj01		9	9	57502			57502				25328							SubmitNpcEx_57501		title_57501	context_57501	accept_57501_1;menu_57501_1	complete_57501_1;submit_57501_1|complete_57501_2;submit_57501_2		target_57501			CanAcceptMenu_57501		CompleteMenu_57501					0	0	0	0	0					
57502	67			s1290101	2		WorldNpc02205			9			57501	57503				1001							SubmitNpcEx_57502		title_57502	context_57502	accept_57502_1;menu_57502_1	complete_57502;submit_57502		target_57502		next_57502	CanAcceptMenu_57502		CompleteMenu_57502					0	0	0	0	0					
57503	67			s1290101	2	WorldNpc02205	WorldNpc02201		9	9	57504		57502	57504				1001							SubmitNpcEx_57503		title_57503	context_57503	accept_57503_1;menu_57503_1	complete_57503;submit_57503		target_57503		next_57503	CanAcceptMenu_57503		CompleteMenu_57503					0	0	0	0	0					
57504	67			s1290101	2	WorldNpc02205	NPC_4nei_tm_smrtmj02		9	9	57505		57503	57505				1001							SubmitNpcEx_57504		title_57504	context_57504	accept_57504_1;menu_57504_1	complete_57504;submit_57504		target_57504		next_57504	CanAcceptMenu_57504		CompleteMenu_57504					0	0	0	0	0					
57505	67			s1290101	2		WorldNpc02201		9	9			57504	57506				1001							SubmitNpcEx_57505		title_57505	context_57505	accept_57505_1;menu_57505_1	complete_57505;submit_57505		target_57505		next_57505	CanAcceptMenu_57505		CompleteMenu_57505					0	0	0	0	0					
57506	67			s1290101	2	WorldNpc02201	WorldNpc02208		9	9			57505	57507				1001							SubmitNpcEx_57506		title_57506	context_57506	accept_57506_1;menu_57506_1	complete_57506;submit_57506		target_57506		next_57506	CanAcceptMenu_57506		CompleteMenu_57506					0	0	0	0	0					
57507	67			s1290101	2	WorldNpc02208			9	9	57508	1	57506	57508				1001							SubmitNpcEx_57507		title_57507	context_57507	accept_57507_1;menu_57507_1	complete_57507;submit_57507		target_57507		next_57507	CanAcceptMenu_57507		CompleteMenu_57507					0	0	0	0	0					
57508	67			s1290101	2	NPC_4nei_tm_tsg01	NPC_4nei_tm_tsg01		9	9	57518		57507	57518				1001							SubmitNpcEx_57508		title_57508	context_57508	accept_57508_1;menu_57508_1	complete_57508;submit_57508		target_57508		next_57508	CanAcceptMenu_57508		CompleteMenu_57508					0	0	0	0	0					
57509				s1290101	2	WorldNpc02203	WorldNpc02203		9	9				57510				25063							SubmitNpcEx_57509		title_57509	context_57509	accept_57509_1;menu_57509_1|accept_57509_2;menu_57509_2	complete_57509;submit_57509		target_57509		next_57509	CanAcceptMenu_57509		CompleteMenu_57509					0	0	0	0	0					
57510				s1290101	2	WorldNpc02203	tm025		9	9			57509	57511				1001							SubmitNpcEx_57510		title_57510	context_57510	accept_57510_1;menu_57510_1	complete_57510;submit_57510		target_57510		next_57510	CanAcceptMenu_57510		CompleteMenu_57510					0	0	0	0	0					
57511				s1290101	2	tm025	WorldNpc02203		9	9			57510	57512				1001							SubmitNpcEx_57511		title_57511	context_57511	accept_57511_1;menu_57511_1	complete_57511;submit_57511		target_57511			CanAcceptMenu_57511		CompleteMenu_57511					0	0	0	0	0					
57512				s1290101	2	WorldNpc02203	WorldNpc02203		9	9			57511	57513				1001							SubmitNpcEx_57512		title_57512	context_57512	accept_57512_1;menu_57512_1	complete_57512;submit_57512		target_57512		next_57512	CanAcceptMenu_57512		CompleteMenu_57512					0	0	0	0	0					
57513				s1290101	2	WorldNpc02203	NPC_4nei_tm_xianren02		9	17	57514		57512	57514				1001							SubmitNpcEx_57513		title_57513	context_57513	accept_57513_1;menu_57513_1	complete_57513;submit_57513		target_57513		next_57513	CanAcceptMenu_57513		CompleteMenu_57513					0	0	0	0	0					
