STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Plot	Title	Step	SearchID	Line	AcceptNpc	SubmitNpc	SceneID	AcceptSceneID	SubmitSceneID	AutoAcceptID	AutoSubmit	PreTaskLimit	NextTaskLimit	NotShowMenu	Relation	LuckValue	AcceptLimit	SubmitLimit	AcceptDecMoney	SubFunction	TaskItemList	RefreshMonster	TimeLimitLength	SubmitNpcEx	TaskScript	TitleId	ContextId	AcceptDialogId	CompleteDialogId	UnCompleteDialogId	TaskTargetId	TrackInfoID	LineNextInfo	CanAcceptMenu	UncompleteMenu	CompleteMenu	AcceptMovie	SubmitMovie	DramaAccept	DramaSubmit	CanGiveup	ShareType	RepeatType	RepeatPeriod	CountDayLimit	DifficultCoefficient	DifficultLevel	IsClose	AcceptBuffer
501		药师		s960101	3	JobQianDZ009	JobQianDZ009		1	1				502				22204									title_501	context_501	accept_501_1;menu_501_1	complete_501;submit_501	uncom_501	target_501	task_TrackInfo_501	next_501	CanAcceptMenu_501	UncompleteMenu_501	CompleteMenu_501					0	0	0						
502		药师		s960101	3	JobQianDZ009	JobQianDZ009		1	1			501					3980				43000;43036;43045					title_502	context_502	accept_502_1;menu_502_1	complete_502;submit_502	uncom_502	target_502	task_TrackInfo_502	next_502	CanAcceptMenu_502	UncompleteMenu_502	CompleteMenu_502					0	0	0						
503		毒师		s960101	3	JobQianDZ010	JobQianDZ010		1	1				504				22206									title_503	context_503	accept_503_1;menu_503_1	complete_503;submit_503	uncom_503	target_503	task_TrackInfo_503	next_503	CanAcceptMenu_503	UncompleteMenu_503	CompleteMenu_503					0	0	0						
504		毒师		s960101	3	JobQianDZ010	JobQianDZ010		1	1			503					3981				43004;43037;43046					title_504	context_504	accept_504_1;menu_504_1	complete_504;submit_504	uncom_504	target_504	task_TrackInfo_504	next_504	CanAcceptMenu_504	UncompleteMenu_504	CompleteMenu_504					0	0	0						
505		矿工		s960101	3	JobQianDZ001	JobQianDZ001		1	1				506				22208									title_505	context_505	accept_505_1;menu_505_1	complete_505;submit_505	uncom_505	target_505	task_TrackInfo_505	next_505	CanAcceptMenu_505	UncompleteMenu_505	CompleteMenu_505					0	0	0						
506		矿工		s960101	3	JobQianDZ001	JobQianDZ001		1	1			505					3972				43007;43038					title_506	context_506	accept_506_1;menu_506_1	complete_506;submit_506	uncom_506	target_506	task_TrackInfo_506	next_506	CanAcceptMenu_506	UncompleteMenu_506	CompleteMenu_506					0	0	0						
507		裁缝		s960101	3	JobQianDZ007	JobQianDZ007		1	1								22210				43010;43047;43048					title_507	context_507	accept_507_1;menu_507_1	complete_507;submit_507	uncom_507	target_507	task_TrackInfo_507	next_507	CanAcceptMenu_507	UncompleteMenu_507	CompleteMenu_507					0	0	0						
508		金匠		s960101	3	JobQianDZ008	JobQianDZ008		1	1								22211				43011;43049;43050					title_508	context_508	accept_508_1;menu_508_1	complete_508;submit_508	uncom_508	target_508	task_TrackInfo_508	next_508	CanAcceptMenu_508	UncompleteMenu_508	CompleteMenu_508					0	0	0						
509		铁匠		s960101	3	JobQianDZ002	JobQianDZ002		1	1								22212				43014;43051;43052					title_509	context_509	accept_509_1;menu_509_1	complete_509;submit_509	uncom_509	target_509	task_TrackInfo_509	next_509	CanAcceptMenu_509	UncompleteMenu_509	CompleteMenu_509					0	0	0						
510		厨师		s960101	3	JobQianDZ011	JobQianDZ011		1	1								22213				43017;43019;43034;43053;43054					title_510	context_510	accept_510_1;menu_510_1	complete_510;submit_510	uncom_510	target_510	task_TrackInfo_510	next_510	CanAcceptMenu_510	UncompleteMenu_510	CompleteMenu_510					0	0	0						
511		渔夫		s960101	3	JobQianDZ003	JobQianDZ003		1	1								22214									title_511	context_511	accept_511_1;menu_511_1	complete_511;submit_511	uncom_511	target_511	task_TrackInfo_511	next_511	CanAcceptMenu_511	UncompleteMenu_511	CompleteMenu_511					0	0	0						
512		樵夫		s960101	3	JobQianDZ004	JobQianDZ004		1	1								22215									title_512	context_512	accept_512_1;menu_512_1	complete_512;submit_512	uncom_512	target_512	task_TrackInfo_512	next_512	CanAcceptMenu_512	UncompleteMenu_512	CompleteMenu_512					0	0	0						
513		农夫		s960101	3													22216				43020;43021					title_513	context_513	accept_513_1;menu_513_1	complete_513;submit_513	uncom_513	target_513	task_TrackInfo_513	next_513	CanAcceptMenu_513	UncompleteMenu_513	CompleteMenu_513					0	0	0						
514		猎户		s960101	3	JobQianDZ006	JobQianDZ006		1	1								22217									title_514	context_514	accept_514_1;menu_514_1	complete_514;submit_514	uncom_514	target_514	task_TrackInfo_514	next_514	CanAcceptMenu_514	UncompleteMenu_514	CompleteMenu_514					0	0	0						
515		书生		s960101	3	JobQianDZ014	JobQianDZ014		1	1								23658				43025;43026;43055					title_515	context_515	accept_515_1;menu_515_1	complete_515;submit_515	uncom_515	target_515	task_TrackInfo_515	next_515	CanAcceptMenu_515	UncompleteMenu_515	CompleteMenu_515					0	0	0						
516		画师		s960101	3	JobQianDZ015	JobQianDZ015		1	1								23662				43027;43028;43029					title_516	context_516	accept_516_1;menu_516_1	complete_516;submit_516	uncom_516	target_516	task_TrackInfo_516	next_516	CanAcceptMenu_516	UncompleteMenu_516	CompleteMenu_516					0	0	0						
517		棋士		s960101	3	JobQianDZ013	JobQianDZ013		1	1								23666				43031					title_517	context_517	accept_517_1;menu_517_1	complete_517;submit_517	uncom_517	target_517	task_TrackInfo_517	next_517	CanAcceptMenu_517	UncompleteMenu_517	CompleteMenu_517					0	0	0						
518		琴师		s960101	3	JobQianDZ012	JobQianDZ012		1	1								23670				43057					title_518	context_518	accept_518_1;menu_518_1	complete_518;submit_518	uncom_518	target_518	task_TrackInfo_518	next_518	CanAcceptMenu_518	UncompleteMenu_518	CompleteMenu_518					0	0	0						
519		乞丐		s960101	3	JobQianDZ017	JobQianDZ017		1	1								22218				43056					title_519	context_519	accept_519_1;menu_519_1	complete_519;submit_519	uncom_519	target_519	task_TrackInfo_519	next_519	CanAcceptMenu_519	UncompleteMenu_519	CompleteMenu_519					0	0	0						
520		卦师		s960101	3	JobQianDZ016	JobQianDZ016		1	1								22219									title_520	context_520	accept_520_1;menu_520_1	complete_520;submit_520	uncom_520	target_520	task_TrackInfo_520	next_520	CanAcceptMenu_520	UncompleteMenu_520	CompleteMenu_520					0	0	0						
521		毒师		s960101	3					2																	title_521	context_521		complete_521	uncom_521	target_521	task_TrackInfo_521	next_521	CanAcceptMenu_521	UncompleteMenu_521	CompleteMenu_521													
522		厨师		s960101	3					2																	title_522	context_522		complete_522	uncom_522	target_522	task_TrackInfo_522	next_522	CanAcceptMenu_522	UncompleteMenu_522	CompleteMenu_522													
523		矿工		s960101	3					3																	title_523	context_523		complete_523	uncom_523	target_523	task_TrackInfo_523	next_523	CanAcceptMenu_523	UncompleteMenu_523	CompleteMenu_523													
524		铁匠		s960101	3					3																	title_524	context_524		complete_524	uncom_524	target_524	task_TrackInfo_524	next_524	CanAcceptMenu_524	UncompleteMenu_524	CompleteMenu_524													
525		渔夫		s960101	3					3																	title_525	context_525		complete_525	uncom_525	target_525	task_TrackInfo_525	next_525	CanAcceptMenu_525	UncompleteMenu_525	CompleteMenu_525													
526		樵夫		s960101	3					3																	title_526	context_526		complete_526	uncom_526	target_526	task_TrackInfo_526	next_526	CanAcceptMenu_526	UncompleteMenu_526	CompleteMenu_526													
527		农夫		s960101	3					3																	title_527	context_527		complete_527	uncom_527	target_527	task_TrackInfo_527	next_527	CanAcceptMenu_527	UncompleteMenu_527	CompleteMenu_527													
528		猎户		s960101	3					3																	title_528	context_528		complete_528	uncom_528	target_528	task_TrackInfo_528	next_528	CanAcceptMenu_528	UncompleteMenu_528	CompleteMenu_528													
529		裁缝		s960101	3					3																	title_529	context_529		complete_529	uncom_529	target_529	task_TrackInfo_529	next_529	CanAcceptMenu_529	UncompleteMenu_529	CompleteMenu_529													
530		金匠		s960101	3					3																	title_530	context_530		complete_530	uncom_530	target_530	task_TrackInfo_530	next_530	CanAcceptMenu_530	UncompleteMenu_530	CompleteMenu_530													
531		药师		s960101	3					3																	title_531	context_531		complete_531	uncom_531	target_531	task_TrackInfo_531	next_531	CanAcceptMenu_531	UncompleteMenu_531	CompleteMenu_531													
532		毒师		s960101	3					3																	title_532	context_532		complete_532	uncom_532	target_532	task_TrackInfo_532	next_532	CanAcceptMenu_532	UncompleteMenu_532	CompleteMenu_532													
533		厨师		s960101	3					3																	title_533	context_533		complete_533	uncom_533	target_533	task_TrackInfo_533	next_533	CanAcceptMenu_533	UncompleteMenu_533	CompleteMenu_533													
