STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Title	Step	SearchID	Line	AcceptNpc	SubmitNpc	AcceptSceneID	SubmitSceneID	AutoAcceptID	AutoSubmit	PreTaskLimit	NextTaskLimit	AcceptLimit	SubmitLimit	SubFunction	TaskItemList	RefreshMonster	TimeLimitLength	TimeLimitLengthEx	SubmitNpcEx	TaskScript	TitleId	ContextId	AcceptDialogId	CompleteDialogId	UnCompleteDialogId	TaskTargetId	TrackInfoID	LineNextInfo	CanAcceptMenu	UncompleteMenu	CompleteMenu	AcceptMovie	SubmitMovie	DramaAccept	DramaSubmit	CanGiveup	ShareType	RepeatType	RepeatPeriod	CountDayLimit	DifficultCoefficient	DifficultLevel	ReputationLimit	AcceptArea	AcceptRepLimit	ConditionPrize	AcceptReputationLimit
83150	ÄîÂÞ°ÓÀæ»¨Õ¯		s820101	5	WorldNpc06245	WorldNpc06244	22	22					3174;3164									title_83150	context_83150	accept_83150_1;menu_83150_1	complete_83150		target_83150		next_83150	CanAcceptMenu_83150		CompleteMenu_83150					1	1	1	1	1				133			repute_jianghu|60418383
83151	ÄîÂÞ°ÓÀæ»¨Õ¯		s820101	5	WorldNpc06244	WorldNpc06244	22	22					3174;3164									title_83151	context_83151	accept_83151_1;menu_83151_1	complete_83151		target_83151		next_83151	CanAcceptMenu_83151		CompleteMenu_83151					1	0	1	1	1				133		10416&3706|100035|conditiontext_100035|0|conditiontips_0;10416&3705|100034|conditiontext_100034|14|conditiontips_14;10416&3704|100033|conditiontext_100033|17|conditiontips_17;10416&3702|100031|conditiontext_100031|17|conditiontips_17;10416&3701|100030|conditiontext_100030|13|conditiontips_13;10416&3700|100029|conditiontext_100029|1|conditiontips_1;10416&3699|100028|conditiontext_100028|0|conditiontips_0	repute_jianghu|60418383
83152	ÄîÂÞ°ÓÀæ»¨Õ¯		s820101	5	WorldNpc06248	WorldNpc06248	22	22					3174;3164									title_83152	context_83152	accept_83152_1;menu_83152_1	complete_83152		target_83152		next_83152	CanAcceptMenu_83152		CompleteMenu_83152					1	0	1	1	1				133		10416&3706|100035|conditiontext_100035|0|conditiontips_0;10416&3705|100034|conditiontext_100034|14|conditiontips_14;10416&3704|100033|conditiontext_100033|17|conditiontips_17;10416&3702|100031|conditiontext_100031|17|conditiontips_17;10416&3701|100030|conditiontext_100030|13|conditiontips_13;10416&3700|100029|conditiontext_100029|1|conditiontips_1;10416&3699|100028|conditiontext_100028|0|conditiontips_0	repute_jianghu|60418383
83153	ÄîÂÞ°ÓÀæ»¨Õ¯		s820101	5	WorldNpc06251	WorldNpc06251	22	22					3174;3164									title_83153	context_83153	accept_83153_1;menu_83153_1	complete_83153		target_83153		next_83153	CanAcceptMenu_83153		CompleteMenu_83153					1	0	1	1	1				133		10416&3706|100035|conditiontext_100035|0|conditiontips_0;10416&3705|100034|conditiontext_100034|14|conditiontips_14;10416&3704|100033|conditiontext_100033|17|conditiontips_17;10416&3702|100031|conditiontext_100031|17|conditiontips_17;10416&3701|100030|conditiontext_100030|13|conditiontips_13;10416&3700|100029|conditiontext_100029|1|conditiontips_1;10416&3699|100028|conditiontext_100028|0|conditiontips_0	repute_jianghu|60418383
83154	ÄîÂÞ°ÓÀæ»¨Õ¯		s820101	5	WorldNpc06249	WorldNpc06249	22	22					3174;3164									title_83154	context_83154	accept_83154_1;menu_83154_1	complete_83154		target_83154		next_83154	CanAcceptMenu_83154		CompleteMenu_83154					1	0	1	1	1				133		10416&3706|100035|conditiontext_100035|0|conditiontips_0;10416&3705|100034|conditiontext_100034|14|conditiontips_14;10416&3704|100033|conditiontext_100033|17|conditiontips_17;10416&3702|100031|conditiontext_100031|17|conditiontips_17;10416&3701|100030|conditiontext_100030|13|conditiontips_13;10416&3700|100029|conditiontext_100029|1|conditiontips_1;10416&3699|100028|conditiontext_100028|0|conditiontips_0	repute_jianghu|60418383
83155	ÄîÂÞ°ÓÀæ»¨Õ¯		s820101	5	WorldNpc06257	WorldNpc06257	22	22					3174;3164									title_83155	context_83155	accept_83155_1;menu_83155_1	complete_83155		target_83155		next_83155	CanAcceptMenu_83155		CompleteMenu_83155					1	0	1	1	1				133		10416&3706|100035|conditiontext_100035|0|conditiontips_0;10416&3705|100034|conditiontext_100034|14|conditiontips_14;10416&3704|100033|conditiontext_100033|17|conditiontips_17;10416&3702|100031|conditiontext_100031|17|conditiontips_17;10416&3701|100030|conditiontext_100030|13|conditiontips_13;10416&3700|100029|conditiontext_100029|1|conditiontips_1;10416&3699|100028|conditiontext_100028|0|conditiontips_0	repute_jianghu|60418383
83156	ÄîÂÞ°ÓÀæ»¨Õ¯		s820101	7	WorldNpc06253	WorldNpc06253	22	22					3174;3164;10416;3703									title_83156	context_83156	accept_83156_1;menu_83156_1	complete_83156		target_83156		next_83156	CanAcceptMenu_83156		CompleteMenu_83156					1	1	1	1	1				133			repute_jianghu|60418383
83157	ÄîÂÞ°ÓÀæ»¨Õ¯		s820101	7	WorldNpc06254	WorldNpc06254	22	22					3174;3164;10416;3704									title_83157	context_83157	accept_83157_1;menu_83157_1	complete_83157		target_83157		next_83157	CanAcceptMenu_83157		CompleteMenu_83157					1	1	1	1	1				133			repute_jianghu|60418383
83158	ÄîÂÞ°ÓÀæ»¨Õ¯		s820101	5	WorldNpc06246	WorldNpc06125	22	22					3174;3164									title_83158	context_83158	accept_83158_1;menu_83158_1	complete_83158		target_83158		next_83158	CanAcceptMenu_83158		CompleteMenu_83158					1	0	1	1	1				133		10416&3706|100035|conditiontext_100035|0|conditiontips_0;10416&3705|100034|conditiontext_100034|14|conditiontips_14;10416&3704|100033|conditiontext_100033|17|conditiontips_17;10416&3702|100031|conditiontext_100031|17|conditiontips_17;10416&3701|100030|conditiontext_100030|13|conditiontips_13;10416&3700|100029|conditiontext_100029|1|conditiontips_1;10416&3699|100028|conditiontext_100028|0|conditiontips_0	repute_jianghu|60418383
