STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Title	Step	SearchID	Line	AcceptNpc	SubmitNpc	AcceptSceneID	SubmitSceneID	AutoAcceptID	AutoSubmit	PreTaskLimit	NextTaskLimit	AcceptLimit	SubmitLimit	SubFunction	TaskItemList	TimeLimitLength	SubmitNpcEx	TaskScript	TitleId	ContextId	AcceptDialogId	CompleteDialogId	UnCompleteDialogId	TaskTargetId	TrackInfoID	LineNextInfo	CanAcceptMenu	UncompleteMenu	CompleteMenu	AcceptMovie	SubmitMovie	DramaAccept	DramaSubmit	CanGiveup	ShareType	RepeatType	RepeatPeriod	CountDayLimit	NeedVip	TimeLimitLenghtEx	Plot	NotShowMenu	Relation	LuckValue	AcceptDecMoney	ReputationLimit	AcceptReputationLimit	TiaozhanTime	ActionID
45501			s1410101	10		WorldNpc00202	12	12				45502	25624;103122;102098;17377;103357;105904;105997;105998;114336;28696;28697					SubmitNpcEx_45501		title_45501	context_45501	accept_45501_1;menu_45501_1	complete_45501;submit_45501		target_45501		next_45501	CanAcceptMenu_45501		CompleteMenu_45501					1	0	2	1	999			105								
45502			s1410101	10	WorldNpc00202	WorldNpc00212	12	12			45501	45503	25624					SubmitNpcEx_45502		title_45502	context_45502	accept_45502_1;menu_45502_1	complete_45502;submit_45502		target_45502		next_45502	CanAcceptMenu_45502		CompleteMenu_45502					1	0	0	0	0			105								
45503			s1410101	10	WorldNpc00212	WorldNpc00212	12	12			45502		25624					SubmitNpcEx_45503		title_45503	context_45503	accept_45503_1;menu_45503_1	complete_45503;submit_45503		target_45503		next_45503	CanAcceptMenu_45503		CompleteMenu_45503					1	0	0	0	0			105								
45538			s1410101	10	sl182	WorldNpc00212	12	12	1151				102748;1410;102752;659;26183;105904;19697;109803			4519		SubmitNpcEx_45538		title_45538	context_45538	accept_45538_1;menu_45538_1	complete_45538;submit_45538		target_45538		next_45538	CanAcceptMenu_45538		CompleteMenu_45538					1	0	2	1	999											
45551			s1410101	10	WorldNpc00212	WorldNpc00212	11	11					25624;103122;102098;17377;103357;105904;105997;105998;114307;28696							title_45551	context_45551	accept_45551_1;menu_45551_1	complete_45551;submit_45551		target_45551		next_45551	CanAcceptMenu_45551		CompleteMenu_45551					1	0	1	0	0											
45504			s1410102	10		WorldNpc02626	10	10				45505	25626;103123;102098;17377;103357;105904;105997;105998;114337;28696;28697					SubmitNpcEx_45504		title_45504	context_45504	accept_45504_1;menu_45504_1	complete_45504;submit_45504		target_45504		next_45504	CanAcceptMenu_45504		CompleteMenu_45504					1	0	2	1	999			106								
45505			s1410102	10	WorldNpc02626	WorldNpc02604	10	10			45504	45506	25626					SubmitNpcEx_45505		title_45505	context_45505	accept_45505_1;menu_45505_1	complete_45505;submit_45505		target_45505		next_45505	CanAcceptMenu_45505		CompleteMenu_45505					1	0	0	0	0			106								
45506			s1410102	10	WorldNpc02604	WorldNpc02604	10	10			45505		25626					SubmitNpcEx_45506		title_45506	context_45506	accept_45506_1;menu_45506_1	complete_45506;submit_45506		target_45506		next_45506	CanAcceptMenu_45506		CompleteMenu_45506					1	0	0	0	0			106								
45539			s1410102	10	em909	WorldNpc02604	10	10	1153				102748;1410;102752;660;26184;105904;109803			4520		SubmitNpcEx_45539		title_45539	context_45539	accept_45539_1;menu_45539_1	complete_45539;submit_45539		target_45539		next_45539	CanAcceptMenu_45539		CompleteMenu_45539					1	0	2	1	999											
45552			s1410102	10	WorldNpc02604	WorldNpc02604							25626;103123;102098;17377;103357;105904;105997;105998;114308;28696							title_45552	context_45552	accept_45552_1;menu_45552_1	complete_45552;submit_45552		target_45552		next_45552	CanAcceptMenu_45552		CompleteMenu_45552					1	0	1	0	0											
45507			s1410103	10		WorldNpc04880	11	11				45508	25625;103124;102098;17377;103357;105904;105997;105998;114335;28696;28697					SubmitNpcEx_45507		title_45507	context_45507	accept_45507_1;menu_45507_1	complete_45507;submit_45507		target_45507		next_45507	CanAcceptMenu_45507		CompleteMenu_45507					1	0	2	1	999			107								
