STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Plot	Title	Step	SearchID	Line	AcceptNpc	SubmitNpc	SceneID	AcceptSceneID	SubmitSceneID	AutoAcceptID	AutoSubmit	PreTaskLimit	NextTaskLimit	NotShowMenu	Relation	LuckValue	AcceptLimit	SubmitLimit	AcceptDecMoney	SubFunction	TaskItemList	RefreshMonster	TimeLimitLength	SubmitNpcEx	TaskScript	TitleId	ContextId	AcceptDialogId	CompleteDialogId	UnCompleteDialogId	TaskTargetId	TrackInfoID	LineNextInfo	CanAcceptMenu	UncompleteMenu	CompleteMenu	AcceptMovie	SubmitMovie	DramaAccept	DramaSubmit	CanGiveup	ShareType	RepeatType	RepeatPeriod	CountDayLimit	DifficultCoefficient	DifficultLevel	ReputationLimit	AcceptReputationLimit	IsClose
40		千灯入门		s990101	9		Transbron04A		1	1			27502		2										SubmitNpcEx_40		title_40	context_40	accept_40_1;menu_40_1	complete_40;submit_40	uncom_40	target_40	task_TrackInfo_40	next_40	CanAcceptMenu_40	UncompleteMenu_40	CompleteMenu_40					0	0	0							
41		拜入少林		s990101	10	WorldNpc00212	WorldNpc00212		12	12	1151		51	1151				659;738;1410;20033;20034;104641;103014;103016;103018;26393;109803							SubmitNpcEx_41		title_41	context_41	context_41;menu_41	complete_41	uncom_41	target_41	task_TrackInfo_41	next_41	CanAcceptMenu_41	UncompleteMenu_41	CompleteMenu_41					0	0	1	1	10					
42		拜入武当		s990101	10	WorldNpc04401	WorldNpc04401		11	11	1152		52	1152				738;1410;20033;20034;104641;103014;103016;103018;26393;109803									title_42	context_42	context_42;menu_42	complete_42	uncom_42	target_42	task_TrackInfo_42	next_42	CanAcceptMenu_42	UncompleteMenu_42	CompleteMenu_42					0	1	0							
43		拜入峨眉		s990101	10	WorldNpc02604	WorldNpc02604		10	10	1153		53	1153				660;738;1410;20033;20034;104641;103014;103016;103018;26393;109803				42900			SubmitNpcEx_43		title_43	context_43	accept_43_1;menu_43_1	complete_43;submit_43	uncom_43	target_43	task_TrackInfo_43	next_43	CanAcceptMenu_43	UncompleteMenu_43	CompleteMenu_43					0	1	0							
44		拜入丐帮		s990101	10	WorldNpc03003	WorldNpc03003		6	6	1154		54	1154				738;1410;20033;20034;104641;103014;103016;103018;26393;109803									title_44	context_44	accept_44_1;menu_44_1	complete_44;submit_44	uncom_44	target_44	task_TrackInfo_44	next_44	CanAcceptMenu_44	UncompleteMenu_44	CompleteMenu_44					0	0	1	1	10					
45		拜入君子堂		s990101	10	WorldNpc03305	WorldNpc03305		7	7	1158		55	1158				738;1410;20033;20034;104641;103014;103016;103018;26393;109803									title_45	context_45	accept_45_1;menu_45_1	complete_45;submit_45	uncom_45	target_45	task_TrackInfo_45	next_45	CanAcceptMenu_45	UncompleteMenu_45	CompleteMenu_45					0	0	1	1	10					
46		拜入唐门		s990101	10	WorldNpc02201	WorldNpc02201		9	9	1155		56	1155				738;1410;20033;20034;104641;103014;103016;103018;26393;109803									title_46	context_46	accept_46_1;menu_46_1	complete_46;submit_46	uncom_46	target_46	task_TrackInfo_46	next_46	CanAcceptMenu_46	UncompleteMenu_46	CompleteMenu_46					0	1	0							
47		拜入极乐谷		s990101	10	WorldNpc03816	WorldNpc03816		8	8	1157		57	1157				738;1410;20033;20034;104641;103014;103016;103018;26393;109803									title_47	context_47	accept_47_1;menu_47_1	complete_47;submit_47	uncom_47	target_47	task_TrackInfo_47	next_47	CanAcceptMenu_47	UncompleteMenu_47	CompleteMenu_47					0	1	0							
48		拜入锦衣卫		s990101	10	worldnpc04101	worldnpc04101		5	5	1156		58	1156		1		738;1410;20033;20034;104641;103014;103016;103018;26393;109803									title_48	context_48	accept_48_1;menu_48_1	complete_48;submit_48	uncom_48	target_48	task_TrackInfo_48	next_48	CanAcceptMenu_48	UncompleteMenu_48	CompleteMenu_48					0	1	0							
