STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Title	Step	SearchID	Line	AcceptNpc	SubmitNpc	AcceptSceneID	SubmitSceneID	AutoAcceptID	AutoSubmit	PreTaskLimit	NextTaskLimit	AcceptLimit	SubmitLimit	SubFunction	TaskItemList	TimeLimitLength	SubmitNpcEx	TaskScript	TitleId	ContextId	AcceptDialogId	CompleteDialogId	UnCompleteDialogId	TaskTargetId	TrackInfoID	LineNextInfo	CanAcceptMenu	UncompleteMenu	CompleteMenu	AcceptMovie	SubmitMovie	DramaAccept	DramaSubmit	CanGiveup	ShareType	RepeatType	RepeatPeriod	CountDayLimit	NeedVip	TimeLimitLenghtEx	Plot	NotShowMenu	Relation	LuckValue	AcceptDecMoney	ReputationLimit	AcceptReputationLimit	TiaozhanTime	ActionID	AcceptBuffer	RoundID	FastCompleteMoney	FastCompletePrize
70001			s1530101	5	hd_qm_005	hd_qm_005			70002	1		70002	27948			60001				title_60001	context_60001	accept_60001_1;menu_60001_1	complete_60001;submit_60001		target_60001		next_60001	CanAcceptMenu_60001		CompleteMenu_60001					0	0	1	1	1			141												
70002			s1530101	5	hd_qm_005	hd_qm_005					70001							SubmitNpcEx_60002		title_60002	context_60002		complete_60002;submit_60002		target_60002		next_60002			CompleteMenu_60002					0	0	0	0	0			141												
70003			s1530101	5	hd_qm_005	hd_qm_005	15	15	70004	1		70004	27949			60002				title_60003	context_60003	accept_60003_1;menu_60003_1	complete_60003;submit_60003		target_60003		next_60003	CanAcceptMenu_60003		CompleteMenu_60003					0	0	1	1	1			142												
70004			s1530101	5	hd_qm_005	hd_qm_005	15	15			70003							SubmitNpcEx_60004		title_60004	context_60004		complete_60004;submit_60004		target_60004		next_60004			CompleteMenu_60004					0	0	0	0	0			142												
70005			s1530101	5	hd_qm_005	hd_qm_005	15	15	70006	1		70006	27950			60003				title_60005	context_60005	accept_60005_1;menu_60005_1	complete_60005;submit_60005		target_60005		next_60005	CanAcceptMenu_60005		CompleteMenu_60005					0	0	1	1	1			143												
70006			s1530101	5	hd_qm_005	hd_qm_005	15	15			70005							SubmitNpcEx_60006		title_60006	context_60006		complete_60006;submit_60006		target_60006		next_60006			CompleteMenu_60006					0	0	0	0	0			143												
70007			s1530101	5	hd_qm_005	hd_qm_005	15	15	70008	1		70008	27951			60004				title_60007	context_60007	accept_60007_1;menu_60007_1	complete_60007;submit_60007		target_60007		next_60007	CanAcceptMenu_60007		CompleteMenu_60007					0	0	1	1	1			144												
70008			s1530101	5	hd_qm_005	hd_qm_005	15	15			70007							SubmitNpcEx_60008		title_60008	context_60008		complete_60008;submit_60008		target_60008		next_60008			CompleteMenu_60008					0	0	0	0	0			144												
70009			s1530101	5	hd_qm_005	hd_qm_005	15	15	70010	1		70010	27952			60005				title_60009	context_60009	accept_60009_1;menu_60009_1	complete_60009;submit_60009		target_60009		next_60009	CanAcceptMenu_60009		CompleteMenu_60009					0	0	1	1	1			145												
70010			s1530101	5	hd_qm_005	hd_qm_005	15	15			70009							SubmitNpcEx_60010		title_60010	context_60010		complete_60010;submit_60010		target_60010		next_60010			CompleteMenu_60010					0	0	0	0	0			145												
70011			s1530101	5	hd_qm_005	hd_qm_005	15	15	70012	1		70012	27953			60006				title_60011	context_60011	accept_60011_1;menu_60011_1	complete_60011;submit_60011		target_60011		next_60011	CanAcceptMenu_60011		CompleteMenu_60011					0	0	1	1	1			146												
70012			s1530101	5	hd_qm_005	hd_qm_005	15	15			70011							SubmitNpcEx_60012		title_60012	context_60012		complete_60012;submit_60012		target_60012		next_60012			CompleteMenu_60012					0	0	0	0	0			146												
70013			s1530101	14	dhpvp_register_002	dhpvp_register_002	603	603					112342					SubmitNpcEx_70013		title_70013	context_70013				target_70013		next_70013								0	0	1	1	1															
70015			s1530101	5		newworld_pld211		604					112196	112196				SubmitNpcEx_70015		title_70015	context_70015	accept_70015_1;menu_70015_1	complete_70015;submit_70015		target_70015		next_70015	CanAcceptMenu_70015		CompleteMenu_70015					0	0	0	0	0															
