STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Plot	Title	Step	SearchID	Line	AcceptNpc	SubmitNpc	SceneID	AcceptSceneID	SubmitSceneID	AutoAcceptID	AutoSubmit	PreTaskLimit	NextTaskLimit	NotShowMenu	Relation	LuckValue	AcceptLimit	SubmitLimit	AcceptDecMoney	SubFunction	TaskItemList	RefreshMonster	TimeLimitLength	SubmitNpcEx	TaskScript	TitleId	ContextId	AcceptDialogId	CompleteDialogId	UnCompleteDialogId	TaskTargetId	TrackInfoID	LineNextInfo	CanAcceptMenu	UncompleteMenu	CompleteMenu	AcceptMovie	SubmitMovie	DramaAccept	DramaSubmit	CanGiveup	ShareType	RepeatType	RepeatPeriod	CountDayLimit	AcceptAniMovie	SubmitAniMovie	AcceptBuffer	DifficultCoefficient	DifficultLevel
11901				s480101	8							1															title_11901	context_11901	context_11901;menu_11901|target_11901;task_menu_accept_11901	complete_3100;submit_11901		target_11901	task_TrackInfo_11901				CompleteMenu_11901					1	0	0							
11902				s480101	8					14		1															title_11902	context_11902	context_11902;menu_11902|target_11902;task_menu_accept_11902			target_11902	task_TrackInfo_11902	next_11902								1	0	0							
11903				s480101	8					14		1															title_11903	context_11903	context_11903;menu_11903|target_11903;task_menu_accept_11903			target_11903	task_TrackInfo_11903	next_11903								1	0	0							
11904				s480101	8		WorldNpc01194			14																	title_11904	context_11904	context_11904;menu_11904|target_11904;task_menu_accept_11904	complete_11904;submit_11904		target_11904	task_TrackInfo_11904				CompleteMenu_11904					1	0	0							
11905				s480101	8							1															title_11905	context_11905	context_11905;menu_11905|target_11905;task_menu_accept_11905			target_11905	task_TrackInfo_11905									1	0	0							
11906				s480101	8							1															title_11906	context_11906	context_11906;menu_11906|target_11906;task_menu_accept_11906			target_11906	task_TrackInfo_11906									1	0	0							
11907				s480101	8							1															title_11907	context_11907	context_11907;menu_11907|target_11907;task_menu_accept_11907			target_11907	task_TrackInfo_11907									1	0	0							
11908				s480101	8							1										19001					title_11908	context_11908	context_11908;menu_11908|target_11908;task_menu_accept_11908	complete_11908;submit_11908		target_11908	task_TrackInfo_11908		CanAcceptMenu_11908							1	0	2	1						
11909				s480101	8																						title_11909	context_11909	context_11909;menu_11909|target_11909;task_menu_accept_11909	complete_11909	uncom_11909	target_11909	task_TrackInfo_11909	next_11909	CanAcceptMenu_11909	UncompleteMenu_11909	CompleteMenu_11909					1	0	0							
11910				s480101	8							1															title_11910	context_11910	context_11909;menu_11909|target_11909;task_menu_accept_11910	complete_11910	uncom_11910	target_11910	task_TrackInfo_11910	next_11910	CanAcceptMenu_11910	UncompleteMenu_11910	CompleteMenu_11910					1	0	0							
11911				s480101	8							1															title_11911	context_11911	context_11909;menu_11909|target_11909;task_menu_accept_11911	complete_11911	uncom_11911	target_11911	task_TrackInfo_11911	next_11911	CanAcceptMenu_11911	UncompleteMenu_11911	CompleteMenu_11911					1	0	0							
11912				s480101	8		WorldNpc01222																				title_11912	context_11912	context_11912;menu_11912|target_11912;task_menu_accept_11912	complete_11912	uncom_11912	target_11912	task_TrackInfo_11912	next_11912	CanAcceptMenu_11912	UncompleteMenu_11912	CompleteMenu_11912					1	0	0							
11913				s480101	8		FuncNpc00615			17																	title_11913	context_11913	context_11913;menu_11913|target_11913;task_menu_accept_11913	complete_11913	uncom_11913	target_11913	task_TrackInfo_11913	next_11913	CanAcceptMenu_11913	UncompleteMenu_11913	CompleteMenu_11913					1	0	2	1						
11914				s480101	8																						title_11914	context_11914	context_11909;menu_11909|target_11909;task_menu_accept_11914	complete_11914	uncom_11914	target_11914	task_TrackInfo_11914	next_11914	CanAcceptMenu_11914	UncompleteMenu_11914	CompleteMenu_11914					1	0	0							
