STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Plot	Title	Step	SearchID	Line	AcceptNpc	SubmitNpc	SceneID	AcceptSceneID	SubmitSceneID	AutoAcceptID	AutoSubmit	PreTaskLimit	NextTaskLimit	NotShowMenu	Relation	LuckValue	AcceptLimit	SubmitLimit	AcceptDecMoney	SubFunction	TaskItemList	RefreshMonster	TimeLimitLength	SubmitNpcEx	TaskScript	TitleId	ContextId	AcceptDialogId	CompleteDialogId	UnCompleteDialogId	TaskTargetId	TrackInfoID	LineNextInfo	CanAcceptMenu	UncompleteMenu	CompleteMenu	AcceptMovie	SubmitMovie	DramaAccept	DramaSubmit	CanGiveup	ShareType	RepeatType	RepeatPeriod	CountDayLimit	DifficultCoefficient	DifficultLevel
14001			¡¾1/2¡¿	s510101	8		World_qy_chengdu001			17				14003											SubmitNpcEx_14001		title_14001	context_14001	accept_14001_1;menu_14001_1	complete_14001;submit_14001		target_14001		next_14001	CanAcceptMenu_14001		CompleteMenu_14001					1	0	2		9999		
14002			¡¾1/2¡¿	s510101	8		World_qy_chengdu001			17				14003											SubmitNpcEx_14002		title_14002	context_14002	accept_14002_1;menu_14002_1	complete_14002;submit_14002		target_14002		next_14002	CanAcceptMenu_14002		CompleteMenu_14002					1	0	2		9999		
14003			¡¾2/2¡¿	s510101	8	World_qy_chengdu001	World_qy_chengdu001		17	17			14001;14002									20000			SubmitNpcEx_14003		title_14003	context_14003	accept_14003_1;menu_14003_1	complete_14003;submit_14003		target_14003		next_14003	CanAcceptMenu_14003		CompleteMenu_14003					1	0	2		9999		
14101				s510101	2		worldnpc04101			5								23633							SubmitNpcEx_17408		title_17408	context_17408	accept_17408_1;menu_17408_1	complete_17408;submit_17408		target_17408		next_17408	CanAcceptMenu_17408		CompleteMenu_17408					1	0	0				
14102				s510101	2		WorldNpc04104			5								23633							SubmitNpcEx_17409		title_17409	context_17409	accept_17409_1;menu_17409_1	complete_17409;submit_17409		target_17409		next_17409	CanAcceptMenu_17409		CompleteMenu_17409					1	0	0				
14103				s510101	2		WorldNpc04102			5								23633							SubmitNpcEx_17410		title_17410	context_17410	accept_17410_1;menu_17410_1	complete_17410;submit_17410		target_17410		next_17410	CanAcceptMenu_17410		CompleteMenu_17410					1	0	0				
14104				s510101	2		WorldNpc04105			5								23633							SubmitNpcEx_17411		title_17411	context_17411	accept_17411_1;menu_17411_1	complete_17411;submit_17411		target_17411		next_17411	CanAcceptMenu_17411		CompleteMenu_17411					1	0	0				
14105				s510101	2		WorldNpc04103			5								23633							SubmitNpcEx_17418		title_17418	context_17418	accept_17418_1;menu_17418_1	complete_17418;submit_17418		target_17418		next_17418	CanAcceptMenu_17418		CompleteMenu_17418					1	0	0				
14106				s510101	2		WorldNpc04208			5								23633							SubmitNpcEx_17419		title_17419	context_17419	accept_17419_1;menu_17419_1	complete_17419;submit_17419		target_17419		next_17419	CanAcceptMenu_17419		CompleteMenu_17419					1	0	0				
