STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Title	Step	SearchID	Line	AcceptNpc	SubmitNpc	AcceptSceneID	SubmitSceneID	AutoAcceptID	AutoSubmit	PreTaskLimit	NextTaskLimit	ReputationLimit	AcceptLimit	SubmitLimit	SubFunction	TaskItemList	RefreshMonster	TimeLimitLength	SubmitNpcEx	TaskScript	TitleId	ContextId	AcceptDialogId	CompleteDialogId	UnCompleteDialogId	TaskTargetId	TrackInfoID	LineNextInfo	CanAcceptMenu	UncompleteMenu	CompleteMenu	AcceptMovie	SubmitMovie	DramaAccept	DramaSubmit	CanGiveup	ShareType	RepeatType	RepeatPeriod	CountDayLimit	DifficultCoefficient	DifficultLevel	ReputationLimit	AcceptReputationLimit	TiaozhanTime
48001	为情所困		s120101	4	WorldNpc03816	JlgNpc192	8	8			1560	48002		11580;1274						SubmitNpcEx_48001		title_48001	context_48001	accept_48001_1;menu_48001_1	complete_48001;submit_48001	uncom_48001	target_48001	task_TrackInfo_48001	next_48001	CanAcceptMenu_48001	UncompleteMenu_48001	CompleteMenu_48001			jlg01_1		0	1	0	0	0					
48002	为情所困		s120101	4	JlgNpc192	WorldNpc03826	8	8			48001	48003		1274			7092			SubmitNpcEx_48002		title_48002	context_48002	accept_48002_1;menu_48002_1	complete_48002;submit_48002	uncom_48002	target_48002	task_TrackInfo_48002	next_48002	CanAcceptMenu_48002	UncompleteMenu_48002	CompleteMenu_48002					0	1	0	0	0					
48003	为情所困		s120101	4	WorldNpc03826	WorldNpc03820	8	8			48002	48004		1274						SubmitNpcEx_48003		title_48003	context_48003	accept_48003_1;menu_48003_1	complete_48003;submit_48003	uncom_48003	target_48003	task_TrackInfo_48003	next_48003	CanAcceptMenu_48003	UncompleteMenu_48003	CompleteMenu_48003					0	1	0	0	0					
48004	为情所困		s120101	4	WorldNpc03820	WorldNpc03820	8	8			48003	48005		1274						SubmitNpcEx_48004		title_48004	context_48004	accept_48004_1;menu_48004_1	complete_48004;submit_48004	uncom_48004	target_48004	task_TrackInfo_48004	next_48004	CanAcceptMenu_48004	UncompleteMenu_48004	CompleteMenu_48004					0	1	0	0	0					
48005	为情所困		s120101	4	WorldNpc03820	WorldNpc03820	8	8			48004	48006		1274						SubmitNpcEx_48005		title_48005	context_48005	accept_48005_1;menu_48005_1	complete_48005;submit_48005|complete_48005_1;submit_48005_1	uncom_48005	target_48005	task_TrackInfo_48005	next_48005	CanAcceptMenu_48005	UncompleteMenu_48005	CompleteMenu_48005					0	1	0	0	0					
48006	为情所困		s120101	4	WorldNpc03820	WorldNpc04524	8	8			48005	48007		1274						SubmitNpcEx_48006		title_48006	context_48006	accept_48006_1;menu_48006_1	complete_48006;submit_48006	uncom_48006	target_48006	task_TrackInfo_48006	next_48006	CanAcceptMenu_48006	UncompleteMenu_48006	CompleteMenu_48006					0	1	0	0	0					
48007	为情所困		s120101	4	WorldNpc04524	WorldNpc03820	8	8			48006	48008		1274						SubmitNpcEx_48007		title_48007	context_48007	accept_48007_1;menu_48007_1	complete_48007;submit_48007	uncom_48007	target_48007	task_TrackInfo_48007	next_48007	CanAcceptMenu_48007	UncompleteMenu_48007	CompleteMenu_48007					0	1	0	0	0					
48008	仇火点燃		s120102	4	WorldNpc03820	WorldNpc03826	8	8			48007	48010		1274			7002;7093			SubmitNpcEx_48008		title_48008	context_48008	accept_48008_1;menu_48008_1	complete_48008;submit_48008	uncom_48008	target_48008	task_TrackInfo_48008	next_48008	CanAcceptMenu_48008	UncompleteMenu_48008	CompleteMenu_48008			jlg01_21		0	1	0	0	0					
48010	仇火点燃		s120102	4	WorldNpc03826	WorldNpc03810	8	8			48008	48011		1274						SubmitNpcEx_48010		title_48010	context_48010	accept_48010_1;menu_48010_1	complete_48010;submit_48010	uncom_48010	target_48010	task_TrackInfo_48010	next_48010	CanAcceptMenu_48010	UncompleteMenu_48010	CompleteMenu_48010					0	1	0	0	0					
