STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Title	Step	SearchID	Line	AcceptNpc	SubmitNpc	AcceptSceneID	SubmitSceneID	AutoAcceptID	AutoSubmit	PreTaskLimit	NextTaskLimit	AcceptLimit	SubmitLimit	SubFunction	TaskItemList	RefreshMonster	TimeLimitLength	SubmitNpcEx	TaskScript	TitleId	ContextId	AcceptDialogId	CompleteDialogId	UnCompleteDialogId	TaskTargetId	TrackInfoID	LineNextInfo	CanAcceptMenu	UncompleteMenu	CompleteMenu	AcceptMovie	SubmitMovie	DramaAccept	DramaSubmit	CanGiveup	ShareType	RepeatType	RepeatPeriod	CountDayLimit	DifficultCoefficient	DifficultLevel	AcceptBuffer
52001			s970101	10	worldnpc04101	worldnpc04101	5	5					23639			43200					title_52001	context_52001	accept_52001_1;menu_52001_1	complete_52001;submit_52001		target_52001		next_52001	CanAcceptMenu_52001		CompleteMenu_52001					0	0	3	1	1			
52002			s970101	10	WorldNpc03003	WorldNpc03003	6	6					23640			43201					title_52002	context_52002	accept_52002_1;menu_52002_1	complete_52002;submit_52002		target_52002		next_52002	CanAcceptMenu_52002		CompleteMenu_52002					0	0	3	1	1			
52003			s970101	10	WorldNpc03305	WorldNpc03305	7	7					23641			43202					title_52003	context_52003	accept_52003_1;menu_52003_1	complete_52003;submit_52003		target_52003		next_52003	CanAcceptMenu_52003		CompleteMenu_52003					0	0	3	1	1			
52004			s970101	10	WorldNpc03816	WorldNpc03816	8	8					23642			43203					title_52004	context_52004	accept_52004_1;menu_52004_1	complete_52004;submit_52004		target_52004		next_52004	CanAcceptMenu_52004		CompleteMenu_52004					0	0	3	1	1			
52005			s970101	10	WorldNpc02203	WorldNpc02203	9	9					23643			43204					title_52005	context_52005	accept_52005_1;menu_52005_1	complete_52005;submit_52005		target_52005		next_52005	CanAcceptMenu_52005		CompleteMenu_52005					0	0	3	1	1			
52006			s970101	10	WorldNpc02604	WorldNpc02604	10	10					23644			43205					title_52006	context_52006	accept_52006_1;menu_52006_1	complete_52006;submit_52006		target_52006		next_52006	CanAcceptMenu_52006		CompleteMenu_52006					0	0	3	1	1			
52007			s970101	10	WorldNpc04401	WorldNpc04401	11	11					23645			43206					title_52007	context_52007	accept_52007_1;menu_52007_1	complete_52007;submit_52007		target_52007		next_52007	CanAcceptMenu_52007		CompleteMenu_52007					0	0	3	1	1			
52008			s970101	10	WorldNpc00212	WorldNpc00212	12	12					23646			43207					title_52008	context_52008	accept_52008_1;menu_52008_1	complete_52008;submit_52008		target_52008		next_52008	CanAcceptMenu_52008		CompleteMenu_52008					0	0	3	1	1			
52009			s970101	10	SchoolNpc000101	SchoolNpc000101	2	2					24842			43208					title_52009	context_52009	accept_52009_1;menu_52009_1	complete_52009;submit_52009		target_52009		next_52009	CanAcceptMenu_52009		CompleteMenu_52009					0	0	3	1	1			
52011			s970101	10	offline_xunluo_jyw	offline_xunluo_jyw	5	5					24885								title_52011	context_52011	accept_52011_1;menu_52011_1	complete_52011;submit_52011		target_52011			CanAcceptMenu_52011		CompleteMenu_52011					0	0	1	1	1			
52012			s970101	10	offline_xunluo_gb	offline_xunluo_gb	6	6					24886								title_52012	context_52012	accept_52012_1;menu_52012_1	complete_52012;submit_52012		target_52012			CanAcceptMenu_52012		CompleteMenu_52012					0	0	1	1	1			
52013			s970101	10	offline_xunluo_jzt	offline_xunluo_jzt	7	7					24887								title_52013	context_52013	accept_52013_1;menu_52013_1	complete_52013;submit_52013		target_52013			CanAcceptMenu_52013		CompleteMenu_52013					0	0	1	1	1			
52014			s970101	10	offline_xunluo_jlg	offline_xunluo_jlg	8	8					24888								title_52014	context_52014	accept_52014_1;menu_52014_1	complete_52014;submit_52014		target_52014			CanAcceptMenu_52014		CompleteMenu_52014					0	0	1	1	1			
52015			s970101	10	offline_xunluo_tm	offline_xunluo_tm	9	9					24889								title_52015	context_52015	accept_52015_1;menu_52015_1	complete_52015;submit_52015		target_52015			CanAcceptMenu_52015		CompleteMenu_52015					0	0	1	1	1			
52016			s970101	10	offline_xunluo_em	offline_xunluo_em	10	10					24890								title_52016	context_52016	accept_52016_1;menu_52016_1	complete_52016;submit_52016		target_52016			CanAcceptMenu_52016		CompleteMenu_52016					0	0	1	1	1			
52017			s970101	10	offline_xunluo_wd	offline_xunluo_wd	11	11					24891								title_52017	context_52017	accept_52017_1;menu_52017_1	complete_52017;submit_52017		target_52017			CanAcceptMenu_52017		CompleteMenu_52017					0	0	1	1	1			
52018			s970101	10	offline_xunluo_sl	offline_xunluo_sl	12	12					24892								title_52018	context_52018	accept_52018_1;menu_52018_1	complete_52018;submit_52018		target_52018			CanAcceptMenu_52018		CompleteMenu_52018					0	0	1	1	1			
52021			s970101	10	offline_jyw	offline_xunluo_jyw	5	5					19194								title_52021	context_52021	accept_52021_1;menu_52021_1	complete_52021;submit_52021		target_52021		next_52021	CanAcceptMenu_52021							1	0	1	1	4			
52022			s970101	10	offline_gb	offline_xunluo_gb	6	6					19182								title_52022	context_52022	accept_52022_1;menu_52022_1	complete_52022;submit_52022		target_52022		next_52022	CanAcceptMenu_52022							1	0	1	1	4			
52023			s970101	10	offline_jzt	offline_xunluo_jzt	7	7					19183								title_52023	context_52023	accept_52023_1;menu_52023_1	complete_52023;submit_52023		target_52023		next_52023	CanAcceptMenu_52023							1	0	1	1	4			
52024			s970101	10	offline_jlg	offline_xunluo_jlg	8	8					19184								title_52024	context_52024	accept_52024_1;menu_52024_1	complete_52024;submit_52024		target_52024		next_52024	CanAcceptMenu_52024							1	0	1	1	4			
52025			s970101	10	offline_tm	offline_xunluo_tm	9	9					19185								title_52025	context_52025	accept_52025_1;menu_52025_1	complete_52025;submit_52025		target_52025		next_52025	CanAcceptMenu_52025							1	0	1	1	4			
52026			s970101	10	offline_em	offline_xunluo_em	10	10					19186								title_52026	context_52026	accept_52026_1;menu_52026_1	complete_52026;submit_52026		target_52026		next_52026	CanAcceptMenu_52026							1	0	1	1	4			
52027			s970101	10	offline_wd	offline_xunluo_wd	11	11					19187								title_52027	context_52027	accept_52027_1;menu_52027_1	complete_52027;submit_52027		target_52027		next_52027	CanAcceptMenu_52027							1	0	1	1	4			
52028			s970101	10	offline_sl	offline_xunluo_sl	12	12					19188								title_52028	context_52028	accept_52028_1;menu_52028_1	complete_52028;submit_52028		target_52028		next_52028	CanAcceptMenu_52028							1	0	1	1	4			
52030			s970101	12	WorldNpc09970	WorldNpc09970	17	17					26518			43209					title_52030	context_52030	accept_52030_1;menu_52030_1	complete_52030;submit_52030		target_52030		next_52030	CanAcceptMenu_52030		CompleteMenu_52030					0	0	3	1	1			
52031			s970101	12	WorldNpc09796	WorldNpc09796	17	17					26516			43210					title_52031	context_52031	accept_52031_1;menu_52031_1	complete_52031;submit_52031		target_52031		next_52031	CanAcceptMenu_52031		CompleteMenu_52031					0	0	3	1	1			
52032			s970101	12	WorldNpc03041	WorldNpc03041	6	6					26517			43211					title_52032	context_52032	accept_52032_1;menu_52032_1	complete_52032;submit_52032		target_52032		next_52032	CanAcceptMenu_52032		CompleteMenu_52032					0	0	3	1	1			
52033			s970101	12	yhg_001	yhg_001	281	281					26514			43212					title_52033	context_52033	accept_52033_1;menu_52033_1	complete_52033;submit_52033		target_52033		next_52033	CanAcceptMenu_52033		CompleteMenu_52033					0	0	3	1	1			
52034			s970101	12	thd_001	thd_001	286	286					26515			43213					title_52034	context_52034	accept_52034_1;menu_52034_1	complete_52034;submit_52034		target_52034		next_52034	CanAcceptMenu_52034		CompleteMenu_52034					0	0	3	1	1			
52035			s970101	12	wgm_001	wgm_001	296	296					26519			43214					title_52035	context_52035	accept_52035_1;menu_52035_1	complete_52035;submit_52035		target_52035		next_52035	CanAcceptMenu_52035		CompleteMenu_52035					0	0	3	1	1			
52040			s970101	5			14	14					27076								title_52040	context_52040	accept_52040_1;menu_52040_1	complete_52040;submit_52040		target_52040		next_52040	CanAcceptMenu_52040		CompleteMenu_52040					1	0	0					
52041			s970101	5	clonenpc_snailphone_task_02	clonenpc_snailphone_task_02	14	14					108992	108992							title_52041	context_52041	accept_52041_1;menu_52041_1	complete_52041;submit_52041		target_52041		next_52041	CanAcceptMenu_52041		CompleteMenu_52041					1	0	1	1	1			
52042			s970101	5			14	14					27078								title_52042	context_52042	accept_52042_1;menu_52042_1	complete_52042;submit_52042		target_52042		next_52042	CanAcceptMenu_52042		CompleteMenu_52042					0	0	0					
52043			s970101	5			14	14					27079								title_52043	context_52043	accept_52043_1;menu_52043_1	complete_52043;submit_52043		target_52043		next_52043	CanAcceptMenu_52043		CompleteMenu_52043					0	0	0					
52044			s970101	5			14	14					27080								title_52044	context_52044	accept_52044_1;menu_52044_1	complete_52044;submit_52044		target_52044		next_52044	CanAcceptMenu_52044		CompleteMenu_52044					0	0	1	1	99			
52045			s970101	5	clonenpc_snailphone_task_01	clonenpc_snailphone_task_01	14	14		1			108992	108992							title_52045	context_52045	accept_52045_1;menu_52045_1	complete_52045;submit_52045		target_52045		next_52045	CanAcceptMenu_52045		CompleteMenu_52045					1	0	2	1	99			
52046			s970101	5	clonenpc_snailphone_task_01	clonenpc_snailphone_task_01	14	14		1			108992	108992							title_52046	context_52046	accept_52046_1;menu_52046_1	complete_52046;submit_52046		target_52046		next_52046	CanAcceptMenu_52046		CompleteMenu_52046					1	0	2	1	99			
52047			s970101	5	clonenpc_snailphone_task_01	clonenpc_snailphone_task_01	14	14		1			108992	108992							title_52047	context_52047	accept_52047_1;menu_52047_1	complete_52047;submit_52047		target_52047		next_52047	CanAcceptMenu_52047		CompleteMenu_52047					1	0	2	1	99			
52048			s970101	5	clonenpc_snailphone_task_01	clonenpc_snailphone_task_01	14	14		1			108992	108992							title_52048	context_52048	accept_52048_1;menu_52048_1	complete_52048;submit_52048		target_52048		next_52048	CanAcceptMenu_52048		CompleteMenu_52048					1	0	2	1	99			
52051			s970101	13	npc_xdm_030	npc_xdm_030	552	552					27179			43215			SubmitNpcEx_52051		title_52051	context_52051	accept_52051_1;menu_52051_1	complete_52051;submit_52051		target_52051		next_52051	CanAcceptMenu_52051		CompleteMenu_52051					0	0	3	1	1			
52052			s970101	13	newmp_changfeng_005	newmp_changfeng_005	15	15					27342			43217					title_52052	context_52052	accept_52052_1;menu_52052_1	complete_52052;submit_52052		target_52052		next_52052	CanAcceptMenu_52052		CompleteMenu_52052					0	0	3	1	1			
