STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Title	Step	SearchID	Line	AcceptNpc	SubmitNpc	AcceptSceneID	SubmitSceneID	AutoAcceptID	AutoSubmit	PreTaskLimit	NextTaskLimit	AcceptLimit	SubmitLimit	SubFunction	TaskItemList	RefreshMonster	TimeLimitLength	SubmitNpcEx	TaskScript	TitleId	ContextId	AcceptDialogId	CompleteDialogId	UnCompleteDialogId	TaskTargetId	TrackInfoID	LineNextInfo	CanAcceptMenu	UncompleteMenu	CompleteMenu	AcceptMovie	SubmitMovie	DramaAccept	DramaSubmit	CanGiveup	ShareType	RepeatType	RepeatPeriod	CountDayLimit	DifficultCoefficient	DifficultLevel	AcceptArea	AcceptRepLimit	ConditionPrize	AcceptReputationLimit
80031	«ßµ∆’Ú		s690202	5	WorldNpc00086	WorldNpc00086	1	1					15539;25665								title_80031	context_80031	context_80031_1;menu_80031_1	complete_80031		target_80031		next_80031	CanAcceptMenu_80031		CompleteMenu_80031					1	1	1	1	1			31			repute_jianghu|60418383
80032	«ßµ∆’Ú		s690202	5	qdzai013	qdzai013	1	1					15539;25665						SubmitNpcEx_80032		title_80032	context_80032	context_80032_1;menu_80032_1	complete_80032		target_80032		next_80032	CanAcceptMenu_80032		CompleteMenu_80032					1		1	1	1			31		10416&3679|100008|conditiontext_100008|0|conditiontips_0;10416&3678|100007|conditiontext_100007|14|conditiontips_14;10416&3677|100006|conditiontext_100006|17|conditiontips_17;10416&3676|100005|conditiontext_100005|13|conditiontips_13;10416&3675|100004|conditiontext_100004|17|conditiontips_17;10416&3674|100003|conditiontext_100003|13|conditiontips_13;10416&3673|100002|conditiontext_100002|1|conditiontips_1;10416&3672|100001|conditiontext_100001|0|conditiontips_0	repute_jianghu|60418384
80033	«ßµ∆’Ú		s690202	7	qdzai013	qdzai013	1	1					3174;10416;3672;15539;25665								title_80033	context_80033	context_80033_1;menu_80033_1	complete_80033		target_80033		next_80033	CanAcceptMenu_80033		CompleteMenu_80033					1	1	1	1	1			31			repute_jianghu|60418383
80034	«ßµ∆’Ú		s690202	5	qdzai012	qdzai012	1	1					15539;25665								title_80034	context_80034	context_80034_1;menu_80034_1	complete_80034		target_80034		next_80034	CanAcceptMenu_80034		CompleteMenu_80034					1		1	1	1			31		10416&3679|100008|conditiontext_100008|0|conditiontips_0;10416&3678|100007|conditiontext_100007|14|conditiontips_14;10416&3677|100006|conditiontext_100006|17|conditiontips_17;10416&3676|100005|conditiontext_100005|13|conditiontips_13;10416&3675|100004|conditiontext_100004|17|conditiontips_17;10416&3674|100003|conditiontext_100003|13|conditiontips_13;10416&3673|100002|conditiontext_100002|1|conditiontips_1;10416&3672|100001|conditiontext_100001|0|conditiontips_0	repute_jianghu|60418386
80035	«ßµ∆’Ú		s690202	5	WorldNpc00005	WorldNpc00005	1	1					15539;25665								title_80035	context_80035	context_80035_1;menu_80035_1|context_80035_2;menu_80035_2	complete_80035		target_80035		next_80035	CanAcceptMenu_80035		CompleteMenu_80035					1	1	1	1	1			31			repute_jianghu|60418387
80036	«ßµ∆’Ú		s690202	7	WorldNpc00004	WorldNpc00004	1	1					3174;10416;3673;15539;25665								title_80036	context_80036	context_80036_1;menu_80036_1	complete_80036		target_80036		next_80036	CanAcceptMenu_80036		CompleteMenu_80036					1	1	1	1	1			31			repute_jianghu|60418383
80037	«ßµ∆’Ú		s690202	5	WorldNpc00084	WorldNpc00084	1	1					15539;25665								title_80037	context_80037	context_80037_1;menu_80037_1	complete_80037		target_80037		next_80037	CanAcceptMenu_80037		CompleteMenu_80037					1		1	1	1			31		10416&3679|100008|conditiontext_100008|0|conditiontips_0;10416&3678|100007|conditiontext_100007|14|conditiontips_14;10416&3677|100006|conditiontext_100006|17|conditiontips_17;10416&3676|100005|conditiontext_100005|13|conditiontips_13;10416&3675|100004|conditiontext_100004|17|conditiontips_17;10416&3674|100003|conditiontext_100003|13|conditiontips_13;10416&3673|100002|conditiontext_100002|1|conditiontips_1;10416&3672|100001|conditiontext_100001|0|conditiontips_0	repute_jianghu|60418389
80038	«ßµ∆’Ú		s690202	5	WorldNpc00094	WorldNpc00094	1	1					15539;25665								title_80038	context_80038	context_80038_1;menu_80038_1	complete_80038		target_80038		next_80038	CanAcceptMenu_80038		CompleteMenu_80038					1	1	1	1	1			31			repute_jianghu|60418390
80039	«ßµ∆’Ú		s690202	5	WorldNpc00071	WorldNpc00071	1	1					15539;25665								title_80039	context_80039	context_80039_1;menu_80039_1	complete_80039		target_80039		next_80039	CanAcceptMenu_80039		CompleteMenu_80039					1		1	1	1			31		10416&3679|100008|conditiontext_100008|0|conditiontips_0;10416&3678|100007|conditiontext_100007|14|conditiontips_14;10416&3677|100006|conditiontext_100006|17|conditiontips_17;10416&3676|100005|conditiontext_100005|13|conditiontips_13;10416&3675|100004|conditiontext_100004|17|conditiontips_17;10416&3674|100003|conditiontext_100003|13|conditiontips_13;10416&3673|100002|conditiontext_100002|1|conditiontips_1;10416&3672|100001|conditiontext_100001|0|conditiontips_0	repute_jianghu|60418391
