STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	RoundID	Plot	Title	Step	SearchID	Line	AcceptNpc	SubmitNpc	SceneID	AcceptSceneID	SubmitSceneID	AutoAcceptID	AutoSubmit	PreTaskLimit	NextTaskLimit	NotShowMenu	Relation	LuckValue	AcceptLimit	SubmitLimit	AcceptDecMoney	SubFunction	TaskItemList	RefreshMonster	TimeLimitLength	SubmitNpcEx	TaskScript	TitleId	ContextId	AcceptDialogId	CompleteDialogId	UnCompleteDialogId	TaskTargetId	TrackInfoID	LineNextInfo	CanAcceptMenu	UncompleteMenu	CompleteMenu	AcceptMovie	SubmitMovie	DramaAccept	DramaSubmit	CanGiveup	ShareType	RepeatType	RepeatPeriod	CountDayLimit	DifficultCoefficient	DifficultLevel	ConditionPrize	FastCompleteMoney	FastCompletePrize
30001					s1510101	13	newmp_wxj_06	newmp_wxj_06		634	634								110008				14502;14519			SubmitNpcEx_30001		title_30001	context_30001	accept_30001_1;menu_30001_1	complete_30001;submit_30001		target_30001		next_30001	CanAcceptMenu_30001		CompleteMenu_30001					1	0	1	1	1				10000	box_prize_wxj_drrc_004
30002					s1510101	13	newmp_wxj_11	newmp_wxj_11		634	634								110008				14501			SubmitNpcEx_30002		title_30002	context_30002	accept_30002_1;menu_30002_1	complete_30002;submit_30002		target_30002		next_30002	CanAcceptMenu_30002		CompleteMenu_30002					1	0	1	1	1				10000	box_prize_wxj_drrc_002
30003					s1510101	13	newmp_wxj_12	newmp_wxj_12		634	634								110008							SubmitNpcEx_30003		title_30003	context_30003	accept_30003_1;menu_30003_1	complete_30003;submit_30003		target_30003		next_30003	CanAcceptMenu_30003		CompleteMenu_30003					1	0	1	1	1				10000	box_prize_wxj_drrc_003
30004					s1510101	13	newmp_wxj_ttlz_001	newmp_wxj_ttlz_001		634	634								112832;110008				14505					title_30004	context_30004	accept_30004_1;menu_30004_1	complete_30004;submit_30004		target_30004		next_30004	CanAcceptMenu_30004		CompleteMenu_30004					1	0	1	1	1					
30005					s1510101	13	newmp_wxj_ttlz_001	newmp_wxj_ttlz_001		634	634								112826;110008				14511					title_30005	context_30005	accept_30005_1;menu_30005_1	complete_30005;submit_30005		target_30005		next_30005	CanAcceptMenu_30005		CompleteMenu_30005					1	0	1	1	1					
30006					s1510101	13	newmp_wxj_ttlz_001	newmp_wxj_ttlz_001		634	634								112827;110008				14506					title_30006	context_30006	accept_30006_1;menu_30006_1	complete_30006;submit_30006		target_30006		next_30006	CanAcceptMenu_30006		CompleteMenu_30006					1	0	1	1	1					
30007					s1510101	13	newmp_wxj_ttlz_001	newmp_wxj_ttlz_001		634	634								112828;110008				14507					title_30007	context_30007	accept_30007_1;menu_30007_1	complete_30007;submit_30007		target_30007		next_30007	CanAcceptMenu_30007		CompleteMenu_30007					1	0	1	1	1					
30008					s1510101	13	newmp_wxj_ttlz_001	newmp_wxj_ttlz_001		634	634								112829;110008				14508					title_30008	context_30008	accept_30008_1;menu_30008_1	complete_30008;submit_30008		target_30008		next_30008	CanAcceptMenu_30008		CompleteMenu_30008					1	0	1	1	1					
30009					s1510101	13	newmp_wxj_ttlz_001	newmp_wxj_ttlz_001		634	634								112830;110008				14509					title_30009	context_30009	accept_30009_1;menu_30009_1	complete_30009;submit_30009		target_30009		next_30009	CanAcceptMenu_30009		CompleteMenu_30009					1	0	1	1	1					
30010					s1510101	13	newmp_wxj_ttlz_001	newmp_wxj_ttlz_001		634	634								112831;110008				14510					title_30010	context_30010	accept_30010_1;menu_30010_1	complete_30010;submit_30010		target_30010		next_30010	CanAcceptMenu_30010		CompleteMenu_30010					1	0	1	1	1					
30011					s1510303	13	newmp_wxj_jldh01	WorldNpc03816		634	8				30012											SubmitNpcEx_30011		title_30011	context_30011	accept_30011_1;menu_30011_1	complete_30011;submit_30011		target_30011		next_30011	CanAcceptMenu_30011		CompleteMenu_30011					1	0	0	0	0					
30012					s1510303	13	WorldNpc03816	newmp_wxj_01		8	634			30011	30013											SubmitNpcEx_30012		title_30012	context_30012	accept_30012_1;menu_30012_1	complete_30012;submit_30012		target_30012		next_30012	CanAcceptMenu_30012		CompleteMenu_30012					1	0	0	0	0					
