STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	RoundID	Plot	Title	Step	SearchID	Line	AcceptNpc	SubmitNpc	AcceptSceneID	SubmitSceneID	AutoAcceptID	AutoSubmit	PreTaskLimit	NextTaskLimit	AcceptLimit	SubmitLimit	SubFunction	TaskItemList	RefreshMonster	TimeLimitLength	SubmitNpcEx	TaskScript	TitleId	ContextId	AcceptDialogId	CompleteDialogId	UnCompleteDialogId	TaskTargetId	TrackInfoID	LineNextInfo	CanAcceptMenu	UncompleteMenu	CompleteMenu	AcceptMovie	SubmitMovie	DramaAccept	DramaSubmit	CanGiveup	ShareType	RepeatType	RepeatPeriod	CountDayLimit	DifficultCoefficient	DifficultLevel	ReputationLimit	AcceptReputationLimit	TiaozhanTime	FastCompleteMoney	FastCompletePrize
74201					s1680201	10	newmp_tszyb_001	newmp_tsp_001	832	832				74202	3160;1410;104641;103014;103016;103018;26393;109803;117286						SubmitNpcEx_74201		title_74201	context_74201	accept_74201_1;menu_74201_1	complete_74201;submit_74201		target_74201		next_74201	CanAcceptMenu_74201		CompleteMenu_74201					0	0	0	0	0							
74202					s1680201	10	newmp_tsp_001	newmp_tsp_001	832	832	74260		74201	74260	738;1410;20033;20034;104641;103014;103016;103018;26393;109803;117286								title_74202	context_74202	accept_74202_1;menu_74202_1	complete_74202;submit_74202		target_74202		next_74202	CanAcceptMenu_74202		CompleteMenu_74202					0	0	0	0	0							
74203					s1680101	4	newmp_tsp_001		832	832	74204	1	74269	74204	117287								title_74203	context_74203	accept_74203_1;menu_74203_1			target_74203		next_74203	CanAcceptMenu_74203			9957		ts01_1		0	0	0	0	0							
74204					s1680101	4			832	832	74205	1	74203	74205									title_74204	context_74204				target_74204		next_74204					9958			0	0	0	0	0							
74205					s1680101	4				832	74206	1	74204	74206									title_74205	context_74205		complete_74205;submit_74205		target_74205		next_74205			CompleteMenu_74205		9959			0	0	0	0	0							
74206					s1680101	4		newmp_tsp_007		832	74207		74205	74207									title_74206	context_74206		complete_74206;submit_74206		target_74206		next_74206			CompleteMenu_74206		9960			0	0	0	0	0							
74260					s1680401	10		Npc_yd_wg_jx_ts01	832	834			45598;51640;74202	74261	117287						SubmitNpcEx_74260		title_74260	context_74260	accept_74260_1;menu_74260_1	complete_74260;submit_74260		target_74260		next_74260	CanAcceptMenu_74260		CompleteMenu_74260					0	0	0									
74261					s1680401	10	Npc_yd_wg_jx_ts01	Npc_yd_wg_jx_ts01	834	834			74260	74262	117287						SubmitNpcEx_74261		title_74261	context_74261	accept_74261_1;menu_74261_1	complete_74261;submit_74261		target_74261		next_74261	CanAcceptMenu_74261		CompleteMenu_74261					0	0	0									
74262					s1680401	10	Npc_yd_wg_jx_ts01	Npc_yd_wg_jx_ts01	834	834			74261	74263	117287						SubmitNpcEx_74262		title_74262	context_74262	accept_74262_1;menu_74262_1	complete_74262;submit_74262		target_74262		next_74262	CanAcceptMenu_74262		CompleteMenu_74262					0	0	0	0	0							
74263					s1680401	10	Npc_yd_wg_jx_ts01	Npc_yd_wg_jx_ts01	834	834			74262	74264	117287						SubmitNpcEx_74263		title_74263	context_74263	accept_74263_1;menu_74263_1	complete_74263;submit_74263		target_74263		next_74263	CanAcceptMenu_74263		CompleteMenu_74263					0	0	0	0	0							
74264					s1680401	10	Npc_yd_wg_jx_ts01	Npc_yd_wg_jx_ts01	834	834			74263	74265	117287						SubmitNpcEx_74264		title_74264	context_74264	accept_74264_1;menu_74264_1	complete_74264;submit_74264		target_74264			CanAcceptMenu_74264		CompleteMenu_74264					0	0	0	0	0							
74265					s1680401	10	Npc_yd_wg_jx_ts01	Npc_yd_wg_jx_ts01	834	834	74266		74264	74266	117287						SubmitNpcEx_74265		title_74265	context_74265	accept_74265_1;menu_74265_1	complete_74265;submit_74265		target_74265		next_74265	CanAcceptMenu_74265		CompleteMenu_74265					0	0	0	0	0							
74266					s1680401	10	Npc_yd_wg_jx_ts01	newmp_tsp_006	834	832	74267		74265		117287						SubmitNpcEx_74266		title_74266	context_74266	accept_74266_1;menu_74266_1	complete_74266;submit_74266		target_74266			CanAcceptMenu_74266		CompleteMenu_74266					0	0	0	0	0							
74267					s1680401	10	newmp_tsp_006	WorldNpc_guj_tsp005	832	832			74266	74268	117287						SubmitNpcEx_74267		title_74267	context_74267	accept_74267_1;menu_74267_1	complete_74267;submit_74267		target_74267		next_74267	CanAcceptMenu_74267		CompleteMenu_74267					0	0	0	0	0							
74268					s1680401	10	WorldNpc_guj_tsp005	WorldNpc_guj_tsp005	832	832			74267	74269	117287						SubmitNpcEx_74268		title_74268	context_74268	accept_74268_1;menu_74268_1	complete_74268;submit_74268		target_74268		next_74268	CanAcceptMenu_74268		CompleteMenu_74268					0	0	0	0	0							
74269					s1680401	10	WorldNpc_guj_tsp005	newmp_tsp_001	832	832	74203		74268	74203	117287						SubmitNpcEx_74269		title_74269	context_74269	accept_74269_1;menu_74269_1	complete_74269;submit_74269		target_74269			CanAcceptMenu_74269		CompleteMenu_74269					0	0	0	0	0							
74270					s1680401	10	newmp_tsp_006	newmp_tsp_006	832	832			74266	74271	117287						SubmitNpcEx_74270		title_74270	context_74270	accept_74270_1;menu_74270_1	complete_74270;submit_74270		target_74270		next_74270	CanAcceptMenu_74270		CompleteMenu_74270					0	0	0	0	0							
74271					s1680401	10	newmp_tsp_006	newmp_tsp_006	832	832			74270	74272	117287;17047						SubmitNpcEx_74271		title_74271	context_74271	accept_74271_1;menu_74271_1	complete_74271;submit_74271		target_74271		next_74271	CanAcceptMenu_74271		CompleteMenu_74271					0	0	0	0	0							
74272					s1680401	10	newmp_tsp_006	newmp_tsp_006	832	832			74271	74273	117287						SubmitNpcEx_74272		title_74272	context_74272	accept_74272_1;menu_74272_1	complete_74272;submit_74272		target_74272			CanAcceptMenu_74272		CompleteMenu_74272					0	0	0	0	0							
74273					s1680401	10	newmp_tsp_006	newmp_tsp_006	832	832			74272	74274	117287						SubmitNpcEx_74273		title_74273	context_74273	accept_74273_1;menu_74273_1	complete_74273;submit_74273		target_74273			CanAcceptMenu_74273		CompleteMenu_74273					0	0	0	0	0							
74274					s1680401	10	newmp_tsp_006	newmp_tsp_006	832	832			74273	74275	117287						SubmitNpcEx_74274		title_74274	context_74274	accept_74274_1;menu_74274_1	complete_74274;submit_74274		target_74274		next_74274	CanAcceptMenu_74274		CompleteMenu_74274					0	0	0	0	0							
74275					s1680401	10	newmp_tsp_006	newmp_tsp_007	832	832			74274	74276	117287						SubmitNpcEx_74275		title_74275	context_74275	accept_74275_1;menu_74275_1	complete_74275;submit_74275		target_74275		next_74275	CanAcceptMenu_74275		CompleteMenu_74275					0	0	0	0	0							
74276					s1680401	10	newmp_tsp_007	newmp_tsp_007	832	832			74275	74277	117287;17048						SubmitNpcEx_74276		title_74276	context_74276	accept_74276_1;menu_74276_1	complete_74276;submit_74276		target_74276			CanAcceptMenu_74276		CompleteMenu_74276					0	0	0	0	0							
74277					s1680401	10	newmp_tsp_007	newmp_tsp_007	832	832			74276	74278	117287						SubmitNpcEx_74277		title_74277	context_74277	accept_74277_1;menu_74277_1	complete_74277;submit_74277		target_74277			CanAcceptMenu_74277		CompleteMenu_74277					0	0	0	0	0							
74278					s1680401	10	newmp_tsp_007	newmp_tsp_007	832	832			74277	74279	117287						SubmitNpcEx_74278		title_74278	context_74278	accept_74278_1;menu_74278_1	complete_74278;submit_74278		target_74278		next_74278	CanAcceptMenu_74278		CompleteMenu_74278					0	0	0	0	0							
74279					s1680401	10	newmp_tsp_007	newmp_tsp_007	832	832			74278	74280	117287						SubmitNpcEx_74279		title_74279	context_74279	accept_74279_1;menu_74279_1	complete_74279;submit_74279		target_74279		next_74279	CanAcceptMenu_74279		CompleteMenu_74279					0	0	0	0	0							
74280					s1680401	9	newmp_tsp_007	newmp_tsp_007	832	832			74279	74281	117287						SubmitNpcEx_74280		title_74280	context_74280	accept_74280_1;menu_74280_1	complete_74280;submit_74280		target_74280			CanAcceptMenu_74280		CompleteMenu_74280					0	0	0									
74281					s1680401	10	newmp_tsp_007	hbyd004	832	16	1478		74280		26411;117287						SubmitNpcEx_74281		title_74281	context_74281	accept_74281_1;menu_74281_1	complete_74281;submit_74281		target_74281		next_74281	CanAcceptMenu_74281		CompleteMenu_74281					0	0	0									
74282					s1680401	9	newmp_tsp_006	newmp_tsp_006	832	832				74283	117288;117287						SubmitNpcEx_74282		title_74282	context_74282	accept_74282_1;menu_74282_1	complete_74282;submit_74282		target_74282			CanAcceptMenu_74282		CompleteMenu_74282					0	0	0									
74283					s1680401	9	newmp_tsp_006	FuncNpc00106	832	14	2101		74282	2101	117287						SubmitNpcEx_74283		title_74283	context_74283	accept_74283_1;menu_74283_1	complete_74283;submit_74283		target_74283		next_74283	CanAcceptMenu_74283		CompleteMenu_74283					0	0	0									
74284					s1680401	9	newmp_tspzyb_011	newmp_tsp_001	832	832			74217		117287								title_74284	context_74284	accept_74284_1;menu_74284_1	complete_74284;submit_74284		target_74284			CanAcceptMenu_74284		CompleteMenu_74284					0	0	0									
74285					s1680401	10	newmp_tsp_006	offline_xunluo_ts	832	832				74286	117287;117288						SubmitNpcEx_74285		title_74285	context_74285	accept_74285_1;menu_74285_1	complete_74285;submit_74285		target_74285			CanAcceptMenu_74285		CompleteMenu_74285					0	0	0									
