STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Plot	Title	Step	SearchID	Line	AcceptNpc	SubmitNpc	SceneID	AcceptSceneID	SubmitSceneID	AutoAcceptID	AutoSubmit	PreTaskLimit	NextTaskLimit	NotShowMenu	Relation	LuckValue	AcceptLimit	SubmitLimit	AcceptDecMoney	SubFunction	TaskItemList	RefreshMonster	TimeLimitLength	SubmitNpcEx	TaskScript	TitleId	ContextId	AcceptDialogId	CompleteDialogId	UnCompleteDialogId	TaskTargetId	TrackInfoID	LineNextInfo	CanAcceptMenu	UncompleteMenu	CompleteMenu	AcceptMovie	SubmitMovie	DramaAccept	DramaSubmit	CanGiveup	ShareType	RepeatType	RepeatPeriod	CountDayLimit	DifficultCoefficient	DifficultLevel	NeedVip
51621		前往武当		s1330102	10	FuncNpc01608	WorldNpc04401		11	11				51629				3160;1410;109803;103016;103018;104641;17377;26256;26275;104768;103006;105904				5812			SubmitNpcEx_51621		title_51621	context_51621	context_51621;menu_51621	complete_51621		target_51621	task_TrackInfo_51621		CanAcceptMenu_51621		CompleteMenu_51621					0	0	0					
51622		前往少林		s1330102	10	FuncNpc00728	WorldNpc00212		12	12				51630				659;3160;1410;109803;103016;103018;104641;17377;26256;26275;104768;103006;105904				5813			SubmitNpcEx_51622		title_51622	context_51622	context_51622;menu_51622	complete_51622		target_51622	task_TrackInfo_51622		CanAcceptMenu_51622		CompleteMenu_51622					0	0	0					
51623		前往峨眉		s1330102	10	FuncNpc01114	WorldNpc02604		10	10				51631				660;3160;1410;109803;103016;103018;104641;17377;26256;26275;104768;103006;105904				5814			SubmitNpcEx_51623		title_51623	context_51623	context_51623;menu_51623	complete_51623		target_51623	task_TrackInfo_51623		CanAcceptMenu_51623		CompleteMenu_51623					0	0	0					
51624		前往丐帮		s1330102	10	FuncNpc01203	WorldNpc03003		6	6				51632				10388;3160;1410;109803;103016;103018;104641;17377;26256;26275;104768;103006;105904				5815			SubmitNpcEx_51624		title_51624	context_51624	context_51624;menu_51624	complete_51624		target_51624	task_TrackInfo_51624		CanAcceptMenu_51624		CompleteMenu_51624					0	0	0					
51625		前往唐门		s1330102	10	FuncNpc01020	WorldNpc02201		9	9				51633				3160;1410;109803;103016;103018;104641;17377;26256;26275;104768;103006;105904				5816			SubmitNpcEx_51625		title_51625	context_51625	context_51625;menu_51625	complete_51625		target_51625	task_TrackInfo_51625		CanAcceptMenu_51625		CompleteMenu_51625					0	0	0					
51626		前往君子堂		s1330102	10	FuncNpc01307	WorldNpc03305		7	7				51634				22823;3160;1410;109803;103016;103018;104641;17377;26256;26275;104768;103006;105904				5817			SubmitNpcEx_51626		title_51626	context_51626	context_51626;menu_51626	complete_51626		target_51626	task_TrackInfo_51626		CanAcceptMenu_51626		CompleteMenu_51626					0	0	0					
51627		前往锦衣卫		s1330102	10	FuncNpc01505	worldnpc04101		5	5				51635				3160;1410;109803;103016;103018;104641;17377;26256;26275;104768;103006;105904				5818			SubmitNpcEx_51627		title_51627	context_51627	context_51627;menu_51627	complete_51627		target_51627	task_TrackInfo_51627		CanAcceptMenu_51627		CompleteMenu_51627					0	0	0					
51628		前往极乐谷		s1330102	10	FuncNpc01404	WorldNpc03816		8	8				51636				3160;1410;109803;103016;103018;104641;17377;26256;26275;104768;103006;105904				5819			SubmitNpcEx_51628		title_51628	context_51628	context_51628;menu_51628	complete_51628		target_51628	task_TrackInfo_51628		CanAcceptMenu_51628		CompleteMenu_51628					0	0	0					
51629		拜入武当		s1330102	10	WorldNpc04401	WorldNpc04401		11	11	1152		51621	1152				3160;1410;109803;103016;103018;104641;17377;26256;26275;103006;105904									title_51629	context_51629	context_51629;menu_51629	complete_51629	uncom_51629	target_51629	task_TrackInfo_51629		CanAcceptMenu_51629	UncompleteMenu_51629	CompleteMenu_51629					0	0	2	1	999			
51630		拜入少林		s1330102	10	WorldNpc00212	WorldNpc00212		12	12	1151		51622	1151				659;3160;1410;109803;103016;103018;104641;17377;26256;26275;103006;105904							SubmitNpcEx_51630		title_51630	context_51630	context_51630;menu_51630	complete_51630	uncom_51630	target_51630	task_TrackInfo_51630		CanAcceptMenu_51630	UncompleteMenu_51630	CompleteMenu_51630					0	0	2	1	999			
51631		拜入峨眉		s1330102	10	WorldNpc02604	WorldNpc02604		10	10	1153		51623	1153				660;3160;1410;109803;103016;103018;104641;17377;26256;26275;103006;105904				5801					title_51631	context_51631	accept_51631_1;menu_51631_1	complete_51631;submit_51631	uncom_51631	target_51631	task_TrackInfo_51631	next_51631	CanAcceptMenu_51631	UncompleteMenu_51631	CompleteMenu_51631					0	0	2	1	999			
51632		拜入丐帮		s1330102	10	WorldNpc03003	WorldNpc03003		6	6	1154		51624	1154				10388;3160;1410;109803;103016;103018;104641;17377;26256;26275;103006;105904									title_51632	context_51632	accept_51632_1;menu_51632_1	complete_51632;submit_51632	uncom_51632	target_51632	task_TrackInfo_51632		CanAcceptMenu_51632	UncompleteMenu_51632	CompleteMenu_51632					0	0	2	1	999			
51633		拜入唐门		s1330102	10	WorldNpc02201	WorldNpc02201		9	9	1155		51625	1155				3160;1410;109803;103016;103018;104641;17377;26256;26275;103006;105904									title_51633	context_51633	accept_51633_1;menu_51633_1	complete_51633;submit_51633	uncom_51633	target_51633	task_TrackInfo_51633		CanAcceptMenu_51633	UncompleteMenu_51633	CompleteMenu_51633					0	0	2	1	999			
51634		拜入君子堂		s1330102	10	WorldNpc03305	WorldNpc03305		7	7	1158		51626	1158				22823;3160;1410;109803;103016;103018;104641;17377;26256;26275;103006;105904									title_51634	context_51634	accept_51634_1;menu_51634_1	complete_51634;submit_51634	uncom_51634	target_51634	task_TrackInfo_51634		CanAcceptMenu_51634	UncompleteMenu_51634	CompleteMenu_51634					0	0	2	1	999			
51635		拜入锦衣卫		s1330102	10	worldnpc04101	worldnpc04101		5	5	1156		51627	1156				3160;1410;109803;103016;103018;104641;17377;26256;26275;103006;105904									title_51635	context_51635	accept_51635_1;menu_51635_1	complete_51635;submit_51635	uncom_51635	target_51635	task_TrackInfo_51635	next_51635	CanAcceptMenu_51635	UncompleteMenu_51635	CompleteMenu_51635					0	0	2	1	999			
51636		拜入极乐谷		s1330102	10	WorldNpc03816	WorldNpc03816		8	8	1157		51628	1157				3160;1410;109803;103016;103018;104641;17377;26256;26275;103006;105904									title_51636	context_51636	accept_51636_1;menu_51636_1	complete_51636;submit_51636	uncom_51636	target_51636	task_TrackInfo_51636	next_51636	CanAcceptMenu_51636	UncompleteMenu_51636	CompleteMenu_51636					0	0	2	1	999			
51637				s1330102	10	newmp_mjzyb_001	newmp_mj_001		769	769				51638				3160;1410;109803;103016;103018;104641;17377;26256;26275;104768;103006;105904;116307				5820			SubmitNpcEx_51637		title_51637	context_51637	accept_51637_1;menu_51637_1	complete_51637;submit_51637		target_51637		next_51637	CanAcceptMenu_51637		CompleteMenu_51637					0	0	0					
51638				s1330102	10	newmp_mj_001	newmp_mj_001		769	769	73175		51637					3160;1410;109803;103016;103018;104641;17377;26256;26275;103006;105904;116307									title_51638	context_51638	accept_51638_1;menu_51638_1	complete_51638;submit_51638		target_51638		next_51638	CanAcceptMenu_51638		CompleteMenu_51638					0	0	0					
51701				s1330201	9	WorldNpc04401	Npc_yd_wg_jx_wd01		11	287															SubmitNpcEx_51701		title_51701	context_51701	accept_51701_1;menu_51701_1	complete_51701;submit_51701		target_51701			CanAcceptMenu_51701		CompleteMenu_51701					0	0	0					
51501				s1330101	9	Transbron02A	Transbron02A		2	2	51030			51030				1410;109803;103015;17377;26256;26275;105907;105904									title_51501	context_51501	accept_51501_1;menu_51501_1	complete_51501;submit_51501		target_51501			CanAcceptMenu_51501		CompleteMenu_51501					0	0	0					
51502				s1330101	9	npc_wmp_2nzy_lphs	wgm_019		15	15			51506					1410;109803;103016;103018;17377;104641;105907				5811					title_51502	context_51502	accept_51502_1;menu_51502_1	complete_51502;submit_51502		target_51502		next_51502	CanAcceptMenu_51502		CompleteMenu_51502					0	0	0					
51503				s1330101	9	npc_wmp_2nzy_lphs	npc_wmp_2nzy_lphs		15	15			51506					1410;109803;103016;103018;17377;104641;105907									title_51503	context_51503	accept_51503_1;menu_51503_1	complete_51503;submit_51503		target_51503			CanAcceptMenu_51503		CompleteMenu_51503					0	0	0					
51504				s1330101	9	npc_wmp_2nzy_lphs	npc_wmp_2nzy_lphs		15	15			51506					1410;109803;103016;103018;17377;104641;105907									title_51504	context_51504	accept_51504_1;menu_51504_1	complete_51504;submit_51504		target_51504			CanAcceptMenu_51504		CompleteMenu_51504					0	0	0					
51505				s1330101	9	npc_wmp_2nzy_lphs	npc_wmp_2nzy_lphs		15	15								1410;109803;103016;103018;17377;104641;26256;26275;104767;103006;105904									title_51505	context_51505	accept_51505_1;menu_51505_1	complete_51505;submit_51505		target_51505			CanAcceptMenu_51505		CompleteMenu_51505					0	0	0					
51506				s1330101	9	npc_wmp_2nzy_lphs	npc_wmp_2nzy_lphs		15	15			51283					1410;109803;103016;103018;17377;104641;105907									title_51506	context_51506	accept_51506_1;menu_51506_1	complete_51506;submit_51506		target_51506			CanAcceptMenu_51506		CompleteMenu_51506					0	0	0					
51511				s1330101	9	SchoolNpc000040	Transbron02A		2	2	51030			51030				1410;109803;103016;103014;103018;105907;27206;3174									title_51511	context_51511	accept_51511_1;menu_51511_1	complete_51511;submit_51511		target_51511			CanAcceptMenu_51511		CompleteMenu_51511					0	0	0					
51512				s1330101	5	SchoolNpc000102	SchoolNpc000102		2	2								26423							SubmitNpcEx_51512		title_51512	context_51512	accept_51512_1;menu_51512_1	complete_51512;submit_51512		target_51512		next_51512	CanAcceptMenu_51512		CompleteMenu_51512					1	0	1	1	1			
51513		自强不息（寒冰真气1-5层）		s1330101	5	SchoolNpc000107	SchoolNpc000107		2	2								1410;109803;103016;103018;106121;17119									title_51513	context_51513	accept_51513_1;menu_51513_1	complete_51513;submit_51513		target_51513		next_51513	CanAcceptMenu_51513		CompleteMenu_51513					0	0	0					
51514		自强不息（寒冰真气6-10层）		s1330101	5	SchoolNpc000107	SchoolNpc000107		2	2								1410;109803;103016;103018;106122;17119									title_51514	context_51514	accept_51514_1;menu_51514_1	complete_51514;submit_51514		target_51514		next_51514	CanAcceptMenu_51514		CompleteMenu_51514					0	0	0					
51515		自强不息（寒冰真气11-15层）		s1330101	5	SchoolNpc000107	SchoolNpc000107		2	2								1410;109803;103016;103018;106123;17119									title_51515	context_51515	accept_51515_1;menu_51515_1	complete_51515;submit_51515		target_51515		next_51515	CanAcceptMenu_51515		CompleteMenu_51515					0	0	0					
51516		自强不息（寒冰真气16-20层）		s1330101	5	SchoolNpc000107	SchoolNpc000107		2	2								1410;109803;103016;103018;106124;17119									title_51516	context_51516	accept_51516_1;menu_51516_1	complete_51516;submit_51516		target_51516		next_51516	CanAcceptMenu_51516		CompleteMenu_51516					0	0	0					
51517		自强不息（寒冰真气21-25层）		s1330101	5	SchoolNpc000107	SchoolNpc000107		2	2								1410;109803;103016;103018;106125;17119									title_51517	context_51517	accept_51517_1;menu_51517_1	complete_51517;submit_51517		target_51517		next_51517	CanAcceptMenu_51517		CompleteMenu_51517					0	0	0					
51518		自强不息（寒冰真气25-30层）		s1330101	5	SchoolNpc000107	SchoolNpc000107		2	2								1410;109803;103016;103018;106126;17119									title_51518	context_51518	accept_51518_1;menu_51518_1	complete_51518;submit_51518		target_51518		next_51518	CanAcceptMenu_51518		CompleteMenu_51518					0	0	0					
51519		自强不息（花间心法1-5层）		s1330101	5	SchoolNpc000107	SchoolNpc000107		2	2								1410;109803;103016;103018;105907;106149;17146									title_51519	context_51519	accept_51519_1;menu_51519_1	complete_51519;submit_51519		target_51519		next_51519	CanAcceptMenu_51519		CompleteMenu_51519					0	0	0					
51520		自强不息（花间心法6-10层）		s1330101	5	SchoolNpc000107	SchoolNpc000107		2	2								1410;109803;103016;103018;105907;106150;17146									title_51520	context_51520	accept_51520_1;menu_51520_1	complete_51520;submit_51520		target_51520		next_51520	CanAcceptMenu_51520		CompleteMenu_51520					0	0	0					
51521		自强不息（花间心法11-15层）		s1330101	5	SchoolNpc000107	SchoolNpc000107		2	2								1410;109803;103016;103018;105907;106151;17146									title_51521	context_51521	accept_51521_1;menu_51521_1	complete_51521;submit_51521		target_51521		next_51521	CanAcceptMenu_51521		CompleteMenu_51521					0	0	0					
51522		自强不息（花间心法16-20层）		s1330101	5	SchoolNpc000107	SchoolNpc000107		2	2								1410;109803;103016;103018;105907;106152;17146									title_51522	context_51522	accept_51522_1;menu_51522_1	complete_51522;submit_51522		target_51522		next_51522	CanAcceptMenu_51522		CompleteMenu_51522					0	0	0					
51523		自强不息（花间心法21-25层）		s1330101	5	SchoolNpc000107	SchoolNpc000107		2	2								1410;109803;103016;103018;105907;106153;17146									title_51523	context_51523	accept_51523_1;menu_51523_1	complete_51523;submit_51523		target_51523		next_51523	CanAcceptMenu_51523		CompleteMenu_51523					0	0	0					
51524		自强不息（花间心法26-30层）		s1330101	5	SchoolNpc000107	SchoolNpc000107		2	2								1410;109803;103016;103018;105907;106215;17146									title_51524	context_51524	accept_51524_1;menu_51524_1	complete_51524;submit_51524		target_51524		next_51524	CanAcceptMenu_51524		CompleteMenu_51524					0	0	0					
51525		行侠仗义		s1330101	5	SchoolNpc000107	SchoolNpc000107		2	2								1410;109803;103016;103018;106194;106216;17119									title_51525	context_51525	accept_51525_1;menu_51525_1	complete_51525;submit_51525		target_51525		next_51525	CanAcceptMenu_51525		CompleteMenu_51525					0	0	3	1	1			
51526		行侠仗义		s1330101	5	SchoolNpc000107	SchoolNpc000107		2	2								1410;109803;103016;103018;106195;106217;17146									title_51526	context_51526	accept_51526_1;menu_51526_1	complete_51526;submit_51526		target_51526		next_51526	CanAcceptMenu_51526		CompleteMenu_51526					0	0	3	1	1			
51527		江湖禁地（暮色之村）		s1330101	5	SchoolNpc000107	SchoolNpc000107		2	2								1410;109803;103016;103018;106194;106216;17119									title_51527	context_51527	accept_51527_1;menu_51527_1	complete_51527;submit_51527		target_51527		next_51527	CanAcceptMenu_51527		CompleteMenu_51527					0	0	3	1	1			
51528		江湖禁地（青云堡）		s1330101	5	SchoolNpc000107	SchoolNpc000107		2	2								1410;109803;103016;103018;106195;106217;17146									title_51528	context_51528	accept_51528_1;menu_51528_1	complete_51528;submit_51528		target_51528		next_51528	CanAcceptMenu_51528		CompleteMenu_51528					0	0	3	1	1			
51529		武学修炼（团练日常）		s1330101	5	SchoolNpc000107	SchoolNpc000107		2	2								1410;109803;103016;103018;18700									title_51529	context_51529	accept_51529_1;menu_51529_1	complete_51529;submit_51529		target_51529		next_51529	CanAcceptMenu_51529		CompleteMenu_51529					0	0	1	1	1			
51530		勤修苦练经脉4-5		s1330101	5	SchoolNpc000102	SchoolNpc000102		2	2								17369;17050;26543;17146							SubmitNpcEx_51530		title_51530	context_51530	accept_51530_1;menu_51530_1	complete_51530;submit_51530		target_51530		next_51530	CanAcceptMenu_51530		CompleteMenu_51530					1	0	1	1	1			
51531		勤修苦练经脉5-6		s1330101	5	SchoolNpc000102	SchoolNpc000102		2	2								17370;18708;26543;17146							SubmitNpcEx_51531		title_51531	context_51531	accept_51531_1;menu_51531_1	complete_51531;submit_51531		target_51531		next_51531	CanAcceptMenu_51531		CompleteMenu_51531					1	0	1	1	1			
51532		勤修苦练经脉6-7		s1330101	5	SchoolNpc000102	SchoolNpc000102		2	2								17371;18709;26543;101380							SubmitNpcEx_51532		title_51532	context_51532	accept_51532_1;menu_51532_1	complete_51532;submit_51532		target_51532		next_51532	CanAcceptMenu_51532		CompleteMenu_51532					1	0	1	1	1			
51533		勤修苦练经脉7-8		s1330101	5	SchoolNpc000102	SchoolNpc000102		2	2								17372;18709;26543;107656							SubmitNpcEx_51533		title_51533	context_51533	accept_51533_1;menu_51533_1	complete_51533;submit_51533		target_51533		next_51533	CanAcceptMenu_51533		CompleteMenu_51533					1	0	1	1	1			
51534		勤修苦练经脉8-9		s1330101	5	SchoolNpc000102	SchoolNpc000102		2	2								659;660							SubmitNpcEx_51534		title_51534	context_51534	accept_51534_1;menu_51534_1	complete_51534;submit_51534		target_51534		next_51534	CanAcceptMenu_51534		CompleteMenu_51534					1	0	1	1	1			
51639				s1330102	10	newmp_tszyb_001	newmp_tsp_001		832	832				51640				3160;1410;109803;103016;103018;104641;17377;26256;26275;104768;103006;105904;117286				5821			SubmitNpcEx_51639		title_51639	context_51639	accept_51639_1;menu_51639_1	complete_51639;submit_51639		target_51639			CanAcceptMenu_51639		CompleteMenu_51639					0	0	0					
51640				s1330102	10	newmp_tsp_001	newmp_tsp_001		832	832	74260		51639					3160;1410;109803;103016;103018;104641;17377;26256;26275;103006;105904;117286									title_51640	context_51640	accept_51640_1;menu_51640_1	complete_51640;submit_51640		target_51640			CanAcceptMenu_51640		CompleteMenu_51640					0	0	0					
