STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Plot	Title	Step	SearchID	Line	AcceptNpc	SubmitNpc	SceneID	AcceptSceneID	SubmitSceneID	AutoAcceptID	AutoSubmit	PreTaskLimit	NextTaskLimit	NotShowMenu	Relation	LuckValue	AcceptLimit	SubmitLimit	AcceptDecMoney	SubFunction	TaskItemList	RefreshMonster	TimeLimitLength	SubmitNpcEx	TaskScript	TitleId	ContextId	AcceptDialogId	CompleteDialogId	UnCompleteDialogId	TaskTargetId	TrackInfoID	LineNextInfo	CanAcceptMenu	UncompleteMenu	CompleteMenu	AcceptMovie	SubmitMovie	DramaAccept	DramaSubmit	CanGiveup	ShareType	RepeatType	RepeatPeriod	CountDayLimit	DifficultCoefficient	DifficultLevel
18201																																																
18211				s650101	8		WorldNpc02210	9	9	9		1										24002					title_18211	context_18211				target_18211										0	0	1	1	9999		
18210				s650101	8			9	9	9		1															title_18210	context_18210				target_18210		next_18210								0	0	1	1	9999		
18202			1月3日	s650101	8		funnpcqy011		9	9				18203											SubmitNpcEx_18202		title_18202	context_18202	accept_18202_1;menu_18202_1	complete_18202;submit_18202		target_18202		next_18202	CanAcceptMenu_18202		CompleteMenu_18202					0	0	0	49	1		
18204			3月3日	s650101	8	funnpcqy011	funnpcqy011		9	9			18203														title_18204	context_18204	accept_18204_1;menu_18204_1	complete_18204;submit_18204		target_18204		next_18204	CanAcceptMenu_18204		CompleteMenu_18204					1	0	0				
18203			2月3日	s650101	8	funnpcqy011	funnpcqy011		9	9			18202												SubmitNpcEx_18203		title_18203	context_18203	accept_18203_1;menu_18203_1	complete_18203;submit_18203		target_18203	task_TrackInfo_18203	next_18203	CanAcceptMenu_18203		CompleteMenu_18203					1	0	2	1	9999		
18227				s650101	2		WorldNpc02203			9								1001								Adventure\tm\giveup_task18227.lua	title_18227	context_18227		complete_18227;submit_18227		target_18227					CompleteMenu_18227					1	0	2	1	999		
18226				s650101	2		WorldNpc02203			9								1001								Adventure\tm\giveup_task18226.lua	title_18226	context_18226		complete_18226;submit_18226		target_18226					CompleteMenu_18226					1	0	2	1	999		
18225				s650101	2		WorldNpc02203		9	9								1001				24017				Adventure\tm\giveup_task18225.lua	title_18225	context_18225		complete_18225;submit_18225		target_18225					CompleteMenu_18225					1	0	2	1	999		
18224				s650101	2					9								1001				24016					title_18224	context_18224		complete_18224;submit_18224		target_18224					CompleteMenu_18224					0	0	2	1	999		
18223				s650101	2							1						1001				24011;24015			SubmitNpcEx_18223		title_18223	context_18223				target_18223										0	0	0	1	999		
