STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Title	Step	SearchID	Line	AcceptNpc	SubmitNpc	AcceptSceneID	SubmitSceneID	AutoAcceptID	AutoSubmit	PreTaskLimit	NextTaskLimit	AcceptLimit	SubmitLimit	SubFunction	TaskItemList	RefreshMonster	TimeLimitLength	SubmitNpcEx	TaskScript	TitleId	ContextId	AcceptDialogId	CompleteDialogId	UnCompleteDialogId	TaskTargetId	TrackInfoID	LineNextInfo	CanAcceptMenu	UncompleteMenu	CompleteMenu	AcceptMovie	SubmitMovie	DramaAccept	DramaSubmit	CanGiveup	ShareType	RepeatType	RepeatPeriod	CountDayLimit	DifficultCoefficient	DifficultLevel	ReputationLimit	AcceptReputationLimit	TiaozhanTime
28001	鸡鸣驿求师		s040101	1	WorldNpc10745	WorldNpc10745	4	4			28111	28002	10639;15539						SubmitNpcEx_28001		title_28001	context_28001	accept_28001_1;menu_28001_1	complete_28001;submit_28001		target_28001		next_28001	CanAcceptMenu_28001		CompleteMenu_28001	30		jm01_1		0	1	0	0	0					
28002	鸡鸣驿求师		s040101	1	WorldNpc10745	WorldNpc10696	4	4			28001	28003							SubmitNpcEx_28002		title_28002	context_28002	accept_28002_1;menu_28002_1	complete_28002;submit_28002		target_28002		next_28002	CanAcceptMenu_28002		CompleteMenu_28002					0	1	0	0	0					
28003	鸡鸣驿求师		s040101	1	WorldNpc10696	FuncNpc404	4	4			28002	28004				11000			SubmitNpcEx_28003		title_28003	context_28003	accept_28003_1;menu_28003_1	complete_28003		target_28003		next_28003	CanAcceptMenu_28003		CompleteMenu_28003					0	1	0	0	0					
28004	鸡鸣驿求师		s040101	1	FuncNpc404	WorldNpc10634	4	4			28003	28005				11001			SubmitNpcEx_28004		title_28004	context_28004	accept_28004_1;menu_28004_1	complete_28004;submit_28004		target_28004		next_28004	CanAcceptMenu_28004		CompleteMenu_28004					0	1	0	0	0					
28005	鸡鸣驿求师		s040101	1	WorldNpc10634	FuncNpc403	4	4			28004	28006							SubmitNpcEx_28005		title_28005	context_28005	accept_28005_1;menu_28005_1	complete_28005;submit_28005		target_28005		next_28005	CanAcceptMenu_28005		CompleteMenu_28005					0	1	0	0	0					
28006	鸡鸣驿求师		s040101	1	FuncNpc403	WorldNpc10634	4	4			28005	28007							SubmitNpcEx_28006		title_28006	context_28006	accept_28006_1;menu_28006_1	complete_28006;submit_28006		target_28006		next_28006	CanAcceptMenu_28006		CompleteMenu_28006					0	1	0	0	0					
28007	鸡鸣驿求师		s040101	1	WorldNpc10634	FuncNpc403	4	4			28006	28008							SubmitNpcEx_28007		title_28007	context_28007	accept_28007_1;menu_28007_1	complete_28007;submit_28007		target_28007		next_28007	CanAcceptMenu_28007		CompleteMenu_28007					0	1	0	0	0					
28008	鸡鸣驿求师		s040101	1	FuncNpc403	WorldNpc10616	4	4			28007	28009							SubmitNpcEx_28008		title_28008	context_28008	accept_28008_1;menu_28008_1	complete_28008;submit_28008		target_28008		next_28008	CanAcceptMenu_28008		CompleteMenu_28008					0	1	0	0	0					
28009			s040101	1	WorldNpc10616	WorldNpc10684	4	4			28008	28010				11023			SubmitNpcEx_28009		title_28009	context_28009	accept_28009_1;menu_28009_1	complete_28009;submit_28009		target_28009		next_28009	CanAcceptMenu_28009		CompleteMenu_28009					0	1	0	0	0					
