STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Title	Step	SearchID	Line	AcceptNpc	SubmitNpc	AcceptSceneID	SubmitSceneID	AutoAcceptID	AutoSubmit	PreTaskLimit	NextTaskLimit	AcceptLimit	SubmitLimit	SubFunction	TaskItemList	RefreshMonster	TimeLimitLength	SubmitNpcEx	TaskScript	TitleId	ContextId	AcceptDialogId	CompleteDialogId	UnCompleteDialogId	TaskTargetId	TrackInfoID	LineNextInfo	CanAcceptMenu	UncompleteMenu	CompleteMenu	AcceptMovie	SubmitMovie	DramaAccept	DramaSubmit	CanGiveup	ShareType	RepeatType	RepeatPeriod	CountDayLimit	DifficultCoefficient	DifficultLevel	AcceptArea	AcceptRepLimit	ConditionPrize	AcceptReputationLimit
80233	千灯镇天香茶林		s690404	5	WorldNpc00095	WorldNpc00095	1	1					15539;25665			18833					title_80233	context_80233	accept_80233_1;menu_80233_1	complete_80233		target_80233		next_80233	CanAcceptMenu_80233		CompleteMenu_80233					1		1	1	1			33		10416&3679|100008|conditiontext_100008|0|conditiontips_0;10416&3678|100007|conditiontext_100007|14|conditiontips_14;10416&3677|100006|conditiontext_100006|17|conditiontips_17;10416&3676|100005|conditiontext_100005|13|conditiontips_13;10416&3675|100004|conditiontext_100004|17|conditiontips_17;10416&3674|100003|conditiontext_100003|13|conditiontips_13;10416&3673|100002|conditiontext_100002|1|conditiontips_1;10416&3672|100001|conditiontext_100001|0|conditiontips_0	repute_jianghu|700
80234	千灯镇天香茶林		s690404	7		WorldNpc00010	1	1					10416;3676;15539;25665								title_80234	context_80234	accept_80234_1;menu_80234_1	complete_80234		target_80234		next_80234	CanAcceptMenu_80234		CompleteMenu_80234					1	1	1	1	1			33			repute_jianghu|700
80235	千灯镇天香茶林		s690404	5	WorldNpc00033	WorldNpc00033	1	1					15539;25665								title_80235	context_80235	accept_80235_1;menu_80235_1	complete_80235		target_80235		next_80235	CanAcceptMenu_80235		CompleteMenu_80235					1		1	1	1			33		10416&3679|100008|conditiontext_100008|0|conditiontips_0;10416&3678|100007|conditiontext_100007|14|conditiontips_14;10416&3677|100006|conditiontext_100006|17|conditiontips_17;10416&3676|100005|conditiontext_100005|13|conditiontips_13;10416&3675|100004|conditiontext_100004|17|conditiontips_17;10416&3674|100003|conditiontext_100003|13|conditiontips_13;10416&3673|100002|conditiontext_100002|1|conditiontips_1;10416&3672|100001|conditiontext_100001|0|conditiontips_0	repute_jianghu|700
80236	千灯镇天香茶林		s690404	5	WorldNpc00010	WorldNpc00010	1	1					15539;25665								title_80236	context_80236	accept_80236_1;menu_80236_1	complete_80236		target_80236		next_80236	CanAcceptMenu_80236		CompleteMenu_80236					1	1	1	1	1			33			repute_jianghu|700
80237	千灯镇天香茶林		s690404	5	WorldNpc00047	WorldNpc00047	1	1					15539;25665								title_80237	context_80237	accept_80237_1;menu_80237_1	complete_80237		target_80237		next_80237	CanAcceptMenu_80237		CompleteMenu_80237					1		1	1	1			33		10416&3679|100008|conditiontext_100008|0|conditiontips_0;10416&3678|100007|conditiontext_100007|14|conditiontips_14;10416&3677|100006|conditiontext_100006|17|conditiontips_17;10416&3676|100005|conditiontext_100005|13|conditiontips_13;10416&3675|100004|conditiontext_100004|17|conditiontips_17;10416&3674|100003|conditiontext_100003|13|conditiontips_13;10416&3673|100002|conditiontext_100002|1|conditiontips_1;10416&3672|100001|conditiontext_100001|0|conditiontips_0	repute_jianghu|700
80238	千灯镇天香茶林		s690404	5	WorldNpc00047	WorldNpc00047	1	1					15539;25665								title_80238	context_80238	accept_80238_1;menu_80238_1	complete_80238		target_80238		next_80238	CanAcceptMenu_80238		CompleteMenu_80238					1	1	1	1	1			33			repute_jianghu|700
80239	千灯镇天香茶林		s690404	7	WorldNpc00013	WorldNpc00013	1	1					3174;10416;3679;15539;25665								title_80239	context_80239	accept_80239_1;menu_80239_1	complete_80239		target_80239		next_80239	CanAcceptMenu_80239		CompleteMenu_80239					1	1	1	1	1			33			repute_jianghu|60418383
80240	千灯镇天香茶林		s690404	5	WorldNpc00032	WorldNpc00032	1	1					15539;25665								title_80240	context_80240	accept_80240_1;menu_80240_1	complete_80240		target_80240		next_80240	CanAcceptMenu_80240		CompleteMenu_80240					1	1	1	1	1			33			repute_jianghu|700
80241	千灯镇天香茶林		s690404	5	WorldNpc00047	WorldNpc00047	1	1					15539;25665			18835					title_80241	context_80241	accept_80241_1;menu_80241_1	complete_80241		target_80241		next_80241	CanAcceptMenu_80241		CompleteMenu_80241					1		1	1	1			33		10416&3679|100008|conditiontext_100008|0|conditiontips_0;10416&3678|100007|conditiontext_100007|14|conditiontips_14;10416&3677|100006|conditiontext_100006|17|conditiontips_17;10416&3676|100005|conditiontext_100005|13|conditiontips_13;10416&3675|100004|conditiontext_100004|17|conditiontips_17;10416&3674|100003|conditiontext_100003|13|conditiontips_13;10416&3673|100002|conditiontext_100002|1|conditiontips_1;10416&3672|100001|conditiontext_100001|0|conditiontips_0	repute_jianghu|700
