STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Plot	Title	Step	SearchID	Line	AcceptNpc	SubmitNpc	SceneID	AcceptSceneID	SubmitSceneID	AutoAcceptID	AutoSubmit	PreTaskLimit	NextTaskLimit	NotShowMenu	Relation	LuckValue	AcceptLimit	SubmitLimit	AcceptDecMoney	SubFunction	TaskItemList	RefreshMonster	TimeLimitLength	SubmitNpcEx	TaskScript	TitleId	ContextId	AcceptDialogId	CompleteDialogId	UnCompleteDialogId	TaskTargetId	TrackInfoID	LineNextInfo	CanAcceptMenu	UncompleteMenu	CompleteMenu	AcceptMovie	SubmitMovie	DramaAccept	DramaSubmit	CanGiveup	ShareType	RepeatType	RepeatPeriod	CountDayLimit	DifficultCoefficient	DifficultLevel
17601				s620101	8		WorldNpc03012		6	6												27000			SubmitNpcEx_17601		title_17601	context_17601		complete_17601;submit_17601		target_17601		next_17601			CompleteMenu_17601					0	0	0				
17602				s620101	8				6	6												27001			SubmitNpcEx_17602		title_17602	context_17602		complete_17602;submit_17602		target_17602		next_17602			CompleteMenu_17602					0	0	0				
17603				s620101	8				14	14	17604	1		17604													title_17603	context_17603	accept_17603_1;menu_17603_1			target_17603		next_17603	CanAcceptMenu_17603							1	0	1	1	9999		
17604				s620101	8		gb344		14	6			17603														title_17604	context_17604		complete_17604;submit_17604		target_17604		next_17604			CompleteMenu_17604					1	0	1	1	9999		
17605				s620101	2		WorldNpc03096		6	6	17606			17606				1271							SubmitNpcEx_17605		title_17605	context_17605	accept_17605_1;menu_17605_1	complete_17605;submit_17605		target_17605		next_17605	CanAcceptMenu_17605		CompleteMenu_17605					0	0	0				
17606				s620101	2		WorldNpc03096		6	6			17605					1271							SubmitNpcEx_17606		title_17606	context_17606	accept_17606_1;menu_17606_1	complete_17606;submit_17606		target_17606			CanAcceptMenu_17606		CompleteMenu_17606					0	0	0				
17610				s620101	2		WorldNpc03003		6	6	17620	1		17620				1271									title_17610	context_17610	accept_17610_1;menu_17610_1	complete_17610;submit_17610		target_17610		next_17610	CanAcceptMenu_17610		CompleteMenu_17610					0	0	0				
17611				s620101	2		WorldNpc03003		6	6			17620					1271									title_17611	context_17611		complete_17611;submit_17611		target_17611		next_17611			CompleteMenu_17611					0	0	0				
17609				s620101	2		WorldNpc03014		6	6								1271				27002;27016;27017				Adventure\yanjing\gaibang\task17609.lua	title_17609	context_17609		complete_17609;submit_17609		target_17609		next_17609			CompleteMenu_17609					1	0	2	1	999		
17612				s620101	2		WorldNpc03014		6	6								1271				27004				Adventure\yanjing\gaibang\task17612.lua	title_17612	context_17612		complete_17612;submit_17612		target_17612		next_17612			CompleteMenu_17612					1	0	2	1	999		
17613				s620101	2				6	9	17614	1		17614				1271								Adventure\yanjing\gaibang\task17613.lua	title_17613	context_17613	accept_17613_1;menu_17613_1			target_17613		next_17613	CanAcceptMenu_17613				5651			0	0	0				
17614				s620101	2	World_qy_gb310			9	9	17615	1						17348;1271								Adventure\yanjing\gaibang\task17614.lua	title_17614	context_17614	accept_17614_1;menu_17614_1			target_17614		next_17614	CanAcceptMenu_17614							0	0	2	1	999		
17615				s620101	2		World_qy_gb300		9	9								1271									title_17615	context_17615		complete_17615;submit_17615		target_17615		next_17615			CompleteMenu_17615	5652				0	0	0				
17616				s620101	2		WorldNpc03014		6	6								1271				27005				Adventure\yanjing\gaibang\task17616.lua	title_17616	context_17616		complete_17616;submit_17616		target_17616					CompleteMenu_17616					1	0	2	1	999		
17617				s620101	2		WorldNpc03003		6	6								1271									title_17617	context_17617	accept_17617_1;menu_17617_1	complete_17617;submit_17617		target_17617		next_17617	CanAcceptMenu_17617		CompleteMenu_17617					0	0	0				
17618				s620101	2		WorldNpc03003		6	6								1271				27003			SubmitNpcEx_17618	Adventure\yanjing\gaibang\task17618.lua	title_17618	context_17618	accept_17618_1;menu_17618_1	complete_17618;submit_17618		target_17618			CanAcceptMenu_17618		CompleteMenu_17618					1	0	2	1	999		
17619				s620101	2		WorldNpc03014		6	6								1271				27006				Adventure\yanjing\gaibang\task17619.lua	title_17619	context_17619		complete_17619;submit_17619		target_17619		next_17619			CompleteMenu_17619					1	0	2	1	999		
17620				s620101	2		gb346		6	6	17611		17610	17611				1271									title_17620	context_17620		complete_17620;submit_17620		target_17620		next_17620			CompleteMenu_17620					0	0	0				
17621				s620101	2		WorldNpc03012		6	6								1271				27007				Adventure\yanjing\gaibang\task17621.lua	title_17621	context_17621		complete_17621;submit_17621		target_17621		next_17621			CompleteMenu_17621					1	0	2	1	999		
17622				s620101	2		WorldNpc03012		6	6								1271				27008				Adventure\yanjing\gaibang\task17622.lua	title_17622	context_17622		complete_17622;submit_17622		target_17622		next_17622			CompleteMenu_17622					1	0	2	1	999		
17623				s620101	2		WorldNpc03012		6	6								1271				27009				Adventure\yanjing\gaibang\task17623.lua	title_17623	context_17623		complete_17623;submit_17623		target_17623					CompleteMenu_17623					1	0	2	1	999		
17624				s620101	2		WorldNpc03012		6	6								1271				27010				Adventure\yanjing\gaibang\task17624.lua	title_17624	context_17624		complete_17624;submit_17624		target_17624		next_17624			CompleteMenu_17624					1	0	2	1	999		
17625				s620101	2		WorldNpc03012		6	6								1271				27011				Adventure\yanjing\gaibang\task17625.lua	title_17625	context_17625		complete_17625;submit_17625		target_17625					CompleteMenu_17625					1	0	2	1	999		
