STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Title	Step	SearchID	Line	AcceptNpc	SubmitNpc	AcceptSceneID	SubmitSceneID	AutoAcceptID	AutoSubmit	PreTaskLimit	NextTaskLimit	AcceptLimit	SubmitLimit	SubFunction	TaskItemList	RefreshMonster	TimeLimitLength	SubmitNpcEx	TaskScript	TitleId	ContextId	AcceptDialogId	CompleteDialogId	UnCompleteDialogId	TaskTargetId	TrackInfoID	LineNextInfo	CanAcceptMenu	UncompleteMenu	CompleteMenu	AcceptMovie	SubmitMovie	DramaAccept	DramaSubmit	CanGiveup	ShareType	RepeatType	RepeatPeriod	CountDayLimit	DifficultCoefficient	DifficultLevel	ReputationLimit	AcceptArea	AcceptRepLimit	ConditionPrize	AcceptReputationLimit
83200	ÄîÂÞ°ÓÄÞÉÑ¹¬		s820202	5	nlb014	nlb014	22	22					3174;3163								title_83200	context_83200	accept_83200_1;menu_83200_1	complete_83200		target_83200		next_83200	CanAcceptMenu_83200		CompleteMenu_83200					1	0	1	1	1				131		10416&3706|100035|conditiontext_100035|0|conditiontips_0;10416&3705|100034|conditiontext_100034|14|conditiontips_14;10416&3704|100033|conditiontext_100033|17|conditiontips_17;10416&3702|100031|conditiontext_100031|17|conditiontips_17;10416&3701|100030|conditiontext_100030|13|conditiontips_13;10416&3700|100029|conditiontext_100029|1|conditiontips_1;10416&3699|100028|conditiontext_100028|0|conditiontips_0	repute_jianghu|60418383
83201	ÄîÂÞ°ÓÄÞÉÑ¹¬		s820202	5	nlb015	nlb015	22	22					3174;3163								title_83201	context_83201	accept_83201_1;menu_83201_1	complete_83201		target_83201		next_83201	CanAcceptMenu_83201		CompleteMenu_83201					1	0	1	1	1				131		10416&3706|100035|conditiontext_100035|0|conditiontips_0;10416&3705|100034|conditiontext_100034|14|conditiontips_14;10416&3704|100033|conditiontext_100033|17|conditiontips_17;10416&3702|100031|conditiontext_100031|17|conditiontips_17;10416&3701|100030|conditiontext_100030|13|conditiontips_13;10416&3700|100029|conditiontext_100029|1|conditiontips_1;10416&3699|100028|conditiontext_100028|0|conditiontips_0	repute_jianghu|60418383
83202	ÄîÂÞ°ÓÄÞÉÑ¹¬		s820202	5	nlb016	nlb016	22	22					3174;3163								title_83202	context_83202	accept_83202_1;menu_83202_1	complete_83202		target_83202		next_83202	CanAcceptMenu_83202		CompleteMenu_83202					1	0	1	1	1				131		10416&3706|100035|conditiontext_100035|0|conditiontips_0;10416&3705|100034|conditiontext_100034|14|conditiontips_14;10416&3704|100033|conditiontext_100033|17|conditiontips_17;10416&3702|100031|conditiontext_100031|17|conditiontips_17;10416&3701|100030|conditiontext_100030|13|conditiontips_13;10416&3700|100029|conditiontext_100029|1|conditiontips_1;10416&3699|100028|conditiontext_100028|0|conditiontips_0	repute_jianghu|60418383
83203	ÄîÂÞ°ÓÄÞÉÑ¹¬		s820202	7	nlb017	nlb017	22	22					3174;3163;10416;3701								title_83203	context_83203	accept_83203_1;menu_83203_1	complete_83203		target_83203		next_83203	CanAcceptMenu_83203		CompleteMenu_83203					1	1	1	1	1				131			repute_jianghu|60418383
83204	ÄîÂÞ°ÓÄÞÉÑ¹¬		s820202	7	nlb018	nlb018	22	22					3174;3163;10416;3706								title_83204	context_83204	accept_83204_1;menu_83204_1	complete_83204		target_83204		next_83204	CanAcceptMenu_83204		CompleteMenu_83204					1	1	1	1	1				131			repute_jianghu|60418383
83205	ÄîÂÞ°ÓÄÞÉÑ¹¬		s820202	7	nlb025	nlb025	22	22					3174;3163;10416;3703								title_83205	context_83205	accept_83205_1;menu_83205_1	complete_83205		target_83205		next_83205	CanAcceptMenu_83205		CompleteMenu_83205					1	1	1	1	1				131			repute_jianghu|60418383
83206	ÄîÂÞ°ÓÄÞÉÑ¹¬		s820202	7	nlb026	nlb026	22	22					3174;3163;10416;3704								title_83206	context_83206	accept_83206_1;menu_83206_1	complete_83206		target_83206		next_83206	CanAcceptMenu_83206		CompleteMenu_83206					1	1	1	1	1				131			repute_jianghu|60418383
83207	ÄîÂÞ°ÓÄÞÉÑ¹¬		s820202	7	WorldNpc06115	WorldNpc06115	22	22					3174;3163;10416;3705								title_83207	context_83207	accept_83207_1;menu_83207_1	complete_83207		target_83207		next_83207	CanAcceptMenu_83207		CompleteMenu_83207					1	1	1	1	1				131			repute_jianghu|60418383
83208	ÄîÂÞ°ÓÄÞÉÑ¹¬		s820202	5	WorldNpc06116	WorldNpc06116	22	22					3174;3163								title_83208	context_83208	accept_83208_1;menu_83208_1	complete_83208		target_83208		next_83208	CanAcceptMenu_83208		CompleteMenu_83208					1	1	1	1	1				131			repute_jianghu|60418383
83209	ÄîÂÞ°ÓÄÞÉÑ¹¬		s820202	5	WorldNpc06112	WorldNpc06112	22	22					3174;3163								title_83209	context_83209	accept_83209_1;menu_83209_1	complete_83209		target_83209		next_83209	CanAcceptMenu_83209		CompleteMenu_83209					1	1	1	1	1				131			repute_jianghu|60418383
