STRING	STRING	STRING	STRING	STRING
ID	Xpoint	Zpoint	HoldTime	TalkID
10-18405				convoy_talk_18405_1
10-18431	431	183		convoy_talk_18431_1
10-18431	432	167		
10-18431	441	146		convoy_talk_18431_3
10-18431	452	139		
10-18431	452	116		convoy_talk_18431_5
10-18431	442	102		
10-18431	408	103		convoy_talk_18431_7
10-18431	379	108		
10-18431	362	107		convoy_talk_18431_9
10-18444	442	212		
10-18444	459	212		
10-18444	485	213		
10-18444	508	212		
10-18444	538	210		
10-18444	542	217		
10-18444	539	221		
10-18502	492	527		
10-18502	495	515		
10-18502	495	499		
10-18502	492	481		
10-18502	488	466		
10-18502	480	450		
10-18502	467	435		
10-18502	458	429		
10-18502	445	442		
10-18502	435	450		
10-18502	429	455		
10-18435	388	817		
