STRING	STRING	STRING	STRING	STRING
ID	Xpoint	Zpoint	HoldTime	TalkID
3-11901	494.382	1059.908		convoy_talk_11947_1
3-11901	492.23	1050.413		
3-11901	475.751	1049.863		
3-11901	475.6845	1041.027		
3-11901	482.081	1021.105		
3-11901	479.424	1007.926		
3-11901	479.3	993.9		
3-11901	479.2102	978.7698		
3-11901	479.059	962.388		
3-11901	479.8	934.2		
3-11901	479.8	911.3	3000	convoy_talk_11947_11
3-12236	168.914	63.997		
3-12236	201.684	76.452		
3-12236	231.889	84.365		
3-12236	262.388	58.091		
14-12224	1291.548	883.243		
14-12224	1293.658	880.027		
14-12224	1299.193	876.538		
14-12224	1304.905	873.139		
14-12224	1315.613	871.18		
14-12224	1332.922	872.003		
14-12224	1344.391	879.73		
14-12224	1351.554	884.545		
14-12224	1363.496	888.866		
14-12224	1376.583	893.592		
14-12224	1388.011	898.562		
14-12224	1400.795	908.009		
14-12224	1411.573	917.486		
14-12224	1430.032	916.702		
14-12224	1440.969	914.823		
14-12224	1446.321	917.082		
14-12224	1446.211	923.131		
14-12224	1434.56	933.847		
14-12224	1429.183	946.387		
14-12224	1429.821	957.929		
14-12224	1431.19	969.932		
14-12224	1427.013	980.419		
14-12224	1432.813	987.81		
14-12224	1439.688	987.026		
14-12224	1442.871	983.72		
14-12112	1105.036	866.296		
14-12112	1092.378	871.679		
14-12112	1081.687	873.453		
14-12112	1072.005	874.441		
14-12112	1058.338	870.962		
14-12112	1044.996	870.041	2000	convoy_talk_12110_6
14-12112	1041.086	885.635		
14-12112	1038.23	897.15		
