STRING	STRING	STRING	STRING	STRING
ID	Xpoint	Zpoint	HoldTime	TalkID
15-57535	435.277	153.16		
15-57535	447.327	153.126		
15-57535	468.522	153.428		
15-57535	509.704	155.954		
15-57535	543.585	169.854		
15-57535	558.879	189.851		
15-57535	562.629	215.866		
15-57535	565.299	237.231		
15-57535	590.321	287.303		
15-57535	606.738	324.081		
15-57535	626.685	360.141		
15-57535	659.181	390.462		
15-57535	701	403		
15-57535	727.717	401.238		
15-57535	755.428	391.704		
15-57535	781.481	380.578		
15-57535	808	364		
9-57555	687.915	151.361		
9-57555	671.382	145.553		
9-57555	660.292	128.297		
9-57555	657.131	111.627		
9-57555	651.571	82.344		
9-57555	647.518	59.256		
9-57555	645.150	33.910		
9-57555	643	7		
9-57555	641	-15		
