STRING	STRING	STRING	STRING	STRING
ID	Xpoint	Zpoint	HoldTime	TalkID
4-28010	413	486	1000	convoy_talk_28010_1
4-28010	395	455	0	
4-28010	376	414	1000	convoy_talk_28010_3
4-28010	341	371	0	
4-28010	328	373	3000	convoy_talk_28010_5
4-28010	324	371	0	
6-28058	608	314.3	0	
6-28058	611.5	321	0	
6-28058	606.6	323	0	
6-28058	604.3	328.8	4000	convoy_talk_28058_4
6-28058	602.3	324	0	
4-28038	426	516	0	convoy_talk_28038_1
4-28038	421	511	0	convoy_talk_28038_2
4-28038	424	488	3000	convoy_talk_28038_3
4-28038	459	489	0	convoy_talk_28038_4
4-28038	496	476	2000	convoy_talk_28038_5
4-28039	57.539	837.611	0	
4-28039	43	822	0	
4-28039	18	831	0	
4-28039	-20	861	0	
4-28039	-13	913	0	
4-28039	-17	992	0	
4-28039	4	992	0	
4-28041	-119	995	0	
4-28041	-139	996	0	
4-28041	-159	970	3000	convoy_talk_28041_1
4-28041	-199	927	0	
4-28041	-214	883	5000	convoy_talk_28041_2
4-28041	-221	856	0	
4-28041	-219	840	0	
4-28041	-205	798	5000	convoy_talk_28041_3
4-28041	-179	787	0	
4-28041	-180	776	0	
4-28045	-119	995	0	
4-28045	-139	996	0	
4-28045	-159	970	0	
4-28045	-199	927	0	
4-28045	-214	883	5000	convoy_talk_28045_1
4-28045	-221	856	0	
4-28045	-219	840	5000	convoy_talk_28045_2
4-28045	-205	798	0	
4-28045	-179	787	0	
4-28045	-180	776	0	
13-28063	234	1416	0	
13-28063	242	1415	0	
13-28063	271	1416	5000	convoy_talk_28063_1
13-28063	277	1407	0	
13-28063	277	1394	5000	convoy_talk_28063_2
13-28063	304	1393	5000	convoy_talk_28063_3
13-28063	303	1354	5000	convoy_talk_28063_4
13-28063	325	1353	0	
13-28063	356	1341	5000	convoy_talk_28063_5
13-28063	362	1342	0	
13-28055	402	159	0	convoy_talk_28055_1
13-28055	413	158	0	
13-28055	417	205	0	
13-28055	408	227	0	convoy_talk_28055_4
13-28055	372	227	0	
13-28055	349	230	0	convoy_talk_28055_6
13-28055	317	229	0	
13-28055	318	205	0	
13-28055	339	205	0	convoy_talk_28055_9
13-28055	343	196	5000	convoy_talk_28055_10
13-28087	274	1432	0	
13-28087	269	1433	10000	convoy_talk_28087_2
13-28087	265	1430	0	
13-28088	277	1433	0	
13-28088	277	1415	0	
13-28088	282	1416	0	
13-28088	288	1438	8000	convoy_talk_28088_4
13-28088	330	1440	0	
13-28088	327	1458	0	
13-28088	315	1485	8000	convoy_talk_28088_7
13-28088	315	1524	0	
13-28088	344	1519	0	
13-28088	357	1519	8000	convoy_talk_28088_10
13-28088	370	1524	0	
13-28088	385	1535	8000	convoy_talk_28088_12
13-28088	404	1528	8000	convoy_talk_28088_13
13-28088	403	1558	0	
13-28088	360	1560	8000	convoy_talk_28088_15
13-28088	359	1588	0	
13-28088	358	1596	0	
