STRING	STRING	STRING	STRING	STRING
ID	Xpoint	Zpoint	HoldTime	TalkID
5-17405	475	-20		
5-17405	485	-19		
5-17405	476	21	2000	
5-17405	462	75		
5-17405	456	100	2000	
5-17405	447	140		
5-17405	439	199	1000	
5-17405	443	230		
5-17405	423	260		
5-17405	407	286	2000	
5-17405	441	320		
5-17405	454	314		
5-17405	471	333	1000	
5-17440	14	326		
5-17440	-10	336		
5-17440	-34	355		
5-17440	-59	364		
5-17440	-84	377		
5-17440	-96	385	3000	convoy_talk_17440_6
5-17440	-122	370		
5-17440	-145	350		
5-17440	-160	314		
5-17440	-141	296		
5-17440	-121	269		
