STRING	STRING	STRING	STRING	STRING
ID	Xpoint	Zpoint	HoldTime	TalkID
13-20202	610	396		
13-20202	584	396		
13-20202	557	397		
13-20202	528	398		
13-20202	528	404		
13-20202	528	424		
13-20202	522	442		
13-20202	498	442		
13-20202	466	442		
13-20202	437	443		
13-20202	424	443		
13-20202	424	466		
13-20202	424	474		
13-20202	425	504		
13-20202	425	526		
13-20202	425	543		
13-20202	424	568		
13-20202	424	577		
13-20202	424	593		
13-20202	424	617		
13-20202	423	637		
13-20202	423	661		
13-20202	423	672		
13-20202	423	689		
13-20202	422	709		
13-20202	423	735		
13-20202	423	750		
13-20202	424	765		
13-20202	424	793		
13-20202	425	820		
13-20202	426	842		
13-20202	428	867		
13-20202	429	881		
13-20202	433	906		
13-20202	441	926		
13-20202	459	941		
13-20202	469	958		
13-20457	645	382		
13-20457	666	383		
13-20457	686	383		
13-20457	686	364		
13-20457	686	326		
13-20457	686	294		
13-20457	686	260		
13-20457	703	260		
13-20457	710	260		
				
15-20306	1639	435		
15-20306	1645	428		
15-20306	1648	434		
15-20306	1655	435		
15-20306	1662	435		
15-20306	1672	426		
15-20306	1683	414		
15-20306	1687	403		
15-20306	1692	388		
15-20306	1704	376		
15-20306	1717	368		
15-20306	1726	359		
15-20306	1740	358		
15-20306	1755	358		
15-20306	1770	358		
15-20306	1787	358		
15-20306	1799	367		
15-20306	1799	369		
15-20306	1790	369		
15-20306	1790	380		
15-20306	1790	389		
15-20306	1790	403		
15-20306	1790	416		
15-20306	1789	426		
15-20306	1777	436		
				
15-20311	1639	435		
15-20311	1645	428		
15-20311	1648	434		
15-20311	1655	435		
15-20311	1662	435		
15-20311	1672	426		
15-20311	1683	414		
15-20311	1687	403		
15-20311	1692	388		
15-20311	1704	376		
15-20311	1717	368		
15-20311	1726	359		
15-20311	1740	358		
15-20311	1755	358		
15-20311	1770	358		
15-20311	1787	358		
15-20311	1799	367		
15-20311	1799	369		
15-20311	1790	369		
15-20311	1790	380		
15-20311	1790	389		
15-20311	1790	403		
15-20311	1790	416		
15-20311	1789	426		
15-20311	1777	436		
