STRING	STRING	STRING	STRING	STRING
ID	Xpoint	Zpoint	HoldTime	TalkID
15-61010	1310	1430		
15-61010	1307	1431		
15-61010	1288	1431		
15-61010	1249	1431		
15-61010	1227	1430		
15-61010	1194	1431		
15-61010	1192	1411		
15-61010	1191	1382		
15-61010	1190	1365		
15-61010	1189	1349		
15-61010	1189	1296		
15-61010	1210	1259		
15-61010	1224	1257		
15-61010	1234	1250		
15-61010	1235	1236		
15-61010	1236	1217		
15-61010	1235	1189		
15-61010	1236	1160		
15-61010	1237	1103		
15-61010	1236	1075		
15-61010	1236	1047		
15-61010	1246	1019		
16-61012	1061	760		
16-61012	1061	740		
16-61012	1058	707		
16-61012	1059	674		
16-61012	1058	625		
16-61012	1076	620		
16-61012	1092	621		
16-61012	1119	624		
16-61036	1058	554		
16-61036	1058	531		
16-61036	1059	512		
16-61036	1060	500		
16-61036	1061	492		
594-61051	1458	197		
594-61051	1454	194		
594-61051	1448	193		
594-61051	1443	196		
594-61051	1437	196		talk_qyby02_5
594-61051	1429	200		
594-61051	1409	196		talk_qyby02_9
594-61051	1379	185	6000	talk_qyby02_1
594-61051	1419	169		
594-61051	1428	164		talk_qyby02_6
594-61051	1430	162		
594-61051	1432	158		
594-61051	1427	141		
594-61051	1422	135	6000	talk_qyby02_2
594-61051	1429	134		
594-61051	1433	122		talk_qyby02_8
594-61051	1461	111	6000	talk_qyby02_3
594-61051	1489	118		
594-61051	1492	123		
594-61051	1494	130	6000	talk_qyby02_4
594-61051	1474	147		
594-61051	1458	147		
594-61051	1444	154		
594-61051	1429	163		talk_qyby02_7
594-61051	1420	172		
594-61051	1406	182		
