STRING	STRING	STRING	STRING	STRING
ID	Xpoint	Zpoint	HoldTime	TalkID
10-42332	398	764	0	
10-42332	401	771	0	
10-42332	396	775	0	
10-42332	395	787	0	
10-42332	398	805	0	
10-42332	404	821	0	
10-42332	421	828	0	
10-42332	428	833	0	
10-42332	432	853	0	
10-42332	431	872	0	
10-42332	431	893	0	
10-42332	433	922	0	
10-42332	434	942	2000	convoy_talk_42332_1
10-42332	458	951	0	
10-42332	520	963	0	
10-42332	558	988	2000	convoy_talk_42332_2
10-42332	624	1030	0	
10-42332	651	1082	0	
10-42332	655	1108	0	
16-42295	609	154	0	
16-42295	621	154	0	
16-42295	642	154	0	
16-42295	641	130	0	
16-42295	629	122	0	
16-42295	609	118	0	
16-42295	608	101	0	
16-42295	606	90	2000	convoy_talk_42295_1
16-42295	606	89	0	
16-42295	603	89	2000	convoy_talk_42295_2
16-42295	603	85		
5-42018	467	-189	0	
5-42018	468.6	-168	0	
5-42018	445	-167	0	
5-42018	446	-121	0	
5-42018	466	-113.8	0	convoy_talk_42018
5-42018	469	-101	5	
5-42034	114	-5	0	convoy_talk_42034
5-42034	111	1.6	0	
5-42034	122	18.3	0	convoy_talk_42035
5-42034	131	31	0	
5-42040	466	-210	0	
5-42040	467	-199	0	
5-42040	467	-189	0	
5-42040	468.6	-168	0	
5-42040	445	-167	0	
5-42040	446	-121	0	
5-42040	466	-113.8	0	convoy_talk_42040
5-42040	469	-101	5	
5-42066	319	-112	0	
5-42066	319	-140	0	
5-42066	319	-203	0	
5-42066	319	-210.8	0	
5-42066	319	-260	1000	convoy_talk_42066
5-42066	289.7	-260.8	0	
5-42072	319	-112	0	
5-42072	319	-140	0	
5-42072	319	-203	0	
5-42072	319	-210.8	0	
5-42072	319	-260	1000	convoy_talk_42072
5-42072	289.7	-260.8	0	
5-42208	114.56	416.23	0	
5-42208	137.67	452.31	0	
5-42208	141.27	485.63	0	
5-42208	156.56	522.88	0	
5-42208	166.19	546.42	1000	convoy_talk_42208_1
5-42208	166	550.98	0	
5-42211	239.57	549.35	0	
5-42211	270.76	568.52	0	
5-42211	298.78	573.51	0	
5-42211	339.05	573.64	1000	convoy_talk_42211_1
5-42211	342.38	573.64	0	
5-42099	353.34	-163.13	0	
5-42099	352.03	-144.14	0	
5-42099	301.26	-105.06	0	
5-42099	303.19	-80.15	0	
5-42099	320.72	-62.16	0	
5-42099	275	2	0	
5-42099	231	1	0	
5-42099	230	-9	3000	
5-42099	230	-11	0	
5-42124	554.06	410.97	0	
5-42124	534.8	429.54	0	
5-42124	523.7	450.85	0	
5-42124	513.37	477.98	0	
5-42124	514	478	0	
5-42127	671.36	387.53	0	
5-42127	669.46	357.42	0	
5-42127	663.28	335.33	0	
5-42127	675.61	317.38	1000	
5-42127	673.75	285.09	200	
5-42127	654.04	271.21	0	
5-42129	548	384	0	
5-42129	557.59	401.25	0	
5-42129	536.59	425.05	0	
5-42129	515.34	430.06	2000	
5-42129	507.09	434.67	0	
5-42132	551.13	386.37	0	
5-42132	554.06	410.97	0	
5-42132	530.68	434.37	0	
5-42132	518.68	464.04	0	
5-42132	512.15	481.18	80	
5-42132	510.49	484.55	2000	
5-42132	519	485	0	
5-42139	644.74	257.28	0	
5-42139	673.97	289.41	0	
5-42139	713.46	298.13	2000	
5-42139	718.46	299.13	2000	
5-42139	719.44	299.06	0	
5-42195	302.4	-196.73	0	
5-42195	315.95	-194.85	0	
5-42195	317.53	-167.33	0	
5-42195	318.83	-143.46	0	
5-42195	315.65	-112.72	0	
5-42195	308.43	-109.48	2000	
5-42195	304.87	-106.22	0	convoy_talk_42195_7
5-42223	76.17	239.21	0	
5-42223	84.02	265.36	0	
5-42223	80.1	287.53	0	
5-42223	53.74	286.28	0	
5-42223	24.6	284.55	0	
5-42223	13.24	305.53	0	
5-42223	-11.5	313.38	0	
5-42223	-31.44	319.63	2000	
5-42223	-33.57	324.39	0	
5-42081	354	-144	0	
5-42081	320	-140	0	
5-42081	320	-206	0	
5-42081	317	-262	0	
5-42081	277	-263	0	
5-42081	284.7	-273.4	0	convoy_talk_42081_6
5-42142	655.58	248.86	0	
5-42142	666.66	226.79	0	
5-42142	684.76	211.07	0	
5-42142	686.12	209.88	2000	convoy_talk_42142_2
5-42142	687.2	208.94	0	
16-42289	609	232	0	
16-42289	610	213	0	
16-42289	609	197	0	
16-42289	610	183	0	
16-42289	609	168	0	
16-42289	609	157	2000	
16-42289	607	154	2000	
16-42289	602	154	0	
16-42315	483	224	0	
16-42315	480	240	0	
16-42315	480	257	0	
16-42315	480	277	0	
16-42315	487	295	0	
16-42315	492	308	2000	
16-42315	495	319	0	
16-42315	480	329	2000	
16-42315	467	337	0	
16-42315	455	343	8000	
16-42315	443	351	0	
16-42315	434	357	4000	
16-42315	425	359	0	
10-42344	336	748	0	
10-42344	348	746	0	
10-42344	359	737	0	
10-42344	367	726	0	
10-42344	374	713	0	
10-42344	380	701	2000	convoy_talk_42344_1
10-42344	385	687	0	
10-42344	390	672	0	
10-42344	396	658	2000	
10-42344	404	649	0	
10-42346	734	832	0	
10-42346	728	844	0	
10-42346	722	855	0	
10-42346	711	868	0	
10-42346	701	877	0	
10-42346	689	888	2000	convoy_talk_42346_1
10-42346	679	897	0	
10-42346	668	905	0	
10-42346	656	914	0	
10-42346	644	927	0	
10-42346	636	936	0	
10-42346	633	947	0	
10-42346	626	971	0	
10-42346	628	984	0	
10-42346	627	1001	0	
10-42346	629	1016	0	
10-42346	629	1032	0	
10-42346	630	1048	0	
10-42346	632	1061	0	
10-42346	632	1081	0	
10-42346	645	1095	2000	convoy_talk_42346_2
10-42346	647	1103	2000	
10-42346	652	1101	0	
10-42366	653	118	0	
10-42366	645	111	0	
10-42366	636	103	0	
10-42366	626	96	0	
10-42366	610	89	0	
10-42366	597	89	0	
10-42366	583	89	0	
10-42366	580	98	2000	convoy_talk_42366_1
10-42366	565	90	0	
10-42366	549	89	0	
10-42366	533	97	0	
10-42366	528	108	0	
10-42366	526	118	0	
10-42366	525	134	0	
10-42366	522	147	0	
10-42366	508	147	0	
10-42366	508	152	0	
10-42366	495	154	2000	convoy_talk_42366_2
10-42366	491	154	2000	
10-42366	487	154	0	
5-42009	401	246	0	
5-42009	406	254	0	
5-42009	430	251	3000	convoy_talk_42010
5-42009	450	232	0	
5-42009	457	227	0	
