STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	ItemId	NpcId	RefreshMonster	CountEx	Count	Droprate	TrackInfo	SceneId	TaskID	HideNpcID
6505	taskitem_yl162				1		collectinfo_6505		45526	
6506	taskitem_yl163				1		collectinfo_6506		45526	
6504	item_yirong_07				1		collectinfo_6504		45526	
6508	item_yirong_08				1		collectinfo_6508		45527	
6509	taskitem_yl166				1		collectinfo_6509	3	45528	
6511	item_yirong_12				1		collectinfo_6511		45529	
6512	item_yirong_10				1		collectinfo_6512		45529	
6513	item_yirong_09				1		collectinfo_6513		45530	
6507	Óñ¾«				20		collectinfo_6507			
6518	taskitem_yl173				1		collectinfo_6518		45924	
6520	taskitem_yl173				1		collectinfo_6520		45927	
6522	taskitem_yl173				1		collectinfo_6522		45930	
6524	taskitem_yl173				1		collectinfo_6524		45933	
6526	taskitem_yl173				1		collectinfo_6526		45936	
6528	taskitem_yl173				1		collectinfo_6528		45939	
6530	taskitem_yl173				1		collectinfo_6530		45942	
6532	taskitem_yl173				1		collectinfo_6532		45945	
6533	item_h_xiashan_01				1		collectinfo_6533		45947	
6534	item_h_xiashan_01				1		collectinfo_6534		45948	
6535	item_h_xiashan_01				1		collectinfo_6535		45949	
6536	item_h_xiashan_01				1		collectinfo_6536		45950	
6537	item_h_xiashan_01				1		collectinfo_6537		45951	
6538	item_h_xiashan_01				1		collectinfo_6538		45952	
6539	item_h_xiashan_01				1		collectinfo_6539		45953	
6540	item_h_xiashan_01				1		collectinfo_6540		45954	
6542	taskitem_yl175				1		collectinfo_6542	10	45948	
6543	taskitem_yl176				1		collectinfo_6543	11	45949	
6510	item_yirong_05				15		collectinfo_6510		45528	
6541	taskitem_yl174				1		collectinfo_6541	12	45947	
6544	taskitem_yl177				1		collectinfo_6544	6	45950	
6545	taskitem_yl178				1		collectinfo_6545	9	45951	
6546	taskitem_yl179				1		collectinfo_6546	8	45952	
6547	taskitem_yl180				1		collectinfo_6547	5	45953	
6548	taskitem_yl181				1		collectinfo_6548	7		
6500	ore_1007				2		collectinfo_6500		45525	
6503	cropper_60005				2		collectinfo_6503		45525	
6515	duyao10012				10		collectinfo_6515		45531	
6516	caiyao10197				5		collectinfo_6516		45531	
6514	duyao10291				10		collectinfo_6514		45531	
6501	duyao90006				10		collectinfo_6501		45525	
6502	yaopin90006				10		collectinfo_6502		45525	
6517	taskitem_yl172				10		collectinfo_6517		45923	
6519	taskitem_yl172				10		collectinfo_6519		45926	
6521	taskitem_yl172				10		collectinfo_6521		45929	
6523	taskitem_yl172				10		collectinfo_6523		45932	
6525	taskitem_yl172				10		collectinfo_6525		45935	
6527	taskitem_yl172				10		collectinfo_6527		45938	
6529	taskitem_yl172				10		collectinfo_6529		45941	
6531	taskitem_yl172				10		collectinfo_6531		45944	
6557	taskitem_yl172				10		collectinfo_6557			
6558	taskitem_yl173				1		collectinfo_6558		45582	
6560	item_h_xiashan_01				1		collectinfo_6560			
6559	taskitem_yl183				1		collectinfo_6559	769		
6561	taskitem_yl172				10		collectinfo_6561		45611	
6562	taskitem_yl184				1		collectinfo_6562	832	45614	
6563	item_h_xiashan_01				1		collectinfo_6563		45614	
