NPC编号	对象类型	名称	头像	模型编号	NPC种类ID	NPC类型	响应范围	脚本编号	传送包编号	是否可选中	鼠标形状	AI编辑包	正常流程传送包编号
STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	script	Name	Photo	Resource	CKindID	NpcType	SpringRange	LuaScript	DoorPackageID	SelectState	CursorShape	AIEditorPackID	CloneDoorPackageID
	//副本场景传送门												
DoorNpcclone001	Door	孔雀副本结束出口	icon\funcnpc\clonedoor.png	npc\export001	4	42	3	npc\out_clone_door_npc.lua		2	4		1021
DoorNpcclone001a	Door	孔雀副本结束出口	icon\funcnpc\clonedoor.png	npc\fbmac021010	4	42	3	npc\out_clone_door_npc.lua		2	4		1021
DoorNpcclone0017	Door	狱下之狱副本出口	icon\funcnpc\clonedoor.png	npc\itemnpc057k	4	42	10	npc\out_clone_door_npc.lua		2	4		1022
DoorNpcclone003	Door	暮色之村出口	icon\funcnpc\clonedoor.png	npc\funcnpc019	4	42	3	npc\out_clone_door_npc.lua		2	4		1024
DoorNpcclone002001	Door	龙门客栈出口1	icon\funcnpc\clonedoor.png	npc\export001	4	42	3	npc\out_clone_door_npc.lua		2	4		1025
DoorNpcclone002002	Door	龙门客栈出口2	icon\funcnpc\clonedoor.png	npc\funcnpc018	4	42	3	npc\out_clone_door_npc.lua		2	4		1025
DoorNpcclone007001	Door	武当出师副本出口	icon\funcnpc\clonedoor.png	npc\itemnpc057k	4	42	3	npc\out_clone_door_npc.lua		2	4		1027
DoorNpcclone007002	Door	武当出师副本出口（困难、地狱）	icon\funcnpc\clonedoor.png	npc\itemnpc057k	4	42	3	npc\out_clone_door_npc.lua		2	4		1109
DoorNpcclone009001	Door	舍身崖结束出口	icon\funcnpc\clonedoor.png	npc\funcnpc018	4	42	100	npc\out_clone_door_npc.lua		2	4		1028
DoorNpcclone009002	Door	舍身崖初始出口	icon\funcnpc\clonedoor.png	npc\itemnpc057k	4	42	100	npc\out_clone_door_npc.lua		2	4		1029
DoorNpcclone009003	Door	舍身崖结束出口2	icon\funcnpc\clonedoor.png	npc\export001	4	42	3	npc\out_clone_door_npc.lua		2	4		1028
DoorNpcclone005001	Door	木人巷出口	icon\funcnpc\clonedoor.png	npc\funcnpc019	4	42	10	npc\out_clone_door_npc.lua		2	4		1030
DoorNpcclone019001	Door	极乐谷初始出口	icon\funcnpc\clonedoor.png	npc\itemnpc057k	4	42	5	npc\out_clone_door_npc.lua		2	4		1031
DoorNpcclone019002	Door	极乐谷结束出口	icon\funcnpc\clonedoor.png	npc\export001	4	42	5	npc\out_clone_door_npc.lua		2	4		1031
DoorNpcclone004001	Door	雁门关出口	icon\funcnpc\clonedoor.png	npc\funcnpc019	4	42	5	npc\out_clone_door_npc.lua		2	4		1033
DoorNpcclone013001	Door	万毒宫副本初始出口	icon\funcnpc\clonedoor.png	npc\funcnpc018	4	42	1	npc\out_clone_door_npc.lua		2	4		1034
DoorNpcclone013002	Door	万毒宫副本结束出口	icon\funcnpc\clonedoor.png	npc\itemnpc057k	4	42	1	npc\out_clone_door_npc.lua		2	4		1035
DoorNpcclone021001	Door		icon\funcnpc\clonedoor.png	npc\funcnpc018	4	42	3	npc\out_clone_door_npc.lua		2	4		1036
DoorNpcclone011001	Door	杏子林副本初始出口	icon\funcnpc\clonedoor.png	npc\funcnpc018	4	42	3	npc\out_clone_door_npc.lua		2	4		1037
DoorNpcclone011002	Door	杏子林副本结束出口	icon\funcnpc\clonedoor.png	npc\itemnpc057k	4	42	3	npc\out_clone_door_npc.lua		2	4		1038
DoorNpcadv033	Door	水府洞天出口	icon\funcnpc\clonedoor.png	npc\itemnpc057qgyd	4	42	2		2000	2	4		
DoorNpcadv032	Door	侠客洞出口	icon\funcnpc\clonedoor.png	npc\funcnpc019	4	42	2		2001	2	4		
DoorNpcadv023	Door	残塔出口	icon\funcnpc\clonedoor.png	npc\funcnpc019	4	42	1		2002	2	4		
DoorNpcadv101	Door	雪峰传送门	icon\funcnpc\clonedoor.png	npc\funcnpc019	4	42	2		2003	2	4		
DoorNpcadv100	Door	古狱传送门	icon\funcnpc\clonedoor.png	npc\funcnpc019	4	42	2		2004	2	4		
PlotDoor00024	Door	青羊宫传送成都	icon\funcnpc\clonedoor.png	npc\itemnpc057k	4	49	2		2011	2	4		
DoorNpc00338	Door	情侣心魔幻境出口	icon\funcnpc\clonedoor.png	npc\funcnpc019	4	42	2	npc\out_clone_door_npc.lua		2	4		2000
DoorNpcadv040001	Door	晴瑶宫	icon\funcnpc\clonedoor.png	npc\funcnpc019	4	42	2	npc\out_clone_door_npc.lua		2	4		1166
DoorNpcclonezone001	Door	蝙蝠洞出	icon\funcnpc\clonedoor.png	npc\funcnpc019	4	42	2	npc\out_clone_door_npc.lua		2	4		1171
DoorNpcclonezone002	Door	无争山庄出	icon\funcnpc\clonedoor.png	npc\funcnpc019	4	42	2	npc\out_clone_door_npc.lua		2	4		1172
DoorNpcclonetower001	Door	通天峰出	icon\funcnpc\clonedoor.png	npc\funcnpc019	4	42	2		1173	2	4		
DoorNpcclone038001	Door	大漠鬼城禁地出口	icon\funcnpc\clonedoor.png	npc\funcnpc019	4	42	2	npc\out_clone_door_npc.lua		2	4		1175
DoorNpcclone691001	Door	千苍峡禁地出口	icon\funcnpc\clonedoor.png	npc\funcnpc018	4	42	2	npc\out_clone_door_npc.lua		2	4		1177
