NPC编号	对象类型	名称	模型编号	NPC类型	NPC种类ID	响应范围	选择状态	脚本编号	玩家最多传送人数（-1：不限制）	玩家传送坐标	npc最多传送人数（-1：不限制）	npc传送坐标	AI编辑包
STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	script	Name	Resource	NpcType	CKindID	SpringRange	SelectState	LuaScript	PlayerTransferNum	PlayerTransferPosition	NpcTransferNum	NpcTransferPosition	AIEditorPackID
													
GotoDoorNpc00001	GotoDoor	天宫传送门//已废弃	npc\funcNPC004	43		4	2	npc\goto_door_npc.lua	-1	"748,127,202,0/968,127,204,0/861,127,92,0/863,127,307,0"	0		
GotoDoorNpc00002	GotoDoor	密道	npc\funcNPC004	43		2	2	npc\goto_door_npc.lua	2	"887,140,376,0"	0		
GotoDoorNpc00003	GotoDoor	天宫至金相传送门	npc\itemnpc057	43		4	2	npc\goto_door_npc.lua	-1	"979,127,201,4.83"	0		
GotoDoorNpc00004	GotoDoor	天宫至水相传送门	npc\itemnpc057	43		4	2	npc\goto_door_npc.lua	-1	"864,128,321,3.2"	0		
GotoDoorNpc00005	GotoDoor	天宫至风相传送门	npc\itemnpc057	43		4	2	npc\goto_door_npc.lua	-1	"743,127,205,1.4"	0		
GotoDoorNpc00006	GotoDoor	天宫至火相传送门	npc\itemnpc057	43		4	2	npc\goto_door_npc.lua	-1	"864,128,84,6.16"	0		
GotoDoorNpc00007	GotoDoor	坐标传送7	npc\itemnpc057	43		20	2	npc\goto_door_npc.lua	-1	"931,128,204,0/863,128,138,0/798,128,204,0/881,140,327,0"	0		
GotoDoorNpc00008	GotoDoor	五行牢房出口//已废弃	npc\fbmac00013	43		10	2	npc\goto_door_npc_click.lua	-1	"426.09,116.41,396.29,3.64"	0		
GotoDoorNpc00009	GotoDoor	地宫传天宫门//已废弃	npc\funcNPC004	43		4	2	npc\goto_door_npc.lua	-1	"522.065,134.93,206.199,0"	0		
GotoDoorNpc00010	GotoDoor	花寡妇陷阱传送门	npc\itemnpc057	43		40	2	npc\goto_door_npc.lua	-1	"931,128.4,204,0/863,128.4,138,0/798,128.4,204,0/881,140.4,327,0"	0		
GotoDoorNpc00011	GotoDoor	到白虎地宫传送门//已废弃	npc\itemnpc057	43		30	2	npc\goto_door_npc.lua	-1	"955.937,127.58,203.049,1.54"			
GotoDoorNpc00012	GotoDoor	到玄武地宫传送门//已废弃	npc\itemnpc057	43		30	2	npc\goto_door_npc.lua	-1	"863.014,127.488,294.725,0.002"			
GotoDoorNpc00013	GotoDoor	到青龙地宫传送门//已废弃	npc\itemnpc057	43		30	2	npc\goto_door_npc.lua	-1	"748.814,127.386,202.556,1.56"			
GotoDoorNpc00014	GotoDoor	到朱雀地宫传送门//已废弃	npc\itemnpc057	43		30	2	npc\goto_door_npc.lua	-1	"852.977,127.652,91.21,0.61"			
GotoDoorNpc00015	GotoDoor	中陷阱传送五行阵	npc\itemnpc057	43		30	2	npc\goto_door_npc.lua	-1	"542.982,122.384,353.446,0.32"			
													
DoorClone007001	GotoDoor	密道入口	npc\itemnpc057	43		4	2	npc\goto_door_npc.lua	-1		0		
DoorClone007002	GotoDoor	开门	npc\itemnpc057	43		4	2	npc\goto_door_npc.lua	-1		0		
													
GotoDoorNpc002001	GotoDoor	客栈传送关外	npc\itemnpc057	43		3	2	npc\goto_door_npc.lua	-1	"1331,3,102,-1.12"	-1	"1331,3,102,-1.12"	
GotoDoorNpc002002	GotoDoor	密道出口传送至客栈	npc\itemnpc057	43		3	2	npc\goto_door_npc.lua	-1	"590,13.796,295.379,0.151"	0		
													
DoorClone005001	GotoDoor	至前木人区(进入木人巷地宫）	npc\itemnpc057k	43		2	2	npc\goto_door_npc.lua	-1	"317.757,145.183,-125.989,1.622"	0		
DoorClone005002	GotoDoor	至武僧院（前往武僧院）	npc\itemnpc057k	43		2	2	npc\goto_door_npc.lua	-1	"474.084,150.000,588.790,-1.591"	0		
DoorClone005003	GotoDoor	至八角楼（进入八角楼）	npc\itemnpc057k	43		2	2	npc\goto_door_npc.lua	-1	"589.950,52.236,655.960,0.751"	0		
DoorClone005004	GotoDoor	至后精英区（前往木人巷地宫）	npc\itemnpc057k	43		2	2	npc\goto_door_npc.lua	-1	"505.536,49.815,-3.168,3.133"	0		
