NPC编号	实力包编号	级别	对象类型	名称	模型编号	头像	类型	NPC种类ID	选择操作分类	脚本编号	机关npc类型	绑定时持续添加的buff	绑定点名字	绑定后npc进行的动作名字	绑定后玩家进行的动作名字	NPC阵营	门派	技能表	准心技能	响应范围	AI编辑包	刷新时间	鼠标形状	锁定位移攻击	禁播受击动作	能否攻击	能不能被攻击	不能被杀死	路径编号	相对转动角度(填写该属性则出现准心，npc变为可旋转)		
STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING		
ID	PowerNo	Level	script	Name	Resource	Photo	NpcType	CKindID	SelectState	LuaScript	DriveNpcType	AddBufferID	BandPointName	NpcBandAction	PlayerBandAction	Camp	School	table@SkillRec	table@CoordSkillRec	SpringRange	AIEditorPackID	RefreshTime	CursorShape	Fixed	FixedBeHitAct	CantAttack	CantBeAttack	CantBeKilled	PathID	TurnAngel		
																																
DriveNpc0001	14	80	DriveNpc	镇关火炮	npc\fbmac002001	icon\funcnpc\clonedoor.png	163	4	2	npc\clone\clone002\DriveNpc0001.lua	1	buf_CannonNpc0001	Model::effect_02	Tpose	stand			"cannon_01,1,0;cannon_02,1,0;cannon_left,1,0;cannon_right,1,0"		3		-1		1	1							
DriveNpc0003	14	80	DriveNpc	镇关火炮	npc\fbmac002001	icon\funcnpc\clonedoor.png	163	4	2	npc\clone\clone002\DriveNpc0003.lua	1	buf_CannonNpc0001	Model::effect_02	Tpose	stand			"cannon_01,1,0;cannon_02,1,0;cannon_left,1,0;cannon_right,1,0"		3		-1		1	1							
DriveNpc0004	14	80	DriveNpc	镇关火炮	npc\fbmac002001	icon\funcnpc\clonedoor.png	163	4	2	npc\clone\clone002\DriveNpc0004.lua	1	buf_CannonNpc0001	Model::effect_02	Tpose	stand			"cannon_01,1,0;cannon_02,1,0;cannon_left,1,0;cannon_right,1,0"		3		-1		1	1							
DriveNpc0005	14	80	DriveNpc	镇关火炮	npc\fbmac002001	icon\funcnpc\clonedoor.png	163	4	2	npc\clone\clone002\DriveNpc0005.lua	1	buf_CannonNpc0001	Model::effect_02	Tpose	stand			"cannon_01,1,0;cannon_02,1,0;cannon_left,1,0;cannon_right,1,0"		3		-1		1	1							
DriveNpc0006	14	80	DriveNpc	镇关火炮	npc\fbmac002001	icon\funcnpc\clonedoor.png	163	4	2	npc\clone\clone002\DriveNpc0006.lua	1	buf_CannonNpc0001	Model::effect_02	Tpose	stand			"cannon_01,1,0;cannon_02,1,0;cannon_left,1,0;cannon_right,1,0"		3		-1		1	1							
DriveNpc0007	14	80	DriveNpc	雁门镇关火炮	npc\fbmac002001	icon\funcnpc\clonedoor.png	163	4	2	npc\clone\clone002\DriveNpc0006.lua	1	buf_CannonNpc0001	Model::effect_02	Tpose	stand			"cannon_01,1,0;cannon_02,1,0;cannon_left,1,0;cannon_right,1,0"		3		-1		1	1							
DriveNpc0002	1	1	DriveNpc	骑乘军马	npc\ride_horse_0101	icon\monster\monster550.png	163	4	2		1									3												
	//无门派																															
wmp_2ndy_hj	1	80	DriveNpc	无门派喝酒	npc\fbmac004012d	icon\funcnpc\clonedoor.png	163	4	2	npc\clone\clone002\DriveNpc0006.lua	1	buf_wmp_2ndy_hj	Model::effect_02	Tpose	interact420					3		-1	5	1	1							
wmp_2ndy_yx	1	80	DriveNpc	无门派喝酒	npc\fbmac004012d	icon\funcnpc\clonedoor.png	163	4	2	npc\clone\clone002\DriveNpc0006.lua	1	buf_wmp_2ndy_hj1	Model::effect_02	Tpose	interact420					3		-1	5	1	1							
wmp_2nglm_drink01	1	80	DriveNpc	无门派喝酒	npc\fbmac004012d	icon\funcnpc\clonedoor.png	163	4	2	npc\clone\clone002\DriveNpc0006.lua	1	buf_wmp_2n_sitdown	Model::effect_02	Tpose	interact420					3		-1	5	1	1							
																																
																																
	//吴真大闹																															
wuzhendapao_0001	14	80	DriveNpc	镇关火炮	npc\fbmac002001	icon\funcnpc\clonedoor.png	163	4	2	npc\clone\clone002\DriveNpc0001.lua	1	buf_CannonNpc0001	Model::effect_02	Tpose	stand			"cannon_01,1,0;cannon_02,1,0;cannon_left,1,0;cannon_right,1,0"		3		-1		1	1							
wuzhendapao_0002	14	80	DriveNpc	镇关火炮	npc\fbmac002001	icon\funcnpc\clonedoor.png	163	4	2	npc\clone\clone002\DriveNpc0003.lua	1	buf_CannonNpc0001	Model::effect_02	Tpose	stand			"cannon_01,1,0;cannon_02,1,0;cannon_left,1,0;cannon_right,1,0"		3		-1		1	1							
																																
DriveNpc0008	1	80	DriveNpc	龙船火炮	npc\fbmac002001	icon\funcnpc\clonedoor.png	163	4	2	npc\clone\clone002\DriveNpc0006.lua	1	buf_CannonNpc0001	Model::effect_02	Tpose	stand			"skill_clone022_006,1,0"		3		-1		1	1							
DriveNpc0009	1	80	DriveNpc	赌船1	npc\fbmac004012	icon\funcnpc\clonedoor.png	163	4	2	npc\clone\clone002\DriveNpc0006.lua	1	buf_adv009_vip6	Model::effect_02	Tpose	stand			"skilladv009001,1,0;skilladv009002,1,0;skilladv009003,1,0;skilladv009004,1,0;skilladv009005,1,0"		3		-1	5	1	1							
DriveNpc0010	1	80	DriveNpc	赌船2	npc\fbmac004012	icon\funcnpc\clonedoor.png	163	4	2	npc\clone\clone002\DriveNpc0006.lua	1	buf_adv009_vip6	Model::effect_02	Tpose	stand			"skilladv009001,1,0;skilladv009002,1,0;skilladv009003,1,0;skilladv009004,1,0;skilladv009005,1,0"		3		-1	5	1	1							
DriveNpc0011	1	80	DriveNpc	赌船3	npc\fbmac004012	icon\funcnpc\clonedoor.png	163	4	2	npc\clone\clone002\DriveNpc0006.lua	1	buf_adv009_vip6	Model::effect_02	Tpose	stand			"skilladv009001,1,0;skilladv009002,1,0;skilladv009003,1,0;skilladv009004,1,0;skilladv009005,1,0"		3		-1	5	1	1							
DriveNpc0012	1	80	DriveNpc	赌船4	npc\fbmac004012	icon\funcnpc\clonedoor.png	163	4	2	npc\clone\clone002\DriveNpc0006.lua	1	buf_adv009_vip6	Model::effect_02	Tpose	stand			"skilladv009001,1,0;skilladv009002,1,0;skilladv009003,1,0;skilladv009004,1,0;skilladv009005,1,0"		3		-1	5	1	1							
DriveNpc0013	1	80	DriveNpc	赌船5	npc\fbmac004012	icon\funcnpc\clonedoor.png	163	4	2	npc\clone\clone002\DriveNpc0006.lua	1	buf_adv009_vip6	Model::effect_02	Tpose	stand			"skilladv009001,1,0;skilladv009002,1,0;skilladv009003,1,0;skilladv009004,1,0;skilladv009005,1,0"		3		-1	5	1	1							
DriveNpc0014	1	80	DriveNpc	赌船6	npc\fbmac004012	icon\funcnpc\clonedoor.png	163	4	2	npc\clone\clone002\DriveNpc0006.lua	1	buf_adv009_vip6	Model::effect_02	Tpose	stand			"skilladv009001,1,0;skilladv009002,1,0;skilladv009003,1,0;skilladv009004,1,0;skilladv009005,1,0"		3		-1	5	1	1							
