NPC编号	对象类型	名称	模型编号	触发范围	NPC类型	走路速度	跑步速度	相对位置	子怪物	巡逻模式	AI类型	追击范围	路径编号	能否死亡	脚本编号	AI编辑包	刷新时间
STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	script	Name	Resource	SpringRange	NpcType	WalkSpeed	RunSpeed	PosList	ChildList	PatrolMode	AITemplate	ChaseRange	PathID	CanDead	LuaScript	AIEditorPackID	RefreshTime
																	
Leader_clone001_019	TeamLeaderNpc	巡逻山贼（低）	npc\itemnpc057		11	1.5	5	"0,1;-1,-1"	npcclone001011;npcclone001011	1	6	0	AI_clone001_017	1			
Leader_clone001_020	TeamLeaderNpc	巡逻山贼（中）	npc\itemnpc057		11	1.5	5	"0,1;-1,-1"	npcclone001219;npcclone001219	1	6	0	AI_clone001_017	1			
Leader_clone001_021	TeamLeaderNpc	巡逻山贼（高）	npc\itemnpc057		11	1.5	5	"0,1;-1,-1"	npcclone001319;npcclone001319	1	6	0	AI_clone001_017	1			
																	
Leader_clone002_001	TeamLeaderNpc	废弃	npc\itemnpc057e		11	3.5	5	"0,0;1,-1;-1,-1"	funnpcclone002001;funnpcclone002007;funnpcclone002008	1	6	0	clone002_001	1			
Leader_clone002_003	TeamLeaderNpc	节点之前，沈义山至斫镇门口	npc\itemnpc057e		11	3.5	5	"0,0;1,-1;-1,-1"	bossclone002028;bossclone002014;bossclone002017	1	6	0	clone002_003	1			
Leader_clone002_005	TeamLeaderNpc	节点之前，护送贾廷，陆小川至龙门客栈	npc\itemnpc057e		11	3.5	5	"0,0;1,-1;-1,-2;1,-2;-1,-3;1,-3;-1,-4;1,-4"	bossclone002009;bossclone002010;funnpcclone002027;funnpcclone002027;funnpcclone002027;funnpcclone002027;funnpcclone002027;funnpcclone002027	1	6	0	clone002_005	1			
Leader_clone002_006	TeamLeaderNpc	节点之前，崔杨队列	npc\itemnpc057e		11	3.5	5	"0,0;1,-2;1,-4;-1,-2;-1,-4"	bossclone002022;funnpcclone002019;funnpcclone002019;funnpcclone002019;funnpcclone002019	1	6	0	clone002_006	1			
Leader_clone002_101	TeamLeaderNpc	周淮安线，周淮安至胡人大营	npc\itemnpc057e		11	3.5	5	"0,0"	bossclone002004	1	6	0	clone002_012	1			
