NPC编号	对象类型	名称	模型编号	NPC类型	移动的时候是否旋转	走路速度	跑步速度	AI类型	巡逻模式	路径编号	是否碰撞	相对于自身的可站立高度	Xz平面上可站立范围类形	"StandShape=0时为半径StandShape=1时为长,垂直于面向"	"StandShape=1时为宽,平行于面向"	脚本编号	NPC绑定点	响应范围	有无响应	AI编辑包	模型预载入	存在时间
STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	script	Name	Resource	NpcType	MotionNoRotate	WalkSpeed	RunSpeed	AITemplate	PatrolMode	PathID	Collide	StandHeight	StandShape	ShapePara1	ShapePara2	LuaScript	table@LinkNpcRec	SpringRange	NoSpring	AIEditorPackID	Preload	LifeTime
																						
MacClone009002	FlyNpc	凌霄城电梯机关	npc\fbmac00244	48	1	1.2	3	8	0			3	1	3	3							
FlyClone019001	FlyNpc	销魂石(外)	npc\fbmac019021	48	1	0	0	8	0		0	3	0	1.4								
FlyClone019002	FlyNpc	销魂石(内)	npc\fbmac019021	48	1	0	0	8	0		0	3	0	1								
FlyClone019003	FlyNpc	销魂石(内)	npc\fbmac019032	48	1	0	0	8	0		0	3	0	1								
FlyClone019004	FlyNpc	飓风机关1	npc\itemnpc057p	48	1	7	7	8	0	clone019_017		3	0	1		npc\clone\clone019\WindDamage.lua				525		
FlyClone019005	FlyNpc	飓风机关2	npc\itemnpc057p	48	1	7	7	8	0	clone019_018		3	0	1		npc\clone\clone019\WindDamage.lua				525		
FlyClone019006	FlyNpc	飓风机关3	npc\itemnpc057p	48	1	7	7	8	0	clone019_019		3	0	1		npc\clone\clone019\WindDamage.lua				525		
FlyClone019007	FlyNpc	飓风机关4	npc\itemnpc057p	48	1	7	7	8	0	clone019_020		3	0	1		npc\clone\clone019\WindDamage.lua				525		
FlyClone019008	FlyNpc	飓风机关5	npc\itemnpc057p	48	1	7	7	8	0	clone019_021		3	0	1		npc\clone\clone019\WindDamage.lua				525		
FlyClone015001	FlyNpc	移动平台	npc\fbmac015019	48	1	3	3	8	0		1	3	0	3	3							
FlyClone021001	FlyNpc	休门	npc\fbmac021015	48	0	3	3	8	1	clone021_039		3	1	3	3	npc\clone\clone021\FlyClone021001.lua		10	0			
FlyClone021002	FlyNpc	生门	npc\fbmac021014	48	0	3	3	8	1	clone021_046		3	1	3	3	npc\clone\clone021\FlyClone021001.lua		10	0			
FlyClone021003	FlyNpc	伤门	npc\fbmac021013	48	0	3	3	8	1	clone021_045		3	1	3	3	npc\clone\clone021\FlyClone021001.lua		10	0			
FlyClone021004	FlyNpc	杜门	npc\fbmac021012	48	0	3	3	8	1	clone021_044		3	1	3	3	npc\clone\clone021\FlyClone021001.lua		10	0			
FlyClone021005	FlyNpc	景门	npc\fbmac021019	48	0	3	3	8	1	clone021_043		3	1	3	3	npc\clone\clone021\FlyClone021001.lua		10	0			
FlyClone021006	FlyNpc	死门	npc\fbmac021018	48	0	3	3	8	1	clone021_042		3	1	3	3	npc\clone\clone021\FlyClone021001.lua		10	0			
FlyClone021007	FlyNpc	惊门	npc\fbmac021017	48	0	3	3	8	1	clone021_041		3	1	3	3	npc\clone\clone021\FlyClone021001.lua		10	0			
FlyClone021008	FlyNpc	开门	npc\fbmac021016	48	1	0	0	8	0			3	1	3	3	npc\clone\clone021\FlyClone021001.lua		10	0			
FlyClone021009	FlyNpc	休门	npc\fbmac021015	48	1	0	0	8	0			3	1	3	3							
FlyClone021010	FlyNpc	生门	npc\fbmac021014	48	1	0	0	8	0			3	1	3	3							
FlyClone021011	FlyNpc	伤门	npc\fbmac021013	48	1	0	0	8	0			3	1	3	3							
FlyClone021012	FlyNpc	杜门	npc\fbmac021012	48	1	0	0	8	0			3	1	3	3							
FlyClone021013	FlyNpc	景门	npc\fbmac021019	48	1	0	0	8	0			3	1	3	3							
FlyClone021014	FlyNpc	死门	npc\fbmac021018	48	1	0	0	8	0			3	1	3	3							
FlyClone021015	FlyNpc	惊门	npc\fbmac021017	48	1	0	0	8	0			3	1	3	3							
FlyClone021016	FlyNpc	开门	npc\fbmac021016	48	1	0	0	8	0			3	1	3	3							
macclone013017	FlyNpc	离宫机关	npc\fbmac013017	48	1	1	1	8	0			3	1	6	6							
macclone013038	FlyNpc	出口机关	npc\fbmac013038	48	1	1	1	8	0			3	1	3	3							
MacClone007035	FlyNpc	武当入口机关门	npc\fbmac007002	48	1	1	1	8	0			3	1	3	3							
FlyClone015002	FlyNpc	大船	npc\fbmac015030	48	0	7	7	8	0	clone015_041	0	3	0	3	3		"FunnpcClone015017,-0.5,1.21,11.9,0;FunnpcClone015018,-1.3,0.8,6.96,0;FunnpcClone015019,-1.5,0.8,-4.1,0;FunnpcClone015020,2.9,0.88,1.25,0;"					
FlyClone015003	FlyNpc	小船	npc\fbmac015030	48	0	5	5	8	0	clone015_042	0	3	0	3	3							
FlyClone015004	FlyNpc	大船	npc\fbmac015030	48	0	8	8	8	0	school03_jztfb_250	0	3	0	3	3							
FlyClone015005	FlyNpc	小船	npc\fbmac015030	48	0	5	5	8	0	clone015_043	0	3	0	3	3							
																						
FlyClone017001	FlyNpc	机关通道踩踏地板砖1	npc\fbmac00522	48	0	0	0	8	0		1	3	0	3	3			3				
FlyClone017002	FlyNpc	机关通道踩踏地板砖2	npc\fbmac00523	48	0	0	0	8	0		1	3	0	3	3			3				
FlyClone017003	FlyNpc	机关通道踩踏地板砖3	npc\fbmac00524	48	0	0	0	8	0		1	3	0	3	3			3				
FlyClone017004	FlyNpc	机关通道踩踏地板砖4	npc\fbmac00532	48	0	0	0	8	0		1	3	0	3	3			3				
FlyClone017005	FlyNpc	机关通道踩踏地板砖5	npc\fbmac00533	48	0	0	0	8	0		1	3	0	3	3			3				
FlyClone017006	FlyNpc	机关通道踩踏地板砖6	npc\fbmac00534	48	0	0	0	8	0		1	3	0	3	3			3				
FlyClone017007	FlyNpc	机关通道踩踏地板砖7	npc\fbmac00538	48	0	0	0	8	0		1	3	0	3	3			3				
FlyClone017008	FlyNpc	机关通道踩踏地板砖8	npc\fbmac00539	48	0	0	0	8	0		1	3	0	3	3			3				
FlyClone017009	FlyNpc	机关通道踩踏地板砖9	npc\fbmac00540	48	0	0	0	8	0		1	3	0	3	3			3				
																						
flynpc002027	FlyNpc	龙门客栈西北	npc\brokennpc\brokenitem044	48	0	0	0	8	0		1	3	1	3	3			3			1	
flynpc002028	FlyNpc	龙门客栈东北	npc\brokennpc\brokenitem045	48	0	0	0	8	0		1	3	1	3	3			3			1	
flynpc002029	FlyNpc	龙门客栈东南	npc\brokennpc\brokenitem046	48	0	0	0	8	0		1	3	1	3	3			3			1	
flynpc002030	FlyNpc	龙门客栈西南	npc\brokennpc\brokenitem047	48	0	0	0	8	0		1	3	1	3	3			3			1	
flynpc002031	FlyNpc	龙门客栈风车	npc\brokennpc\brokenitem050	48	0	0	0	8	0		1	3	1	3	3			3			1	
																						
																						
FlyClone004101	FlyNpc	攻城车	npc\fbmac004100	48	0	2	2	8	0		1	3	1	3	3	npc\clone\clone004\FlyClone004101.lua		3				
																						
flynpc002032	FlyNpc	龙门客栈1	npc\fbmac002013	48	0	0	0	8	0		1	3	1	3	3			3				
																						
qy_swgj_zudang	FlyNpc	龙门客栈1	npc\fbblock00000	48	0	0	0	8	0		1	3	1	3	3			3				
qy_swgj_deng	FlyNpc	龙门客栈1	npc\fbmac021035	48	0	0	0	8	0		1	3	1	3	3			3				
FlyClone009001	FlyNpc	生门	npc\itemnpc704a	48	0	3	3	8	1			3	1	3	3			1	0			
FlyClone009002	FlyNpc	生门	npc\itemnpc704a	48	0	3	3	8	1			3	1	3	3			1	0			
FlyClone009003	FlyNpc	生门	npc\itemnpc704a	48	0	3	3	8	1			3	1	3	3			1	0			
FlyClone009004	FlyNpc	生门	npc\itemnpc704a	48	0	3	3	8	1			3	1	3	3			1	0			
FlyClone009005	FlyNpc	生门	npc\itemnpc704a	48	0	3	3	8	1			3	1	3	3			1	0			
FlyClone009006	FlyNpc	生门	npc\itemnpc704a	48	0	3	3	8	1			3	1	3	3			1	0			
FlyClone009007	FlyNpc	生门	npc\itemnpc704a	48	0	3	3	8	1			3	1	3	3			1	0			
FlyClone019009	FlyNpc		npc\itemnpc057_huo	48	0	10	10	8	1	clone019_036	1	3	1	3	3			3		557		
FlyClone019010	FlyNpc		npc\itemnpc057_huo	48	0	11	11	8	1	clone019_037	1	3	1	3	3			3		557		
FlyClone019011	FlyNpc		npc\itemnpc057_huo	48	0	12	12	8	1	clone019_038	1	3	1	3	3			3		557		
FlyClone019012	FlyNpc		npc\itemnpc057_huo	48	0	13	13	8	1	clone019_039	1	3	1	3	3			3		557		
FlyClone019013	FlyNpc		npc\itemnpc057_huo	48	0	14	14	8	1	clone019_040	1	3	1	3	3			3		557		
FlyClone019014	FlyNpc		npc\itemnpc057_huo	48	0	15	15	8	1	clone019_041	1	3	1	3	3			3		557		
FlyClone019015	FlyNpc		npc\itemnpc057_huo	48	0	16	16	8	1	clone019_042	1	3	1	3	3			3		557		
FlyClone019016	FlyNpc		npc\itemnpc057_huo	48	0	17	17	8	1	clone019_043	1	3	1	3	3			3		557		
																						
																						
																						
FlyClone011001	FlyNpc	水面浮台	npc\fbmac00012	48	1	0.5	1	8	1	clone011_123		3	1	3	3			3	0			
FlyClone011002	FlyNpc	水面浮台	npc\fbmac00012	48	1	1	1	8	1	clone011_124		3	1	3	3			3	0			
FlyClone011003	FlyNpc	水面浮台	npc\fbmac00012	48	1	1	1	8	1	clone011_125		3	1	3	3			3	0			
FlyClone011004	FlyNpc	水面浮台	npc\fbmac00012	48	1	1	1	8	1	clone011_126		3	1	3	3			3	0			
FlyClone011005	FlyNpc	水面浮台	npc\fbmac00012	48	1	0.5	1	8	1	clone011_127		3	1	3	3			3	0			
FlyClone011006	FlyNpc	水面浮台	npc\fbmac00012	48	1	1	1	8	1	clone011_128		3	1	3	3			3	0			
FlyClone011007	FlyNpc	水面浮台	npc\fbmac00012	48	1	1	1	8	1	clone011_129		3	1	3	3			3	0			
FlyClone011008	FlyNpc	水面浮台	npc\fbmac00012	48	1	1	1	8	1	clone011_130		3	1	3	3			3	0			
FlyClone011009	FlyNpc	水面浮台	npc\fbmac00012	48	1	0.5	1	8	1	clone011_131		3	1	3	3			3	0			
FlyClone011010	FlyNpc	水面浮台	npc\fbmac00012	48	1	1	1	8	1	clone011_132		3	1	3	3			3	0			
FlyClone011011	FlyNpc	水面浮台	npc\fbmac00012	48	1	1	1	8	1	clone011_133		3	1	3	3			3	0			
FlyClone011012	FlyNpc	水面浮台	npc\fbmac00012	48	1	1	1	8	1	clone011_134		3	1	3	3			3	0			
FlyClone011013	FlyNpc	水面浮台	npc\fbmac00012	48	1	0.5	1	8	1	clone011_135		3	1	3	3			3	0			
FlyClone011014	FlyNpc	水面浮台	npc\fbmac00012	48	1	1	1	8	1	clone011_136		3	1	3	3			3	0			
FlyClone011015	FlyNpc	水面浮台	npc\fbmac00012	48	1	1	1	8	1	clone011_137		3	1	3	3			3	0			
FlyClone011016	FlyNpc	水面浮台	npc\fbmac00012	48	1	1	1	8	1	clone011_138		3	1	3	3			3	0			
FlyClone011017	FlyNpc	水面浮台	npc\fbmac00012	48	1	0.5	1	8	1	clone011_139		3	1	3	3			3	0			
FlyClone011018	FlyNpc	水面浮台	npc\fbmac00012	48	1	1	1	8	1	clone011_140		3	1	3	3			3	0			
FlyClone011019	FlyNpc	水面浮台	npc\fbmac00012	48	1	1	1	8	1	clone011_141		3	1	3	3			3	0			
FlyClone011020	FlyNpc	水面浮台	npc\fbmac00012	48	1	1	1	8	1	clone011_142		3	1	3	3			3	0			
FlyClone011021	FlyNpc	水面浮台	npc\fbmac00012	48	1	0.5	1	8	1	clone011_143		3	1	3	3			3	0			
FlyClone011022	FlyNpc	水面浮台	npc\fbmac00012	48	1	1	1	8	1	clone011_144		3	1	3	3			3	0			
FlyClone011023	FlyNpc	水面浮台	npc\fbmac00012	48	1	1	1	8	1	clone011_145		3	1	3	3			3	0			
FlyClone011024	FlyNpc	水面浮台	npc\fbmac00012	48	1	1	1	8	1	clone011_146		3	1	3	3			3	0			
FlyClone011025	FlyNpc	水面浮台	npc\fbmac00012	48	1	0.5	1	8	1	clone011_147		3	1	3	3			3	0			
FlyClone011026	FlyNpc	水面浮台	npc\fbmac00012	48	1	1	1	8	1	clone011_148		3	1	3	3			3	0			
FlyClone011027	FlyNpc	水面浮台	npc\fbmac00012	48	1	1	1	8	1	clone011_149		3	1	3	3			3	0			
																						
npc_5n_lzj_bird04	FlyNpc	鸽子	npc\petm_z_0600	202	0	7	7	8	1	adv031_bird_0_01	0	3	0	0	0			1	0	3658		
npc_5n_lzj_bird05	FlyNpc	鸽子	npc\petm_z_0600	202	0	7	7	8	1	adv031_bird_0_02	0	3	0	0	0			1	0	3659		
npc_5n_lzj_bird06	FlyNpc	鸽子	npc\petm_z_0600	202	0	7	7	8	1	adv031_bird_0_03	0	3	0	0	0			1	0	3660		
npc_5n_lzj_bird07	FlyNpc	鸽子	npc\petm_z_0600	202	0	7	7	8	1	adv031_bird_0_04	0	3	0	0	0			1	0	3661		
npc_5n_lzj_bird08	FlyNpc	鸽子	npc\petm_z_0600	202	0	7	7	8	1	adv031_bird_0_05	0	3	0	0	0			1	0	3662		
npc_5n_lzj_bird09	FlyNpc	鸽子	npc\petm_z_0600	202	0	7	7	8	1	adv031_bird_0_06	0	3	0	0	0			1	0	3663		
npc_5n_lzj_bird10	FlyNpc	鸽子	npc\petm_z_0600	202	0	7	7	8	1	adv031_bird_0_07	0	3	0	0	0			1	0	3664		
npc_5n_lzj_bird11	FlyNpc	鸽子	npc\petm_z_0600	202	0	7	7	8	1	adv031_bird_0_08	0	3	0	0	0			1	0	3665		
