NPC编号	对象类型	名称	进入条件	江湖人脉值	计入场景编号	传送到目标场景的坐标	进入分组编号	对话方式	触发方式	是否弹出进入按钮	模型编号	头像	NPC种类ID	NPC类型	响应范围	选择状态	脚本编号	鼠标形状	成功进入描述	无法进入描述	AI编辑包	客户端不可见	衰减一次所需时间	衰减最大值
STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	script	Name	Condition	LuckValue	SceneID	SwitchPostion	SwitchGroupId	NpcTalkType	SpringType	SpringAct	Resource	Photo	CKindID	NpcType	SpringRange	SelectState	LuaScript	CursorShape	MenuEntrySuccess	MenuEntryFail	AIEditorPackID	Invisible	AttenuatorSeconds	AttenuatorMax
PlotDoor00001	AdventureDoor	进入95号场景	"200,352,999"	1	95		-1	1	1	1	npc\itemnpc057	icon\funcnpc\clonedoor.png	4	49	8	2		4	EntrySuccess001					
PlotDoor00002	AdventureDoor	进入95号场景	"200,352,999"	1	95		-1	1	1	0	npc\itemnpc057	icon\funcnpc\clonedoor.png	4	49	8	2		4						
PlotDoor00003	AdventureDoor	进入95号场景	"200,352,999"	1	95		-1	1	2	1	npc\itemnpc057	icon\funcnpc\clonedoor.png	4	49	8	2		4	EntrySuccess001	EntryFail001				
PlotDoor00004	AdventureDoor	进入95号场景	"200,352,999"	1	95		-1	1	2	0	npc\itemnpc057	icon\funcnpc\clonedoor.png	4	49	8	2		4						
PlotDoor00005	AdventureDoor	进入95号场景	"200,352,999"	1	95		-1	1	1	0	npc\tiemnpc057	icon\funcnpc\clonedoor.png	4	49	12	2		4						
PlotDoor00006	AdventureDoor	进入95号场景	"23,592,999"	1	95		-1	1	1	0	npc\itemnpc057	icon\funcnpc\clonedoor.png	4	49	8	2		4						
PlotDoor00007	AdventureDoor	进入95号场景	"23,572,999"	1	95		-1	1	1	0	npc\itemnpc057	icon\funcnpc\clonedoor.png	4	49	8	2		4						
PlotDoor00008	AdventureDoor	进入95号场景	"200,352,999"	1	95		-1	1	1	0	npc\itemnpc057	icon\funcnpc\clonedoor.png	4	49	8	2		4						
