NPC编号	实力包编号	级别	对象类型	名称	模型编号	头像	类型	NPC种类ID	响应范围	选择操作分类	脚本编号	AI编号	NPC阵营	运营管理读取类别	运营管理读取名称	路径编号	巡逻模式	巡逻半径	走路速度	跑步速度	随机动作名	倒计时时间	拆除动作	拆除时间	拆除工具id	爆炸特效	拆除触发距离	拆除技能id	爆炸AOE技能id	随机动作时间间隔(ms)	刷新时间	最大HP	攻击参数1	攻击参数2	追击范围	能否攻击	能否被攻击	非主动	技能表	攻击间隔	命中时间	呼叫类型	呼叫对象	呼救范围	有此身份时触发npc攻击的身份ID	没有此身份时触发npc的身份ID	触发属性	触发属性值	触发运算符	发现敌人特效名称	敌人NPC编号序列	猎杀标识		势力归属	势力关系表	AI编辑包	格挡模式(-1不格挡)
STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	PowerNo	Level	script	Name	Resource	Photo	NpcType	CKindID	SpringRange	SelectState	LuaScript	AITemplate	Camp	QTypeID	QName	PathID	PatrolMode	PatrolRange	WalkSpeed	RunSpeed	RandomActionName	BombTime	DefuzeAction	DelayTime	DefuzeTool	BombEffect	DefuzeRange	DefuzeSkill	BombSkillID	RandomActionTime	RefreshTime	MaxHP	TargetShapePara1	TargetShapePara2	ChaseRange	CantAttack	CantBeAttack	NotPositive	table@SkillRec	AIFightFreq	HitTime	CallHelpType	CallHelpID	CallHelpRange	OriginHave	OriginNotHave	TriggerProp	PropValue	PropOperation	SpringEffect	EnemyNpc	HunterConfig	SkillHoldTime	SelfForceID	table@ForceRec	AIEditorPackID	ParrayID
																																																									
BombNpc00001	14	1	BombNpc	炸弹	npc\fbnpc00005	icon\funcnpc\fbnpc00005.png	162		3	2		3	1	13	13		1	0	0	0		10	interact41	3000	taskitem_334	bomb_fire_0	3		jn_fbnpc00005_01		-1	1000	0	3	0	0	1	0	"jn_fbnpc00005_01,1,0"																		-1
BombNpc00002	47	70	BombNpc	移动炸弹	npc\fbnpc00005	icon\funcnpc\fbnpc00005.png	162		10	2		3	1	13	13		1	0	1	4		15				bomb_fire_0			jn_fbnpc00005_01		-1	1000	0	2	30	0	1	0	"jn_fbnpc00005_01,1,0"	3500	1000						HP	0	>	npc_foundplayer				1851			-1
BombNpc00003	14	1	BombNpc	炸弹	npc\fbnpc00005	icon\funcnpc\fbnpc00005.png	162		3	2		3	1	13	13		1	0	0	0		5	interact41	3000	taskitem_334	bomb_fire_0	3		jn_fbnpc00005_02		-1	1000	0	2	0	0	1	0	"jn_fbnpc00005_02,1,0"																		-1
BombNpc00004	14	1	BombNpc	小块落石	npc\fbmac00515	icon\funcnpc\task.png	202		50	2	npc\clone\clone007\born_add_effect.lua	3	1	13	13		1	0	0	0		5				bomb_fire_0			clone007_luoshi		-1	1000	0	3	0	0	1	0	"clone007_luoshi,1,0"	1000	500																-1
BombNpc00005	14	1	BombNpc	大块落石	npc\fbmac00515	icon\funcnpc\task.png	202		50	2	npc\clone\clone007\born_add_effect.lua	3	1	13	13		1	0	0	0		5				bomb_fire_0			clone007_luoshi_b		-1	1000	0	3	0	0	1	0	"clone007_luoshi_b,1,0"	1000	500																-1
BombNpc00006	14	1	BombNpc	水	npc\fbnpc00005	icon\funcnpc\task.png	162		10	2		3	1	13	13		1	0	0	0		5				bomb_fire_0			clone007_shui		-1	1000	0	3	0	0	1	0	"clone007_shui,1,0"																		-1
BombNpc00007	14	1	BombNpc	火	npc\fbnpc00005	icon\funcnpc\task.png	162		10	2		3	1	13	13		1	0	0	0		5				bomb_fire_0			clone007_huo		-1	1000	0	3	0	0	1	0	"clone007_huo,1,0"																		-1
