NPC编号	对象类型	名称	模型编号	NPC类型	NPC种类ID	响应范围	触发事件编号	触发类型	触发任务ID	是否可见	交互顺序	脚本编号	触发条件	AI编辑包
STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	script	Name	Resource	NpcType	CKindID	SpringRange	EventIndex	EventType	EventTaskID	Invisible	EventOrder	LuaScript	SpringCondition	AIEditorPackID
														
TriggerNpc00005	EventNpc	门口拒马人数检测	npc\worldnpc140	202	4	15				1				
														
TriggerNpc00011	EventNpc	五行检测	npc\itemnpc057	202	4	10				1				
TriggerNpc00012	EventNpc	五行牢房释放	npc\itemnpc059	202	4	2				0				
TriggerNpc00014	EventNpc	开启高立寻路	npc\itemnpc057	202	4	20				1				
TriggerNpc00015	EventNpc	开启高立寻路	npc\itemnpc057	202	4	20				1				
TriggerNpc00020	EventNpc	武当出师副本触发使用1	npc\worldnpc140	47	4	8				1				
TriggerNpc00021	EventNpc	武当出师副本触发使用2	npc\worldnpc140	47	4	8				1				
TriggerNpc00022	EventNpc	武当出师副本触发使用3	npc\worldnpc140	47	4	8				1				
TriggerNpc00023	EventNpc	武当出师副本触发使用4	npc\worldnpc140	47	4	8				1				
TriggerNpc00024	EventNpc	武当出师副本触发使用5	npc\worldnpc140	47	4	8				1				
														
EventNpcClone007001	EventNpc	为民除恶触发npc	npc\fbmac00515	47	4	8		6		1		npc\clone\clone007\wd_task2301_event_1.lua		
EventNpcClone007003	EventNpc	虎口救人触发npc1	npc\fbmac00515	47	4	8		6		1		npc\clone\clone007\wd_task2306_event1.lua		
EventNpcClone007004	EventNpc	虎口救人触发npc2	npc\fbmac00515	47	4	8		6		1		npc\clone\clone007\wd_task2306_event2.lua		
EventNpcClone007005	EventNpc	滕雷闯山触发npc	npc\fbmac00515	47	4	8		6		1		npc\clone\clone007\wd_task2307_event.lua		
EventNpcClone007006	EventNpc	滕雷闯山触发npc2	npc\fbmac00515	47	4	8		6		1		npc\clone\clone007\wd_task2307_event2.lua		
EventNpcClone007007	EventNpc	创建袁齐触发npc	npc\fbmac00515	47	4	20		6		1		npc\clone\clone007\wd_task2310_event.lua		
EventNpcClone007008	EventNpc	任务“下山调查”使用	npc\fbmac00515	47	4	8		6		1		npc\clone\clone007\TriForTaskTrans.lua		
EventNpcClone007009	EventNpc	花盆	npc\fbmac007005	202	4	20				0				
EventNpcClone007010	EventNpc	进入紫霄殿分组场景触发NPC	npc\fbmac00515	202	4	10		6		1		npc\clone\clone007\EventNpcClone007010.lua		
EventNpcClone007011	EventNpc	离开紫霄殿分组场景触发NPC	npc\fbmac00515	202	4	12		6		1		npc\clone\clone007\EventNpcClone007011.lua		
EventNpcClone007012	EventNpc	困难、地狱开场动画触发NPC	npc\itemnpc057e	202	4	5		6		1				
														
														
														
														
														
EventNpcClone017000	EventNpc	蚁洞出口	npc\worldnpc140	47	4	20		6		1				
EventNpcClone017001	EventNpc	创建张继武BOSS	npc\fbmac00515	47	4	20		6		1				
EventNpcClone017002	EventNpc	沈毫动画	npc\fbmac00515	47	4	20		6		1				
EventNpcClone017003	EventNpc	创建张继武牢房	npc\fbmac00515	47	4	20		6		1				
