STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	MonsterID	RSceneID	RPosX	RPosY	RPosZ	RLifeTime	TaskID
18300	NpcClone003029	14	580	0	524	600	
18301	NpcClone003029	14	582	0	528	600	
18302	NpcClone003029	14	577	0	524	600	
18303	NpcClone003031	14	372	0	785	600	
18304	NpcClone003031	14	370	0	783	600	
18305	NpcClone003031	14	371	0	780	600	
18306	NpcClone003031	14	375	0	782	600	
18307	NpcClone003031	14	374	0	781	600	
18308	NpcClone003038	14	757	0	856	600	
18309	NpcClone003039	14	887	61	671	600	
18310	NpcClone003039	14	879	61	669	600	
18311	NpcClone003040	14	952	46	67	600	
18312	NpcClone003040	14	951	46	77	600	
18313	NpcClone003041	14	918	28	122	600	
18314	NpcClone003041	14	920	30	95	600	
18315	NpcClone003041	14	930	28	100	600	
18316	NpcClone003041	14	932	25	144	600	
18317	NpcClone003046	14	919	0	108	600	
