STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	MonsterID	RSceneID	RPosX	RPosY	RPosZ	RLifeTime	TaskID
8001	monrm010200	5	5.6	4.6	434	300	
8002	monrm010200	5	12	3.9	430	300	
8003	monrm010200	5	16.4	4.9	433.7	300	
8004	monrm010300	5	232.82	66.91	-69.02	300	
8005	monrm010400	5	148.25	2.73	142.62	300	
8006	monrm010500	5	28	-2	116	300	
8007	monrm010500	5	43	-2	118	300	
8008	monrm010500	5	32	-2	122	300	
8009	monrm010700	5	357	64.3	83.3	300	
8010	monrm010800	5	356	64.3	85.7	300	
8011	monrm010800	5	345.8	64.3	84.3	300	
8012	monrm010800	5	346	28.5	263	300	
